ts,accGx,accGy,accGz
1698675181399.0,-1101,-244,-142
1698675181480.0,-1055,-133,-47
1698675181559.0,-1065,-11,53
1698675181639.0,-1042,122,87
1698675181719.0,-977,203,71
1698675181799.0,-962,224,84
1698675181879.0,-958,255,50
1698675181959.0,-963,331,-2
1698675182039.0,-971,432,-24
1698675182119.0,-1018,703,-213
1698675182199.0,-946,741,-287
1698675182279.0,-1022,674,-228
1698675182359.0,-1050,583,-146
1698675182439.0,-922,443,-99
1698675182520.0,-864,337,-95
1698675182599.0,-953,273,-113
1698675182681.0,-1113,188,-131
1698675182759.0,-1212,180,-132
1698675182839.0,-1192,221,-152
1698675182920.0,-1040,229,-148
1698675182999.0,-851,285,-106
1698675183079.0,-807,372,-70
1698675183159.0,-997,487,-75
1698675183239.0,-1127,585,-131
1698675183319.0,-1155,660,-148
1698675183399.0,-1290,624,-117
1698675183479.0,-1222,454,-99
1698675183559.0,-990,343,-57
1698675183639.0,-963,305,-17
1698675183719.0,-1093,235,-35
1698675183800.0,-1121,115,-53
1698675183879.0,-1163,170,-76
1698675183959.0,-990,259,-82
1698675184038.0,-917,395,-76
1698675184118.0,-1000,494,-78
1698675184198.0,-1116,621,-94
1698675184278.0,-1011,755,-114
1698675184358.0,-1091,709,-117
1698675184438.0,-1300,531,-83
1698675184518.0,-1130,381,-37
1698675184598.0,-1020,301,-8
1698675184678.0,-1191,200,26
1698675184758.0,-1231,209,89
1698675184838.0,-1216,255,71
1698675184918.0,-1334,228,-26
1698675184998.0,-1172,295,-75
1698675185079.0,-979,443,-55
1698675185159.0,-1128,730,-33
1698675185238.0,-1238,917,-75
1698675185318.0,-1104,943,-164
1698675185398.0,-1230,819,-187
1698675185478.0,-1288,549,-98
1698675185559.0,-1186,246,-12
1698675185638.0,-1283,117,11
1698675185721.0,-1217,12,39
1698675185798.0,-1295,73,44
1698675185878.0,-1178,208,-11
1698675185960.0,-964,350,-63
1698675186038.0,-1010,663,-128
1698675186121.0,-1122,915,-154
1698675186198.0,-1048,976,-151
1698675186278.0,-1200,828,-142
1698675186360.0,-1204,550,-101
1698675186438.0,-905,391,-73
1698675186518.0,-1043,350,-32
1698675186598.0,-1203,220,-22
1698675186678.0,-1193,92,-19
1698675186758.0,-1238,76,-69
1698675186838.0,-1098,124,-133
1698675186918.0,-989,305,-161
1698675186998.0,-1161,588,-243
1698675187078.0,-1229,835,-274
1698675187158.0,-1144,980,-205
1698675187238.0,-1259,851,-143
1698675187318.0,-950,381,-93
1698675187398.0,-1170,194,-18
1698675187478.0,-1323,3,11
1698675187558.0,-1305,-47,-9
1698675187638.0,-1401,44,-75
1698675187718.0,-1199,209,-132
1698675187798.0,-943,471,-148
1698675187878.0,-1020,774,-186
1698675187958.0,-1138,912,-218
1698675188038.0,-1146,926,-203
1698675188118.0,-1302,794,-166
1698675188198.0,-1251,531,-141
1698675188278.0,-983,357,-112
1698675188358.0,-1149,106,-103
1698675188438.0,-1306,-110,-97
1698675188518.0,-1317,-39,-61
1698675188598.0,-1386,132,-85
1698675188678.0,-1165,289,-133
1698675188758.0,-959,574,-167
1698675188838.0,-1044,853,-227
1698675188918.0,-1155,910,-257
1698675188999.0,-1349,746,-159
1698675189079.0,-1247,464,-129
1698675189160.0,-958,297,-77
1698675189238.0,-1105,183,-36
1698675189318.0,-1248,103,-26
1698675189400.0,-1229,90,-46
1698675189478.0,-1343,148,-99
1698675189558.0,-1203,261,-155
1698675189638.0,-960,399,-179
1698675189718.0,-999,597,-191
1698675189798.0,-1122,726,-186
1698675189878.0,-1037,765,-157
1698675189958.0,-1140,671,-148
1698675190037.0,-1224,476,-134
1698675190117.0,-972,360,-101
1698675190198.0,-946,284,-75
1698675190277.0,-1095,175,-1
1698675190357.0,-1153,60,63
1698675190439.0,-1256,88,23
1698675190517.0,-1179,200,-75
1698675190597.0,-904,328,-122
1698675190678.0,-913,577,-116
1698675190757.0,-1120,808,-135
1698675190837.0,-1122,717,-143
1698675190918.0,-1267,573,-109
1698675190997.0,-1030,412,-80
1698675191077.0,-940,315,31
