ts,alpha,beta,gamma
1698675182684.0,275,161,563
1698675182761.0,285,127,552
1698675182842.0,290,89,551
1698675182923.0,277,47,552
1698675183001.0,254,55,567
1698675183084.0,224,40,588
1698675183161.0,194,40,582
1698675183241.0,196,67,590
1698675183321.0,200,87,594
1698675183401.0,228,96,574
1698675183484.0,255,122,568
1698675183562.0,273,161,560
1698675183641.0,269,194,564
1698675183721.0,259,200,565
1698675183802.0,267,183,571
1698675183884.0,266,153,557
1698675183961.0,277,113,562
1698675184041.0,263,79,575
1698675184121.0,227,46,589
1698675184201.0,205,46,608
1698675184282.0,201,58,591
1698675184361.0,204,74,584
1698675184441.0,240,48,569
1698675184521.0,257,87,565
1698675184601.0,269,144,558
1698675184681.0,251,169,568
1698675184761.0,224,189,583
1698675184841.0,229,189,570
1698675184921.0,243,155,562
1698675185001.0,239,123,570
1698675185082.0,215,82,579
1698675185161.0,179,53,589
1698675185241.0,180,62,587
1698675185321.0,209,74,580
1698675185401.0,229,79,571
1698675185481.0,240,94,561
1698675185562.0,228,142,566
1698675185641.0,206,149,581
1698675185724.0,191,169,579
1698675185801.0,202,182,580
1698675185881.0,210,155,574
1698675185963.0,217,140,582
1698675186041.0,203,114,580
1698675186123.0,197,95,588
1698675186201.0,191,94,581
1698675186281.0,183,121,595
1698675186363.0,193,104,603
1698675186441.0,210,92,626
1698675186523.0,262,91,600
1698675186601.0,276,130,598
1698675186681.0,268,141,597
1698675186761.0,286,139,581
1698675186841.0,270,85,589
1698675186924.0,226,30,598
1698675187001.0,190,-11,602
1698675187081.0,172,-22,609
1698675187161.0,203,-10,593
1698675187241.0,247,15,564
1698675187321.0,288,71,554
1698675187401.0,302,138,550
1698675187481.0,301,179,551
1698675187561.0,304,186,567
1698675187641.0,312,158,564
1698675187721.0,321,118,557
1698675187801.0,310,67,562
1698675187881.0,281,21,566
1698675187961.0,248,-4,569
1698675188041.0,274,7,577
1698675188121.0,295,33,545
1698675188200.0,321,81,546
1698675188281.0,318,152,558
1698675188361.0,298,213,555
1698675188440.0,303,206,568
1698675188521.0,303,191,559
1698675188601.0,321,146,557
1698675188680.0,323,77,561
1698675188761.0,288,15,560
1698675188841.0,269,-39,564
1698675188920.0,261,-27,562
1698675189002.0,290,2,563
1698675189082.0,344,27,540
1698675189163.0,357,84,541
1698675189241.0,357,184,551
1698675189320.0,334,232,561
1698675189402.0,350,245,562
1698675189480.0,368,197,554
1698675189563.0,368,114,558
1698675189640.0,355,48,578
1698675189721.0,321,-13,582
1698675189800.0,288,-41,585
1698675189880.0,286,-10,603
1698675189963.0,327,4,595
1698675190040.0,363,59,571
