isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,5007,1698675165445.0
False,0.0,0,0,5007,1698675166436.0
False,0.0,0,0,5007,1698675167426.0
False,0.0,0,0,5007,1698675168424.0
False,0.0,0,0,5007,1698675169405.0
False,0.0,0,0,5007,1698675170397.0
False,0.0,0,0,5007,1698675171880.0
False,0.0,0,0,5007,1698675172376.0
False,0.0,0,0,5007,1698675173365.0
False,1.33203125,16,105,5027,1698675174355.0
True,2.0546875,31,210,5040,1698675175348.0
True,2.27734375,48,312,5065,1698675177326.0
True,2.44140625,63,383,5094,1698675177327.0
False,1.77734375,63,336,5121,1698675178316.0
False,1.8046875,63,273,5138,1698675179810.0
False,1.83203125,63,215,5156,1698675180301.0
False,1.83203125,64,186,5173,1698675181787.0
False,1.83203125,64,171,5191,1698675182768.0
False,1.8046875,65,170,5207,1698675183760.0
False,1.77734375,63,169,5226,1698675184264.0
False,1.71875,63,168,5242,1698675185746.0
False,1.71875,63,168,5242,1698675186236.0
False,0.52734375,0,166,5272,1698675187222.0
False,0.9140625,16,165,5282,1698675188212.0
True,1.83203125,30,207,5295,1698675189204.0
False,1.8046875,47,250,5320,1698675190205.0
False,1.859375,63,267,5336,1698675191194.0
False,1.88671875,64,271,5354,1698675192185.0
False,1.9140625,66,232,5373,1698675193661.0
False,1.9140625,65,191,5391,1698675194163.0
False,1.9140625,65,177,5409,1698675195650.0
False,1.9140625,64,176,5427,1698675196144.0
False,1.9140625,64,176,5445,1698675197133.0
False,1.859375,63,177,5464,1698675198120.0
False,1.5546875,61,177,5482,1698675199108.0
False,1.5546875,61,177,5482,1698675200094.0
False,0.0,0,0,5482,1698675201096.0
False,0.0,0,0,5482,1698675202079.0
False,0.0,0,0,5482,1698675203561.0
False,0.0,0,0,5482,1698675204062.0
False,0.0,0,0,5482,1698675205048.0
False,0.0,0,0,5482,1698675206526.0
False,0.0,0,0,5482,1698675207024.0
False,0.0,0,0,5482,1698675208016.0
False,0.0,0,0,5482,1698675209497.0
False,0.0,0,0,5482,1698675210488.0
False,0.0,0,0,5482,1698675211480.0
False,0.0,0,0,5482,1698675212468.0
False,0.0,0,0,5482,1698675213460.0
False,0.0,0,0,5482,1698675214447.0
False,0.0,0,0,5482,1698675215443.0
False,0.0,0,0,5482,1698675216429.0
False,0.0,0,0,5482,1698675217415.0
False,0.0,0,0,5482,1698675218406.0
False,0.0,0,0,5482,1698675219398.0
False,0.0,0,0,5482,1698675220393.0
False,0.0,0,0,5482,1698675221374.0
False,0.0,0,0,5482,1698675222365.0
False,0.0,0,0,5482,1698675223855.0
False,0.0,0,0,5482,1698675224351.0
False,0.0,0,0,5482,1698675225336.0
False,0.0,0,0,5482,1698675226327.0
False,0.0,0,0,5482,1698675227314.0
False,0.0,0,0,5482,1698675228307.0
False,0.0,0,0,5482,1698675229298.0
