ts(msec),X,Y,Z
1698415496011.0,-0.3724365234375,-0.8968505859375,-0.2667236328125
1698415496042.25,-0.3671875,-0.8985595703125,-0.259521484375
1698415496073.5,-0.3634033203125,-0.8951416015625,-0.2545166015625
1698415496104.75,-0.3714599609375,-0.89306640625,-0.253173828125
1698415496136.0,-0.3809814453125,-0.8974609375,-0.25634765625
1698415496167.25,-0.3836669921875,-0.8994140625,-0.2578125
1698415496198.5,-0.3848876953125,-0.89794921875,-0.2557373046875
1698415496229.75,-0.3865966796875,-0.8941650390625,-0.2548828125
1698415496261.0,-0.3878173828125,-0.888671875,-0.259521484375
1698415496292.25,-0.3870849609375,-0.8876953125,-0.2589111328125
1698415496323.5,-0.3861083984375,-0.887451171875,-0.2530517578125
1698415496354.75,-0.385498046875,-0.89013671875,-0.2506103515625
1698415496386.0,-0.3878173828125,-0.895263671875,-0.2490234375
1698415496417.25,-0.3973388671875,-0.902099609375,-0.24853515625
1698415496448.5,-0.4051513671875,-0.9122314453125,-0.2432861328125
1698415496479.75,-0.4024658203125,-0.9117431640625,-0.2340087890625
1698415496511.0,-0.4000244140625,-0.9091796875,-0.2318115234375
1698415496542.25,-0.406494140625,-0.9029541015625,-0.2330322265625
1698415496573.5,-0.4117431640625,-0.88818359375,-0.2294921875
1698415496604.75,-0.408935546875,-0.8829345703125,-0.225830078125
1698415496636.0,-0.4010009765625,-0.8887939453125,-0.2257080078125
1698415496667.25,-0.3944091796875,-0.8944091796875,-0.224853515625
1698415496698.5,-0.3956298828125,-0.891357421875,-0.220947265625
1698415496729.75,-0.4036865234375,-0.8873291015625,-0.221435546875
1698415496761.0,-0.4107666015625,-0.8890380859375,-0.2265625
1698415496792.25,-0.415283203125,-0.8883056640625,-0.2220458984375
1698415496823.5,-0.4178466796875,-0.8837890625,-0.2139892578125
1698415496854.75,-0.419189453125,-0.8817138671875,-0.21875
1698415496886.0,-0.4200439453125,-0.8824462890625,-0.2227783203125
1698415496917.25,-0.4217529296875,-0.884033203125,-0.2156982421875
1698415496948.5,-0.423583984375,-0.88427734375,-0.2132568359375
1698415496979.75,-0.4244384765625,-0.887939453125,-0.2197265625
1698415497011.0,-0.4244384765625,-0.8905029296875,-0.2174072265625
1698415497042.25,-0.423828125,-0.8868408203125,-0.20751953125
1698415497073.5,-0.422607421875,-0.8843994140625,-0.1998291015625
1698415497104.75,-0.4259033203125,-0.8856201171875,-0.1942138671875
1698415497136.0,-0.4305419921875,-0.8890380859375,-0.1932373046875
1698415497167.25,-0.42431640625,-0.8927001953125,-0.194580078125
1698415497198.5,-0.4173583984375,-0.893798828125,-0.2005615234375
1698415497229.75,-0.4188232421875,-0.8890380859375,-0.206787109375
1698415497261.0,-0.420654296875,-0.8831787109375,-0.20703125
1698415497292.25,-0.41650390625,-0.884033203125,-0.208251953125
1698415497323.5,-0.4144287109375,-0.8856201171875,-0.208740234375
1698415497354.75,-0.4212646484375,-0.88427734375,-0.2069091796875
1698415497386.0,-0.427734375,-0.8846435546875,-0.2054443359375
1698415497417.25,-0.4281005859375,-0.88720703125,-0.199462890625
1698415497448.5,-0.426513671875,-0.8863525390625,-0.1951904296875
1698415497479.75,-0.4296875,-0.8856201171875,-0.1982421875
1698415497511.0,-0.4351806640625,-0.888671875,-0.2008056640625
1698415497542.25,-0.4359130859375,-0.889404296875,-0.200439453125
1698415497573.5,-0.432861328125,-0.889404296875,-0.198974609375
1698415497604.75,-0.43212890625,-0.88623046875,-0.1964111328125
1698415497636.0,-0.436767578125,-0.880859375,-0.1959228515625
1698415497667.25,-0.438720703125,-0.8831787109375,-0.1968994140625
1698415497698.5,-0.4349365234375,-0.890380859375,-0.1981201171875
1698415497729.75,-0.434814453125,-0.888671875,-0.196044921875
1698415497761.0,-0.439208984375,-0.878173828125,-0.1932373046875
1698415497792.25,-0.4400634765625,-0.873046875,-0.1905517578125
1698415497823.5,-0.43359375,-0.8779296875,-0.187744140625
1698415497854.75,-0.42919921875,-0.8829345703125,-0.187255859375
1698415497886.0,-0.43212890625,-0.88720703125,-0.184814453125
