ts,hr,conf
1698415496232.0,0,48
1698415497098.0,0,77
1698415497930.0,0,44
1698415498796.0,0,60
1698415499695.0,0,6
1698415500594.0,0,48
1698415501460.0,0,45
1698415502392.0,0,12
1698415503291.0,0,13
1698415506787.0,52,13
1698415507686.0,52,0
1698415509450.0,52,30
1698415510349.0,54,41
1698415511182.0,54,58
1698415512014.0,56,64
1698415513812.0,55,56
1698415514711.0,53,52
1698415515610.0,51,56
1698415516475.0,51,57
1698415517341.0,51,52
1698415518173.0,51,46
1698415519082.0,51,47
1698415520903.0,51,25
1698415521735.0,51,14
1698415522635.0,51,0
