timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698920120.474,False,0.0,0,0,6746
1698920121.467,False,0.0,0,0,6746
1698920122.951,False,0.0,0,0,6746
1698920123.445,False,0.0,0,0,6746
1698920124.931,False,0.0,0,0,6746
1698920125.918,False,0.0,0,0,6746
1698920126.92,False,0.0,0,0,6746
1698920127.903,False,0.0,0,0,6746
1698920128.889,False,0.0,0,0,6746
1698920129.879,False,0.0,0,0,6746
1698920130.865,True,0.5,12,186,6769
1698920131.859,False,1.25,25,180,6781
1698920132.852,False,1.02734375,34,195,6812
1698920133.841,True,1.02734375,34,195,6812
1698920134.828,False,1.5,46,209,6825
1698920135.823,False,1.02734375,48,218,6846
1698920136.81,False,1.02734375,48,218,6846
1698920137.802,False,0.0,0,0,6846
1698920138.792,False,0.0,0,0,6846
1698920139.774,False,0.0,0,0,6846
1698920140.771,False,0.0,0,0,6846
