ts,hr,conf
1698672747467.0,75,96
1698672748370.0,74,96
1698672749272.0,74,17
1698672750177.0,74,5
1698672751077.0,74,35
1698672751979.0,74,39
1698672752882.0,74,14
1698672754657.0,74,22
1698672755555.0,74,23
1698672756458.0,74,0
1698672758229.0,74,32
1698672759098.0,74,30
1698672760034.0,74,17
1698672760903.0,74,12
1698672761776.0,74,5
1698672762674.0,74,4
1698672764479.0,74,1
1698672765382.0,74,4
1698672766254.0,74,12
1698672767153.0,74,40
1698672768055.0,74,1
1698672768924.0,74,57
1698672769827.0,74,52
