ts,alpha,beta,gamma,acc,heading
1698745698178.0,353.5467922356407,43.46789889879114,15.625775958070653,-1.0,
1698745698195.0,353.69329982059594,42.666664764711776,14.51438839286064,39.817169189453125,124.14483642578125
1698745698212.0,353.90532607727636,42.09107637803269,13.426305359000285,39.817169189453125,124.14483642578125
1698745698229.0,353.9789772027284,41.45246667898201,12.336287100102114,39.817169189453125,124.14483642578125
1698745698245.0,353.8717990670803,40.87586397157041,11.937675408335473,39.817176818847656,125.51387786865234
1698745698262.0,353.7099342220501,40.093291171858766,11.927417281988976,39.817176818847656,125.51387786865234
1698745698278.0,353.5716095872287,38.82672471124236,12.398385623958195,39.817176818847656,125.51387786865234
1698745698294.0,353.623692100315,37.906857687481185,12.903758537644633,39.817176818847656,125.51387786865234
1698745698312.0,353.8654797605018,36.9961302772465,13.34730388958322,39.817176818847656,125.51387786865234
1698745698328.0,354.38715238614685,35.72810099049687,13.69380858516053,39.817176818847656,125.51387786865234
1698745698344.0,354.72841230751925,34.81423404901817,13.809738331437533,39.817176818847656,125.51387786865234
1698745698362.0,354.85514605029016,34.0522870669127,13.697267110814938,39.817176818847656,125.51387786865234
1698745698379.0,354.45967065446325,33.43075544507127,13.524528505125847,39.817176818847656,125.51387786865234
1698745698395.0,353.6642236121302,33.288590433270315,13.736574353844762,39.817176818847656,125.51387786865234
1698745698412.0,352.48567920423733,33.393033304969975,14.188099611844162,39.817176818847656,125.51387786865234
1698745698428.0,350.5459408437659,33.49874891692318,15.201734251609919,30.181102752685547,122.01302337646484
1698745698445.0,349.111540578471,33.69212698615597,16.119535733678212,30.181102752685547,122.01302337646484
1698745698462.0,347.7192756281278,34.295752043744294,16.924541154139867,27.002805709838867,123.98681640625
1698745698478.0,345.844834350814,35.37717968206288,18.454819852207468,27.002805709838867,123.98681640625
1698745698495.0,344.7204611363105,36.106395362341694,19.589111668272583,27.002805709838867,123.98681640625
1698745698512.0,344.1056000735375,36.71208105673014,20.281311451341658,25.961023330688477,125.52408599853516
1698745698527.0,344.05064468723634,37.15506049468742,20.251496167125172,25.961023330688477,125.52408599853516
1698745698545.0,344.5782040964406,37.23032233257611,19.852209500803408,25.961023330688477,125.52408599853516
1698745698562.0,345.4275077938836,37.12373543874289,19.316520061822068,25.250038146972656,124.40763854980469
1698745698578.0,346.45235624431956,36.847500142281596,18.535767366643505,25.250038146972656,124.40763854980469
