ts,alpha,beta,gamma,heading,acc
1698744203177.0,350.76357064705564,45.68876180999392,21.32750255682952,97.20286560058594,46.61532211303711
1698744203194.0,350.59263786962566,45.49276196635657,21.215230334370933,97.20286560058594,46.61532211303711
1698744203210.0,350.38048348941044,45.30452167067616,21.188407420070902,97.20286560058594,46.61532211303711
1698744203227.0,350.0575730676667,44.941845288136854,21.130631622375084,97.20286560058594,46.61532211303711
1698744203244.0,349.9164721615554,44.49034664323931,20.792838298909363,98.37799072265625,46.61532974243164
1698744203260.0,349.8893611778042,43.94480994064653,20.422219640446844,98.37799072265625,46.61532974243164
1698744203276.0,349.919900236981,43.144144310096706,19.410061274347196,99.46612548828125,46.61532974243164
1698744203293.0,350.0761973232664,42.0022087863663,17.53819656188792,99.46612548828125,46.61532974243164
1698744203310.0,350.10823946596497,40.99030752111279,16.0604525469783,99.46612548828125,46.61532974243164
1698744203326.0,349.96443400061855,39.597593220470486,14.10494360581325,101.24925231933594,46.61532974243164
1698744203342.0,349.7735539566592,38.64918915278259,12.829606359022568,102.31607055664062,46.61532974243164
1698744203360.0,349.5241063214909,37.743120506095934,11.41090691456344,103.3838119506836,46.61532974243164
1698744203376.0,349.07604345176145,36.612042774087136,8.981195930189166,104.7101821899414,46.61532974243164
1698744203393.0,348.75587912729196,35.87730550355639,6.907708580359469,104.7101821899414,46.61532974243164
1698744203410.0,348.5307789426554,35.163210101709616,4.878836401030219,106.12796020507812,46.61532974243164
1698744203427.0,348.4447420546532,33.99182781031097,2.265932061091575,106.12796020507812,46.61532974243164
1698744203443.0,348.61722755988376,32.803065941935685,0.12428499805554254,106.12796020507812,46.61532974243164
1698744203460.0,348.94936664524164,31.24366010606834,-2.441358027776968,106.12796020507812,46.61532974243164
1698744203477.0,349.5431775060786,28.768299691777514,-5.872823722690238,106.12796020507812,46.61532974243164
1698744203492.0,350.346745889809,27.303603946775628,-7.3479552257857765,106.12796020507812,46.61532974243164
1698744203510.0,351.1501652113728,26.774004682518672,-8.388465821055346,106.12796020507812,46.61532974243164
1698744203527.0,351.3985329526848,26.695122351561675,-10.138877708285552,106.12796020507812,46.61532974243164
1698744203544.0,350.832552866306,26.53080162375039,-11.620703852764457,106.12796020507812,46.61532974243164
1698744203560.0,349.8893841706904,26.133188659667507,-12.5211072259744,107.3141098022461,30.633996963500977
1698744203577.0,348.0566626858931,25.26833100861152,-12.620650813890451,109.03196716308594,30.399385452270508
1698744203594.0,346.48480839158555,24.79153353607845,-12.061267243439913,110.92681884765625,30.203407287597656
1698744203610.0,345.17417457985056,24.783591895934627,-11.468076011224523,110.92681884765625,30.203407287597656
1698744203627.0,343.6680274115979,25.09968848272019,-10.929576113335013,112.470947265625,30.03711700439453
1698744203644.0,342.68607401243764,25.209080437320324,-10.756767305580283,113.89863586425781,29.894161224365234
1698744203660.0,341.9753985712879,25.20987021785252,-10.69976833278361,113.89863586425781,29.894161224365234
1698744203677.0,341.0105563707232,25.118733305058278,-10.535496951626426,115.80618286132812,29.56435775756836
1698744203694.0,340.20475963112057,25.335849682063067,-9.981921021010674,115.80618286132812,29.56435775756836
1698744203710.0,340.1133335729684,25.685488055194273,-9.385141366203676,115.80618286132812,29.56435775756836
1698744203727.0,341.1175739052207,26.188038053232187,-8.312422268606339,115.80618286132812,29.56435775756836
1698744203744.0,341.6781887496585,26.06265729022859,-7.931595581872539,115.80618286132812,29.56435775756836
1698744203760.0,342.22886258960244,25.8550074340621,-7.3719620240709105,114.46890258789062,29.268539428710938
1698744203777.0,343.6159059727535,25.724463846504186,-6.160835144552214,112.94352722167969,29.211055755615234
1698744203794.0,344.2226193562487,25.294876161493985,-5.3694080146235015,111.71063995361328,29.158470153808594
1698744203810.0,343.82453088998443,24.827154475722484,-4.645919356480786,111.71063995361328,29.158470153808594
1698744203827.0,342.97199009530544,24.36069055916507,-3.64639818358655,111.71063995361328,29.158470153808594
1698744203842.0,342.5948425627255,23.772520128075037,-2.964565361242349,111.71063995361328,29.158470153808594
1698744203860.0,342.49875249836873,23.047699677981953,-2.3391695779934727,112.76876068115234,29.024507522583008
1698744203877.0,342.7558334782783,21.728761615181398,-1.5645752611435955,112.76876068115234,29.024507522583008
1698744203894.0,342.77352035143315,20.67396629139392,-0.8433326080529583,112.76876068115234,29.024507522583008
1698744203910.0,342.4705714364513,20.003305601648467,-0.4933933864579993,112.76876068115234,29.024507522583008
1698744203927.0,342.0609422192146,19.850650051752034,-0.7041667121042772,112.76876068115234,29.024507522583008
1698744203944.0,342.07099176454244,20.129350422439657,-0.9094527567625532,112.76876068115234,29.024507522583008
1698744203961.0,342.36516593573253,20.407579248694578,-0.9017690490133077,112.76876068115234,29.024507522583008
1698744203977.0,342.99512084191156,20.32872529510622,-0.4199433722184477,112.76876068115234,29.024507522583008
1698744203993.0,343.3422728011912,19.789506432968935,0.049052449488237074,112.76876068115234,29.024507522583008
1698744204011.0,343.14735713253896,18.993837930328308,0.543171613269834,111.60362243652344,28.805072784423828
1698744204028.0,342.34406016695,18.632573343882154,0.9850334601933679,111.60362243652344,28.805072784423828
1698744204043.0,341.8997332231536,19.3683624827142,1.05791638414237,112.68268585205078,28.758201599121094
1698744204060.0,341.76756574121,20.60908770390736,1.000757732547972,112.68268585205078,28.758201599121094
1698744204077.0,341.7902502304779,22.313164463436298,0.7885359630097197,112.68268585205078,28.758201599121094
1698744204094.0,341.76500043118546,23.467553937409512,0.6455229021993482,112.68268585205078,28.758201599121094
1698744204111.0,341.6695635332725,24.45123163857433,0.5881910403209132,112.68268585205078,28.758201599121094
1698744204127.0,341.4258231732268,25.25736596187325,0.7293015450597002,112.68268585205078,28.758201599121094
1698744204143.0,341.0562621688246,25.458031537768242,1.1515254815192786,112.68268585205078,28.758201599121094
1698744204160.0,340.8571402061239,25.4352641317565,1.852982266713904,113.8172607421875,28.644542694091797
1698744204178.0,340.84765345299286,25.728542700224946,2.388030414411263,113.8172607421875,28.644542694091797
1698744204193.0,340.934353765746,25.936524357426006,2.6195180476099305,113.8172607421875,28.644542694091797
1698744204210.0,341.02762607244006,26.56315503723128,2.750411928012752,113.8172607421875,28.644542694091797
1698744204227.0,341.0453067184171,27.140497231927668,2.8180237037509595,113.8172607421875,28.644542694091797
1698744204244.0,341.0976806823252,27.43532893491165,2.806231207937365,113.8172607421875,28.644542694091797
1698744204260.0,341.2069578502261,27.793434724909247,2.895938481056695,113.8172607421875,28.644542694091797
1698744204277.0,341.3910558730411,28.006107034892057,3.0327747952088657,113.8172607421875,28.644542694091797
1698744204293.0,341.62218384331214,27.99487467824028,3.1218463473718656,113.8172607421875,28.644542694091797
1698744204310.0,341.88483440480144,28.03311624053125,3.2113933658081377,113.8172607421875,28.644542694091797
1698744204327.0,342.1162448413295,28.262339042091075,3.2975230498480217,113.8172607421875,28.644542694091797
1698744204344.0,342.35789331188334,28.47908833716016,3.3946887431591746,112.67758178710938,22.036958694458008
1698744204360.0,342.56031340961533,28.838755657660663,3.7085893959105363,112.67758178710938,22.036958694458008
1698744204377.0,342.56869678582746,29.019906722355447,4.056563944451152,112.67758178710938,22.036958694458008
1698744204394.0,342.4384546193855,28.92896789725177,4.522697625894445,112.67758178710938,22.036958694458008
1698744204410.0,342.29807148880406,28.465126014311927,5.29062751005918,112.67758178710938,22.036958694458008
1698744204427.0,342.29145082202695,27.9169025731492,5.941880862736013,112.67758178710938,22.036958694458008
1698744204444.0,342.3602339529469,27.08829270832976,6.8741082407369705,112.67758178710938,22.036958694458008
1698744204460.0,342.43314190766614,26.396852374675756,7.5766281124803285,112.67758178710938,22.036958694458008
1698744204477.0,342.486885733806,25.71202357061325,8.234489543130742,112.67758178710938,22.036958694458008
1698744204493.0,342.43714995779203,25.04630726512655,9.085571300525693,112.67758178710938,22.036958694458008
1698744204510.0,342.3297113463192,24.7158731259869,9.591086786272474,112.67758178710938,22.036958694458008
1698744204527.0,342.24076463818346,24.3657356865386,9.92570484171447,112.67758178710938,22.036958694458008
1698744204544.0,342.1993354044269,23.77745928387438,10.217117955207947,112.67758178710938,22.036958694458008
1698744204560.0,342.22587001965053,23.35047882824779,10.399182549188136,112.67758178710938,22.036958694458008
1698744204577.0,342.32262815269377,23.142273454863542,10.587850710360279,112.67758178710938,22.036958694458008
1698744204593.0,342.5435108003198,23.297998393854275,10.824239929743616,112.67758178710938,22.036958694458008
1698744204610.0,342.7619289276225,23.609709894568095,10.960149449714228,112.67758178710938,22.036958694458008
1698744204627.0,342.96304816354734,23.88877461018942,11.023274361125356,112.67758178710938,22.036958694458008
1698744204643.0,343.05418607833434,23.976768819684757,11.062809749507412,112.67758178710938,22.036958694458008
1698744204660.0,343.02096785774836,23.889854596908428,11.085104167335032,112.67758178710938,22.036958694458008
1698744204677.0,342.9989170952482,23.787603772334556,11.133464368019837,112.67758178710938,22.036958694458008
1698744204694.0,343.0904057549828,23.72861622475963,11.276975572628416,112.67758178710938,22.036958694458008
1698744204710.0,343.2873698314991,23.74594949997115,11.36435601331556,112.67758178710938,22.036958694458008
1698744204726.0,343.54607912844756,23.790561045421615,11.384754895754861,112.67758178710938,22.036958694458008
1698744204744.0,343.8772780449908,23.852107028240162,11.28925717470196,111.4989242553711,18.797924041748047
1698744204760.0,344.08547975307664,23.776588066869536,11.097401150653992,111.4989242553711,18.797924041748047
1698744204777.0,344.24541330150294,23.658435341806577,10.91915322904896,111.4989242553711,18.797924041748047
1698744204793.0,344.4118492388324,23.49359544529664,10.83940202136668,111.4989242553711,18.797924041748047
1698744204810.0,344.5156400257112,23.56227315721898,10.936367007451427,111.4989242553711,18.797924041748047
1698744204826.0,344.6190234815612,23.738789225445704,11.04321732353688,111.4989242553711,18.797924041748047
1698744204844.0,344.71580178677647,24.011084398056234,11.070563094416364,111.4989242553711,18.797924041748047
1698744204860.0,344.7476269188854,24.121390833035278,10.909318393482446,111.4989242553711,18.797924041748047
1698744204877.0,344.7188793413432,24.113372231459334,10.700795842586054,111.4989242553711,18.797924041748047
1698744204894.0,344.6721673110773,23.96764438449413,10.363078261005601,111.4989242553711,18.797924041748047
1698744204911.0,344.63591722387844,23.905292614569614,10.220078605144314,111.4989242553711,18.797924041748047
1698744204926.0,344.60413145823816,23.99288496006693,10.25216298251777,111.4989242553711,18.797924041748047
1698744204943.0,344.5677862256545,24.3240675833553,10.49757907832388,111.4989242553711,18.797924041748047
1698744204961.0,344.5248789146585,24.665916726861607,10.742458183120258,111.4989242553711,18.797924041748047
1698744204977.0,344.5287511590555,24.82475404852349,10.813263263093544,111.4989242553711,18.797924041748047
1698744204993.0,344.5727913679022,25.00860691288018,10.813250488561502,111.4989242553711,18.797924041748047
1698744205010.0,344.64153895454086,25.148651031624198,10.722017172687304,111.4989242553711,18.797924041748047
1698744205029.0,344.6656905390025,25.378032700158457,10.7338979845871,111.4989242553711,18.797924041748047
1698744205043.0,344.6505547662564,25.851865829363497,10.852785471980471,111.4989242553711,18.797924041748047
1698744205060.0,344.60483223242437,26.146124110330298,10.936338225046288,111.4989242553711,18.797924041748047
1698744205077.0,344.5474231705207,26.4087316944339,10.88254018359679,111.4989242553711,18.797924041748047
1698744205093.0,344.32736378165936,26.70096010534788,10.884029822172465,111.4989242553711,18.797924041748047
1698744205110.0,344.1088718473566,26.95219282970788,10.9066297404886,111.4989242553711,18.797924041748047
1698744205127.0,343.89372653302786,27.23057774680943,10.91737228653053,111.4989242553711,18.797924041748047
1698744205144.0,343.5906850436436,27.544071777417553,10.951296451585291,111.4989242553711,18.797924041748047
1698744205160.0,343.3404368600082,27.73021125524062,10.984563743392624,111.4989242553711,18.797924041748047
1698744205177.0,343.10157959202274,27.89164269467819,11.019165916302704,112.70207977294922,18.067472457885742
1698744205194.0,342.81579752178897,28.057894944267968,11.053718873317603,112.70207977294922,18.067472457885742
1698744205210.0,342.5997337287352,28.170921471823426,11.075883302385444,112.70207977294922,18.067472457885742
1698744205227.0,342.39621412592726,28.306820637161074,11.075922889741381,112.70207977294922,18.067472457885742
1698744205243.0,342.2305253496793,28.515463737227567,10.973881443595314,112.70207977294922,18.067472457885742
1698744205260.0,342.1786287788733,28.655550493429764,10.833824329047491,112.70207977294922,18.067472457885742
1698744205278.0,342.1392480307019,28.763915922335283,10.66608032424518,113.80286407470703,18.01776695251465
1698744205293.0,342.0204447771493,28.799705092355463,10.299758764816271,113.80286407470703,18.01776695251465
1698744205310.0,341.8553601735619,28.731562957660383,9.942049263327402,113.80286407470703,18.01776695251465
1698744205327.0,341.7202605277704,28.64377818581721,9.486134321709589,113.80286407470703,18.01776695251465
1698744205343.0,341.6254900085929,28.502202022656437,8.64606017048977,113.80286407470703,18.01776695251465
1698744205360.0,341.4821860358131,28.356188100526897,7.856441087305214,115.0501937866211,17.98114013671875
1698744205377.0,341.12123341536903,28.151612369008166,6.934101455055035,115.0501937866211,17.98114013671875
1698744205394.0,340.2249891844716,27.709291628661408,5.348023111174549,116.9004898071289,17.96384048461914
1698744205410.0,339.34341697614985,27.156417658500978,3.7036978392182225,118.61457061767578,17.955421447753906
1698744205427.0,338.4502259996665,26.354039199898907,1.5473010164884806,118.61457061767578,17.955421447753906
1698744205444.0,337.38849315203066,24.902616686364183,-2.085506156166179,120.55770111083984,17.947153091430664
1698744205460.0,336.6650858520721,23.530140039667128,-5.216168512861044,122.46792602539062,17.939027786254883
1698744205477.0,335.7704334642955,21.442583546037135,-9.714216062980247,124.28253173828125,17.93103790283203
1698744205493.0,335.13161138978285,19.772051617724905,-13.157118396909025,125.92242431640625,17.923171997070312
1698744205510.0,334.5097081596245,18.1226574231988,-16.567605712992563,127.37154388427734,17.915424346923828
1698744205529.0,333.71153689634303,16.100698633164033,-21.30112756089096,127.37154388427734,17.915424346923828
1698744205544.0,333.16106240322586,14.7295303368562,-25.203582317613236,128.6998291015625,17.90778923034668
1698744205561.0,332.55693999627204,13.378565694837212,-29.545502980520787,129.95608520507812,17.9002742767334
1698744205577.0,331.6160834731025,11.55787405211064,-35.83555345771963,131.31143188476562,17.89288330078125
1698744205593.0,331.00855221690097,10.128478816303303,-40.580665088431296,132.55918884277344,17.88559913635254
1698744205610.0,330.48398583629745,8.355583002778415,-44.93553980179732,132.55918884277344,17.88559913635254
1698744205627.0,329.5347820620662,5.116084872535294,-49.91948561170845,132.55918884277344,17.88559913635254
1698744205643.0,328.65318396305264,2.3179067064579826,-53.18885017635788,132.55918884277344,17.88559913635254
1698744205660.0,327.80378124998305,-0.2931279140748329,-56.37491409584173,132.55918884277344,17.88559913635254
1698744205676.0,326.9270037718576,-3.123196140302743,-60.99419065713616,132.55918884277344,17.88559913635254
1698744205693.0,326.4765310371982,-4.8970737181202,-64.83139338071142,132.55918884277344,17.88559913635254
1698744205709.0,326.12464873642455,-6.646342124220118,-68.78493876665371,131.37135314941406,17.84380531311035
1698744205726.0,325.61509252757446,-9.286408365505412,-73.81461638677666,131.37135314941406,17.84380531311035
1698744205743.0,325.15185796255724,-11.609293702018583,-77.10447602746171,129.45870971679688,17.843814849853516
1698744205759.0,324.577951016647,-14.147581077702014,-79.91616580808733,126.98653411865234,17.843814849853516
1698744205776.0,323.6671014576078,-17.660152003272444,-83.03476438524152,124.18831634521484,17.843801498413086
1698744205793.0,322.8400950237291,-20.29446546209116,-85.10987532031545,121.29187774658203,17.84377670288086
1698744205809.0,321.61990439327946,-23.803768690889818,-87.8291758435925,118.31031036376953,17.843740463256836
1698744205826.0,320.637885544908,-26.472408447492157,-89.95178368683116,114.99031829833984,17.843698501586914
1698744205843.0,139.55450815239197,-150.8352162959007,87.81272280856469,114.99031829833984,17.843698501586914
1698744205859.0,137.73326396751443,-147.23267318391137,84.71214221449232,111.35169219970703,17.843643188476562
1698744205876.0,135.88246000984054,-144.55044287126438,82.31009808746634,107.71952056884766,17.843578338623047
1698744205893.0,133.5501185167222,-141.92491013409935,79.86203200282868,104.47147369384766,17.84349250793457
1698744205909.0,129.78730313987109,-138.54606684660092,76.52281326698595,101.69056701660156,17.843385696411133
1698744205926.0,126.65792502094865,-136.21340915198346,73.91397370746849,99.2295913696289,17.84324836730957
1698744205943.0,123.5422176261556,-134.18675955451576,71.29327799694121,99.2295913696289,17.84324836730957
1698744205959.0,119.97076042174392,-132.00403092002358,68.05583773744223,97.00802612304688,17.84305763244629
1698744205976.0,117.92999019770888,-130.71784999041205,65.95789041844199,94.77526092529297,17.84276008605957
1698744205993.0,116.28800069873158,-129.7907560627018,64.20132121573002,92.70521545410156,17.842193603515625
1698744206009.0,114.28333554868239,-129.1701218074317,62.41900656511578,91.65396881103516,17.840450286865234
1698744206026.0,112.69495947002552,-129.07212746998033,61.476823879712825,91.65396881103516,17.840450286865234
1698744206043.0,111.01228236557272,-129.09807439839986,60.792298710529366,91.65396881103516,17.840450286865234
1698744206059.0,108.77658806077697,-129.14555616012265,60.16617197571365,93.37641906738281,17.835918426513672
1698744206076.0,107.37106931555172,-129.162630643138,60.006402162747996,94.98857879638672,17.83527183532715
1698744206093.0,106.4303652964239,-129.21536464163043,60.267408434930694,96.68671417236328,17.834613800048828
1698744206110.0,106.23188578035735,-129.37352455348653,61.50158769444696,98.46410369873047,17.833450317382812
1698744206126.0,106.95805118286754,-129.62797745128117,63.111546883849506,100.23822021484375,17.829774856567383
1698744206143.0,108.18568862539064,-129.89337527563558,64.98013454553077,100.23822021484375,17.829774856567383
1698744206160.0,110.60083275208831,-130.21997361969645,67.83807881717252,101.6318588256836,17.828821182250977
1698744206176.0,112.9620327199048,-130.48092792416068,70.15861725832505,101.6318588256836,17.828821182250977
1698744206193.0,115.65248789688494,-130.8649409519061,72.49623168505784,101.6318588256836,17.828821182250977
1698744206210.0,119.37035476459911,-131.73474805244098,75.40385228873406,101.6318588256836,17.828821182250977
1698744206226.0,121.99189318939972,-132.66681701832928,77.27470568233831,101.6318588256836,17.828821182250977
1698744206243.0,124.36717938738516,-133.76840924386934,78.82180150203435,101.6318588256836,17.828821182250977
1698744206259.0,127.21719337908927,-135.391491411509,80.49980326268786,102.86698913574219,17.82696533203125
1698744206276.0,129.20660415808447,-136.6066160347028,81.64293657270446,102.86698913574219,17.82696533203125
1698744206293.0,131.13943314243116,-137.82074039881047,82.76832847287424,102.86698913574219,17.82696533203125
1698744206310.0,133.71120221976955,-139.64757569954125,84.2746063225,103.9832534790039,17.824382781982422
1698744206326.0,135.6399948476486,-141.27928381543367,85.36771659927602,103.9832534790039,17.824382781982422
1698744206343.0,137.53469185080368,-143.03029987810453,86.32494923818251,103.9832534790039,17.824382781982422
1698744206360.0,140.09418745912856,-145.5598369318319,87.41867833734582,105.45726776123047,17.8177433013916
1698744206376.0,142.04778233420637,-147.4828546269134,88.12061045878313,105.45726776123047,17.8177433013916
1698744206393.0,143.95158883885122,-149.42114904400154,88.7455336097052,106.66739654541016,17.813812255859375
1698744206410.0,146.17785234704962,-152.06964848549975,89.40155803620192,106.66739654541016,17.813812255859375
1698744206427.0,147.5495315478494,-154.02057118863263,89.78411486126242,108.35963439941406,17.81259536743164
1698744206444.0,328.65411122958153,-24.133683843472607,-89.91508501318064,108.35963439941406,17.81259536743164
1698744206460.0,329.75367075074445,-21.862464899624687,-89.66388108053322,109.53997802734375,17.81205940246582
1698744206476.0,330.3827225037834,-20.27744808864193,-89.61029408253034,110.81668853759766,17.81138038635254
1698744206493.0,330.9200387157709,-18.828932261870587,-89.67881886755762,112.05567169189453,17.8101863861084
1698744206510.0,331.48923591105245,-17.094174879807706,-89.97081349098215,113.14955139160156,17.807514190673828
1698744206528.0,151.72875310441455,-164.06337975654347,89.6804492488682,114.2138900756836,17.804786682128906
1698744206544.0,151.7640754395453,-165.0607611051401,89.33432771263232,114.2138900756836,17.804786682128906
1698744206560.0,151.5154942960551,-166.175680040493,88.95006646470824,115.4086685180664,17.803647994995117
1698744206577.0,151.14911006309123,-166.79073135326772,88.7548115472378,116.69451904296875,17.803035736083984
1698744206594.0,150.6445818314793,-167.15682864395274,88.6658676756442,117.90436553955078,17.802597045898438
1698744206610.0,149.7918988246892,-167.21582424016054,88.62201187720596,117.90436553955078,17.802597045898438
1698744206627.0,149.05416349028047,-166.985288759436,88.62340781863566,119.57887268066406,17.801902770996094
1698744206644.0,148.2662885755559,-166.5764387605744,88.64737913843736,119.57887268066406,17.801902770996094
1698744206661.0,147.23369871929512,-165.7920459073132,88.72205600571685,119.57887268066406,17.801902770996094
1698744206677.0,146.56269072990708,-165.04639635740733,88.77094585510025,119.57887268066406,17.801902770996094
1698744206693.0,146.06949688105533,-164.19430548946895,88.77076739530963,119.57887268066406,17.801902770996094
1698744206710.0,145.76577100308094,-162.90841907464025,88.61218552765611,119.57887268066406,17.801902770996094
1698744206727.0,145.82578312776826,-161.83326860092328,88.32867369174399,117.43768310546875,17.800949096679688
1698744206744.0,146.11540503713627,-160.6349239771876,87.91303918402522,117.43768310546875,17.800949096679688
1698744206760.0,146.70645162803854,-158.81814200493548,87.15109165085491,115.13018798828125,17.80083656311035
1698744206777.0,147.17449652141656,-157.34190073505172,86.49912156766052,112.26763153076172,17.800735473632812
1698744206794.0,147.6650624270657,-155.27328470005963,85.65707092952087,109.20025634765625,17.800634384155273
1698744206810.0,147.8627496524569,-153.68446911662446,85.09660077123993,106.22234344482422,17.80052947998047
1698744206827.0,147.9248921411865,-152.09174946758233,84.61579666929669,103.49565887451172,17.80042266845703
1698744206844.0,147.8983705900809,-149.9947751878127,84.14010547423135,103.49565887451172,17.80042266845703
1698744206860.0,147.82180488483885,-148.45784577550612,83.88390863022362,100.98789978027344,17.800312042236328
1698744206877.0,147.66661481686856,-146.97435093602388,83.6709903426478,98.69038391113281,17.80019760131836
1698744206893.0,147.35729034464433,-145.5301443316214,83.43719975908398,96.68782806396484,17.800086975097656
1698744206910.0,146.65296021870603,-143.5126899565831,82.97814324306859,94.87582397460938,17.799978256225586
1698744206927.0,145.84796509808115,-141.90514733755032,82.41271974556639,93.07325744628906,17.799875259399414
1698744206943.0,144.28083142993182,-139.6989331648567,81.35108038231444,93.07325744628906,17.799875259399414
1698744206960.0,142.68468887124843,-138.04337732440257,80.35881696933994,91.43383026123047,17.799772262573242
1698744206977.0,140.7558189869603,-136.40559730796434,79.20396843120143,90.13909912109375,17.79966926574707
1698744206993.0,137.81167056484801,-134.2597832034875,77.43161906887434,89.11002349853516,17.7995662689209
1698744207010.0,135.42081293038876,-132.70071416407635,75.9310691003906,89.11002349853516,17.7995662689209
1698744207027.0,132.9714036144811,-131.21013557018048,74.33846390854254,87.20955657958984,17.79935073852539
1698744207044.0,129.73838852283828,-129.36643126863183,72.14504517853575,87.20955657958984,17.79935073852539
1698744207060.0,127.42690109341716,-128.11789253707278,70.53209572837294,87.20955657958984,17.79935073852539
1698744207077.0,124.49711741455123,-126.61847739422876,68.4469900170452,85.22860717773438,17.799108505249023
1698744207093.0,123.0766425337681,-125.92930112993537,67.41722933176369,85.22860717773438,17.799108505249023
1698744207110.0,120.28955179527277,-124.67704583771938,65.31350372624605,83.34040069580078,17.798826217651367
1698744207127.0,117.53289248728264,-123.57412079153337,63.0812574279379,83.34040069580078,17.798826217651367
1698744207144.0,115.54192796584044,-122.83536441050364,61.33977774111603,83.34040069580078,17.798826217651367
1698744207161.0,113.7363098388139,-122.17461778497962,59.67977970799082,81.25682067871094,17.798505783081055
1698744207176.0,111.8694081605141,-121.44717850703486,57.95231425658778,80.10643005371094,17.79833984375
1698744207194.0,111.08444584779227,-120.99320096595088,57.19544097788993,80.10643005371094,17.79833984375
1698744207209.0,110.90139743979046,-120.62895600404161,57.02140051059911,78.39674377441406,17.79802894592285
1698744207228.0,111.32645061711538,-120.36810393912829,57.57718153831835,78.39674377441406,17.79802894592285
1698744207243.0,111.73696354745363,-120.35092021068913,58.28473093432506,78.39674377441406,17.79802894592285
1698744207260.0,111.92606724448527,-120.45655672600365,58.889567620044765,78.39674377441406,17.79802894592285
1698744207277.0,111.67610522714469,-120.84142099252634,59.35172244736495,79.51775360107422,17.797578811645508
1698744207293.0,111.24763451506759,-121.35950640287716,59.57156901455375,80.88384246826172,17.797414779663086
1698744207310.0,110.87678154131308,-122.02640408949497,59.8952375179117,82.78006744384766,17.797245025634766
1698744207327.0,110.83868448389714,-123.00628288253768,60.66567806535769,84.8854751586914,17.797075271606445
1698744207343.0,111.32238004072842,-123.72733852330236,61.53784842301986,84.8854751586914,17.797075271606445
1698744207360.0,112.3534417379162,-124.41223010240084,62.667558757736295,86.75523376464844,17.796911239624023
1698744207376.0,113.96352865570671,-125.05223589592413,64.01439844550097,88.07696533203125,17.7967529296875
1698744207393.0,116.93856505443006,-125.89110442906961,66.02583957341258,88.07696533203125,17.7967529296875
1698744207410.0,119.57216833437111,-126.63730689376571,67.56379943488865,88.07696533203125,17.7967529296875
