ts,alpha,beta,gamma
1698744215490.0,-418,749,271
1698744215571.0,-406,745,278
1698744215650.0,-418,749,267
1698744215730.0,-417,749,265
1698744215811.0,-418,733,270
1698744215890.0,-426,728,266
1698744215970.0,-422,712,275
1698744216051.0,-422,717,270
1698744216130.0,-434,715,272
1698744216210.0,-433,708,272
1698744216291.0,-425,722,281
1698744216370.0,-430,721,270
