ts,alpha,beta,gamma
1698420161075.0,-281,415,529
1698420161158.0,-291,410,534
1698420161235.0,-290,408,540
1698420161315.0,-282,401,527
1698420161397.0,-290,410,533
1698420161475.0,-290,411,541
1698420161559.0,-289,397,539
1698420161635.0,-287,404,532
1698420161715.0,-289,409,544
1698420161797.0,-296,402,533
1698420161875.0,-301,392,542
1698420161958.0,-297,398,534
1698420162035.0,-298,401,542
1698420162115.0,-294,403,534
1698420162197.0,-298,396,541
1698420162275.0,-296,404,540
1698420162357.0,-294,394,536
1698420162435.0,-289,396,529
1698420162515.0,-293,406,531
1698420162596.0,-285,398,541
1698420162675.0,-290,410,533
1698420162757.0,-293,412,530
1698420162835.0,-296,421,536
1698420162915.0,-290,418,524
1698420162996.0,-293,416,530
1698420163070.0,-297,418,528
1698420163158.0,-284,428,528
1698420163235.0,-289,425,525
1698420163315.0,-271,432,539
1698420163396.0,-268,444,542
1698420163475.0,-247,432,545
1698420163557.0,-269,439,533
1698420163635.0,-244,441,542
1698420163715.0,-251,440,545
1698420163796.0,-255,436,544
1698420163875.0,-252,439,540
1698420163957.0,-265,435,542
1698420164035.0,-256,433,542
1698420164115.0,-267,433,555
1698420164196.0,-267,428,560
1698420164275.0,-288,411,555
1698420164358.0,-283,414,551
1698420164435.0,-295,420,557
1698420164515.0,-274,438,550
1698420164596.0,-274,457,539
1698420164675.0,-288,443,544
1698420164755.0,-296,432,551
1698420164835.0,-298,421,540
1698420164915.0,-306,402,545
1698420164995.0,-296,403,553
1698420165075.0,-285,410,572
1698420165154.0,-285,387,575
1698420165235.0,-271,388,573
1698420165315.0,-256,407,573
1698420165395.0,-250,417,580
1698420165474.0,-255,431,555
1698420165557.0,-263,443,557
1698420165634.0,-268,448,556
1698420165714.0,-278,455,555
1698420165795.0,-293,462,538
1698420165874.0,-290,454,551
1698420165955.0,-303,433,570
1698420166034.0,-292,425,574
1698420166114.0,-301,399,583
1698420166195.0,-295,398,600
1698420166274.0,-225,435,617
1698420166354.0,-65,497,623
1698420166434.0,109,494,614
1698420166515.0,207,498,551
1698420166594.0,260,484,548
1698420166674.0,284,447,539
1698420166754.0,300,435,523
1698420166834.0,265,457,535
1698420166914.0,220,481,558
1698420166994.0,142,475,583
1698420167075.0,48,482,608
1698420167154.0,-60,477,622
1698420167234.0,-111,432,613
1698420167314.0,-85,454,605
1698420167394.0,18,449,623
1698420167474.0,108,448,604
1698420167554.0,194,454,559
1698420167634.0,244,416,542
1698420167714.0,279,373,546
1698420167794.0,261,376,526
1698420167874.0,232,416,530
1698420167954.0,171,437,558
1698420168034.0,119,429,596
1698420168114.0,26,440,605
1698420168194.0,-70,430,608
1698420168274.0,-103,414,613
1698420168354.0,-64,411,601
1698420168434.0,7,402,611
1698420168514.0,76,389,594
1698420168594.0,146,415,555
1698420168674.0,192,390,551
1698420168754.0,229,353,542
1698420168835.0,226,349,536
1698420168914.0,195,364,542
1698420168994.0,182,371,553
1698420169074.0,147,380,573
1698420169154.0,66,403,576
1698420169234.0,-6,426,588
1698420169314.0,-53,423,588
1698420169394.0,-61,411,582
1698420169474.0,15,416,597
1698420169554.0,90,397,588
1698420169634.0,142,400,561
1698420169714.0,182,395,536
1698420169794.0,212,356,536
1698420169874.0,231,333,526
1698420169954.0,221,349,518
1698420170034.0,200,386,517
1698420170114.0,163,389,538
1698420170194.0,104,419,557
1698420170274.0,17,459,564
1698420170354.0,-49,440,575
1698420170434.0,-77,425,567
1698420170514.0,-34,431,566
1698420170594.0,39,436,577
1698420170674.0,108,427,542
