isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,2329,1698420162386.0
False,0.0,0,0,2329,1698420163379.0
False,0.0,0,0,2329,1698420163872.0
False,0.0,0,0,2329,1698420164861.0
False,0.0,0,0,2329,1698420166346.0
False,0.0,0,0,2329,1698420166842.0
False,0.0,0,0,2329,1698420168327.0
False,0.0,0,0,2329,1698420168821.0
False,1.359375,16,121,2341,1698420169813.0
False,1.46875,32,162,2354,1698420170804.0
False,1.5,47,202,2372,1698420172291.0
False,1.5,61,220,2387,1698420172782.0
False,1.46875,59,227,2403,1698420173775.0
False,1.4140625,58,193,2417,1698420174772.0
False,1.38671875,57,160,2431,1698420175752.0
False,1.359375,56,149,2445,1698420177239.0
False,1.33203125,55,147,2459,1698420177733.0
False,1.33203125,53,147,2474,1698420178719.0
False,1.3046875,53,147,2489,1698420180704.0
False,1.21875,54,147,2502,1698420181691.0
False,1.21875,54,147,2502,1698420182682.0
False,1.19140625,50,146,2516,1698420183177.0
False,1.1640625,51,145,2528,1698420184169.0
False,1.19140625,53,143,2539,1698420185648.0
False,1.21875,52,141,2552,1698420186643.0
False,1.25,57,139,2565,1698420188128.0
False,1.33203125,58,137,2594,1698420190110.0
False,1.359375,57,136,2609,1698420190111.0
False,1.359375,57,138,2624,1698420191597.0
False,1.359375,57,138,2624,1698420192581.0
False,1.359375,57,141,2639,1698420193076.0
False,1.359375,56,144,2653,1698420194068.0
False,1.33203125,56,147,2668,1698420195059.0
False,1.27734375,54,147,2683,1698420196046.0
False,1.27734375,54,147,2683,1698420197531.0
False,0.0,0,0,2683,1698420198521.0
False,0.0,0,0,2683,1698420199016.0
False,0.0,0,0,2683,1698420200002.0
