timestamp,hr,conf
1698420161.489,63,99
1698420163.521,63,99
1698420163.988,60,88
1698420164.896,62,84
1698420165.72,62,76
1698420166.62,65,84
1698420168.652,65,84
1698420170.218,65,0
1698420171.117,66,0
1698420172.918,66,37
1698420173.783,68,28
1698420174.682,68,7
1698420175.582,68,96
1698420177.381,68,94
1698420178.247,72,100
1698420179.18,73,100
1698420180.013,75,93
1698420180.846,77,90
1698420181.679,77,92
1698420182.545,76,95
1698420183.378,76,93
1698420185.154,76,94
1698420186.043,73,93
1698420187.842,73,94
1698420188.708,75,93
1698420189.777,77,95
1698420190.733,75,96
1698420192.307,73,95
1698420193.173,73,9
1698420194.363,73,45
1698420195.446,73,11
1698420196.406,73,0
1698420196.738,73,36
1698420198.564,73,10
1698420198.57,73,7
1698420199.437,73,41
1698420200.306,73,45
1698420201.102,68,49
