ts,steps
1698420166197.0,2198
1698420166757.0,2199
1698420167156.0,2200
1698420167719.0,2201
1698420168196.0,2202
1698420168756.0,2203
1698420169319.0,2204
1698420169876.0,2205
1698420170356.0,2206
1698420170918.0,2207
1698420171395.0,2208
1698420172036.0,2209
1698420172518.0,2210
1698420173155.0,2211
1698420173635.0,2212
1698420174356.0,2213
1698420174835.0,2214
1698420175475.0,2215
1698420175955.0,2216
1698420180674.0,2222
1698420181317.0,2223
1698420181716.0,2224
1698420182355.0,2225
1698420182755.0,2226
1698420183394.0,2227
1698420183873.0,2228
1698420184913.0,2229
1698420185477.0,2230
1698420185953.0,2231
1698420186593.0,2232
1698420186993.0,2233
1698420187633.0,2234
1698420188113.0,2235
1698420188753.0,2236
1698420189414.0,2237
1698420190193.0,2238
1698420190435.0,2239
1698420190947.0,2240
1698420191687.0,2241
