ms,x,y,z
1698745594277.0,200,631,247
1698745594355.0,209,585,269
1698745594435.0,210,546,286
1698745594515.0,190,499,302
1698745594595.0,179,496,324
1698745594677.0,175,508,335
1698745594755.0,182,531,331
1698745594961.0,185,600,360
1698745595138.0,195,600,350
1698745595151.0,186,591,354
1698745595232.0,171,578,361
1698745595237.0,169,559,373
1698745595318.0,158,575,382
1698745595395.0,150,574,400
1698745595498.0,137,571,399
1698745595554.0,127,580,406
1698745595771.0,115,555,402
1698745596128.0,111,528,403
1698745596133.0,124,592,380
1698745596221.0,121,597,376
1698745596309.0,114,597,381
1698745596354.0,112,622,373
1698745596435.0,128,617,378
1698745596517.0,122,594,372
1698745596594.0,114,571,377
1698745596677.0,99,560,384
1698745596754.0,93,545,390
1698745596834.0,97,534,384
1698745596916.0,103,520,378
1698745596994.0,123,520,380
1698745597268.0,135,522,354
1698745597276.0,142,573,367
1698745597448.0,128,593,367
1698745597453.0,130,620,378
1698745597544.0,142,635,374
1698745597554.0,147,588,357
1698745597691.0,161,546,360
1698745597716.0,135,500,354
1698745597794.0,115,493,366
1698745597877.0,108,463,347
1698745597954.0,103,464,356
1698745598228.0,120,505,363
1698745598233.0,135,569,360
1698745598318.0,124,585,358
1698745598354.0,116,598,359
1698745598434.0,119,609,376
1698745598515.0,109,615,366
1698745598594.0,134,608,355
1698745598677.0,125,572,347
1698745598754.0,126,550,346
1698745598834.0,114,527,354
1698745598915.0,98,509,360
1698745598994.0,95,486,359
1698745599077.0,91,501,368
1698745599154.0,98,527,366
1698745599234.0,100,566,365
1698745599316.0,96,584,379
1698745599394.0,93,596,386
1698745599476.0,67,597,395
1698745599554.0,49,633,397
1698745599634.0,75,636,383
1698745599715.0,94,605,382
1698745599794.0,94,576,373
1698745599876.0,100,536,369
1698745599954.0,83,526,380
1698745600034.0,71,515,391
1698745600115.0,70,534,399
1698745600194.0,62,503,410
1698745600274.0,94,467,406
1698745600354.0,138,461,402
1698745600434.0,159,497,391
1698745600515.0,163,534,389
1698745600594.0,161,555,395
1698745600674.0,172,541,373
1698745600754.0,165,499,356
1698745600834.0,169,451,337
1698745600914.0,136,445,342
1698745600994.0,123,432,346
1698745601074.0,114,419,346
1698745601154.0,150,445,347
1698745601234.0,148,490,341
1698745601314.0,173,527,333
1698745601393.0,179,574,348
1698745601474.0,185,622,351
1698745601553.0,181,635,357
1698745601634.0,182,648,348
1698745601714.0,198,620,339
1698745601793.0,212,581,317
1698745601873.0,205,547,317
1698745601954.0,198,512,314
1698745602033.0,175,473,325
1698745602113.0,176,439,308
1698745602194.0,185,475,320
1698745602273.0,192,515,312
1698745602353.0,202,567,324
1698745602434.0,193,611,344
1698745602513.0,178,652,343
1698745602593.0,188,650,357
1698745602732.0,179,665,351
1698745602753.0,198,626,337
1698745602833.0,206,587,329
1698745602913.0,204,548,305
1698745603004.0,189,535,325
1698745603151.0,179,491,338
1698745603158.0,175,451,326
1698745603332.0,214,499,310
1698745603393.0,217,533,320
1698745603842.0,233,648,346
1698745603962.0,241,539,336
1698745604033.0,219,492,329
1698745604113.0,192,459,330
1698745604193.0,194,437,334
1698745604273.0,203,446,348
1698745604354.0,240,491,342
1698745604433.0,248,540,359
1698745604513.0,240,628,375
1698745604594.0,223,707,383
1698745604673.0,212,713,398
1698745604948.0,231,705,392
1698745604954.0,260,594,372
1698745605128.0,264,546,356
1698745605136.0,253,494,355
1698745605249.0,243,447,347
1698745605256.0,233,421,358
1698745605344.0,255,461,340
1698745605671.0,276,503,357
1698745605676.0,214,684,405
1698745606092.0,250,542,364
1698745606113.0,243,515,346
1698745606274.0,217,450,339
1698745606392.0,200,468,357
1698745606433.0,218,503,356
1698745606513.0,210,559,365
1698745606594.0,214,617,386
1698745606673.0,188,643,396
1698745606809.0,182,637,412
1698745606833.0,176,646,403
1698745607199.0,199,633,392
1698745607207.0,218,490,356
1698745607324.0,199,430,325
1698745607409.0,202,447,353
1698745607473.0,219,496,361
1698745607552.0,215,550,368
1698745607632.0,204,604,393
1698745608405.0,203,478,339
1698745608579.0,196,466,342
1698745608590.0,188,505,366
1698745608942.0,168,635,388
1698745609390.0,167,632,378
1698745609395.0,180,624,386
1698745609694.0,21,705,454
1698745610559.0,-38,695,455
1698745610565.0,-68,637,474
1698745610714.0,-76,624,467
1698745610829.0,-73,637,479
1698745610837.0,-63,642,480
1698745610979.0,-87,621,470
1698745610992.0,-77,632,477
1698745611102.0,-82,645,483
1698745611152.0,-52,642,473
1698745611729.0,-16,652,472
1698745611737.0,170,490,371
1698745611824.0,176,494,370
1698745611909.0,173,506,376
1698745611952.0,192,529,364
1698745612059.0,190,557,370
1698745612112.0,201,601,368
1698745612192.0,197,615,357
1698745612272.0,202,616,365
1698745612929.0,202,598,369
1698745612937.0,171,585,392
1698745613053.0,183,579,397
1698745613071.0,161,612,394
1698745613263.0,172,615,404
1698745613319.0,172,631,401
1698745613391.0,182,635,385
1698745613472.0,190,600,376
1698745613551.0,196,596,359
1698745614189.0,215,571,354
1698745614195.0,86,787,191
1698745614314.0,79,757,176
1698745614351.0,86,780,190
1698745614588.0,131,807,240
1698745614593.0,128,802,254
1698745615093.0,165,772,245
1698745615389.0,172,778,261
1698745615395.0,170,769,247
1698745615843.0,-168,676,465
1698745615871.0,-213,648,476
1698745616508.0,-196,626,479
