timestamp,steps
1698745583.857,3579
1698745584.217,3580
1698745585.239,3581
1698745586.358,3582
1698745587.318,3583
1698745588.438,3584
1698745588.998,3585
1698745589.318,3586
1698745590.549,3587
1698745591.599,3588
1698745592.118,3589
1698745592.803,3590
1698745594.117,3591
1698745594.357,3592
1698745595.5,3593
1698745596.135,3594
1698745596.679,3595
1698745602.438,3601
1698745603.152,3602
1698745603.846,3603
1698745604.515,3604
1698745605.25,3605
1698745605.678,3606
1698745606.278,3607
1698745606.675,3608
1698745607.326,3609
1698745608.409,3610
1698745608.946,3611
1698745609.689,3612
1698745610.709,3613
