ts,hr,conf
1698745576320.0,120,74
1698745577253.0,120,43
1698745578122.0,120,0
1698745579018.0,120,29
1698745579851.0,120,64
1698745580687.0,120,43
1698745581704.0,120,71
1698745582360.0,120,72
1698745584082.0,123,72
1698745586147.0,123,72
1698745586780.0,123,0
1698745589446.0,123,56
1698745590345.0,125,56
1698745591244.0,123,50
1698745592144.0,124,43
1698745593082.0,124,5
1698745594005.0,124,9
1698745594963.0,124,45
1698745595776.0,124,3
1698745596519.0,124,34
1698745597455.0,124,55
1698745599079.0,101,75
1698745599907.0,99,78
1698745600806.0,96,100
1698745601716.0,96,60
1698745602572.0,96,52
1698745603844.0,96,82
1698745604338.0,96,70
1698745605338.0,96,47
1698745606276.0,96,50
1698745607319.0,96,52
1698745608407.0,96,91
1698745608944.0,94,84
1698745609702.0,94,87
1698745610716.0,92,84
1698745611819.0,92,93
1698745612939.0,92,94
1698745613268.0,93,94
1698745614309.0,95,91
1698745615095.0,95,78
1698745616510.0,95,60
