timestamp,ppg
1698745575.001027,11563.0
1698745575.021438,11557.0
1698745575.0418484,11553.0
1698745575.062259,11545.0
1698745575.0826697,11540.0
1698745575.1030803,11536.0
1698745575.123491,11534.0
1698745575.1439016,11529.0
1698745575.1643121,11527.0
1698745575.184723,11530.0
1698745575.2051332,11536.0
1698745575.225544,11544.0
1698745575.2459545,11550.0
1698745575.2663653,11562.0
1698745575.2867758,11573.0
1698745575.3071864,11566.0
1698745575.327597,11565.0
1698745575.3480077,11570.0
1698745575.3684182,11568.0
1698745575.3888288,11569.0
1698745575.4092395,11565.0
1698745575.4296498,11563.0
1698745575.4500604,11565.0
1698745575.4704711,11559.0
1698745575.490882,11563.0
1698745575.5112925,11568.0
1698745575.5317032,11587.0
1698745575.5521135,11615.0
1698745575.572524,11641.0
1698745575.5929348,11657.0
1698745575.6133456,11677.0
1698745575.6337562,11689.0
1698745575.6541667,11702.0
1698745575.6745775,11711.0
1698745575.6949878,11742.0
1698745575.7153986,11758.0
1698745575.735809,11766.0
1698745575.7562194,11790.0
1698745575.7766304,11816.0
1698745575.797041,11841.0
1698745575.8174515,11866.0
1698745575.837862,11886.0
1698745575.8582728,11894.0
1698745575.878683,11909.0
1698745575.899094,11918.0
1698745575.9195046,11919.0
1698745575.939915,11905.0
1698745575.9603257,11904.0
1698745575.9807363,11902.0
1698745576.001147,11893.0
1698745576.0215576,11887.0
1698745576.0419686,11894.0
1698745576.062379,11893.0
1698745576.0827894,11899.0
1698745576.1032,11909.0
1698745576.1236105,11918.0
1698745576.1440213,11909.0
1698745576.1644318,11909.0
1698745576.1848423,11897.0
1698745576.205253,11895.0
1698745576.2256637,11884.0
1698745576.2460742,11868.0
1698745576.266485,11860.0
1698745576.2868955,11850.0
1698745576.307306,11833.0
1698745576.3277166,11834.0
1698745576.3481271,11821.0
1698745576.368538,11815.0
1698745576.3889484,11797.0
1698745576.4093592,11786.0
1698745576.4297698,11778.0
1698745576.4501805,11775.0
1698745576.4705908,11764.0
1698745576.4910016,11762.0
1698745576.5114121,11757.0
1698745576.5318227,11763.0
1698745576.5522335,11761.0
1698745576.572644,11759.0
1698745576.5930545,11754.0
1698745576.613465,11753.0
1698745576.6338754,11755.0
1698745576.6542864,11756.0
1698745576.674697,11767.0
1698745576.6951077,11767.0
1698745576.715518,11775.0
1698745576.7359288,11779.0
1698745576.7563393,11781.0
1698745576.77675,11792.0
1698745576.7971606,11787.0
1698745576.8175714,11786.0
1698745576.837982,11796.0
1698745576.8583922,11787.0
1698745576.878803,11785.0
1698745576.8992136,11783.0
1698745576.9196246,11781.0
1698745576.9400349,11779.0
1698745576.9604456,11779.0
1698745576.980856,11781.0
1698745577.0012667,11782.0
1698745577.0216773,11781.0
1698745577.0420878,11780.0
1698745577.0624983,11780.0
1698745577.082909,11781.0
1698745577.1033196,11779.0
1698745577.1237302,11785.0
1698745577.144141,11780.0
1698745577.1645515,11788.0
1698745577.1849623,11788.0
1698745577.2053728,11784.0
1698745577.2257833,11790.0
1698745577.246194,11791.0
1698745577.2666044,11794.0
1698745577.2870152,11794.0
1698745577.3074257,11797.0
1698745577.3278365,11795.0
1698745577.348247,11797.0
1698745577.3686578,11802.0
1698745577.3890681,11803.0
1698745577.4094787,11802.0
1698745577.4298894,11807.0
1698745577.4503,11809.0
1698745577.4707108,11803.0
1698745577.491121,11808.0
1698745577.5115316,11803.0
1698745577.5319424,11804.0
1698745577.5523531,11799.0
1698745577.5727637,11805.0
