ms,hr,conf
1698419978220.0,62,11
1698419979084.0,62,12
1698419979983.0,62,25
1698419980949.0,62,93
1698419981748.0,59,89
1698419982581.0,59,38
1698419983418.0,59,13
1698419984246.0,59,4
1698419985146.0,59,31
1698419986012.0,59,30
1698419986911.0,60,54
1698419987963.0,62,54
1698419989643.0,62,0
1698419990442.0,62,18
