timestamp,hr,conf
1698920729.41,0,40
1698920730.28,0,30
1698920731.217,0,32
1698920732.087,0,67
1698920732.962,0,42
1698920733.861,0,10
1698920736.571,0,42
1698920737.475,0,14
1698920738.345,0,21
1698920739.315,0,17
1698920740.219,68,23
1698920741.118,68,39
1698920741.959,68,43
1698920743.766,68,0
1698920746.443,70,0
1698920747.357,70,2
1698920748.25,81,44
1698920749.153,90,41
1698920750.057,90,30
1698920750.927,90,27
1698920751.797,88,47
1698920752.7,88,19
1698920753.57,88,9
1698920754.478,90,21
1698920755.377,90,34
1698920756.247,96,74
1698920757.151,96,58
1698920758.054,96,20
1698920758.924,96,41
1698920759.762,96,2
1698920760.698,96,50
1698920761.534,96,7
1698920762.477,96,9
1698920763.342,96,44
1698920764.278,96,33
1698920765.182,94,34
1698920766.085,99,43
1698920766.989,99,60
1698920767.892,99,68
1698920768.804,99,73
