ts,steps
1698920740320.0,3851
1698920741123.0,3852
1698920741760.0,3853
1698920742237.0,3854
1698920743117.0,3855
1698920743600.0,3856
1698920744157.0,3857
1698920744957.0,3858
1698920745440.0,3859
1698920745918.0,3860
1698920746717.0,3861
1698920747279.0,3862
1698920747759.0,3863
1698920748557.0,3864
1698920749120.0,3865
1698920749516.0,3866
1698920750396.0,3867
1698920750956.0,3868
1698920751356.0,3869
1698920752156.0,3870
1698920752796.0,3871
1698920753195.0,3872
1698920753995.0,3873
1698920754671.0,3874
1698920755035.0,3875
1698920755756.0,3876
1698920756395.0,3877
1698920756875.0,3878
1698920757675.0,3879
1698920758235.0,3880
1698920758715.0,3881
1698920759437.0,3882
1698920760075.0,3883
1698920760554.0,3884
1698920761194.0,3885
1698920761837.0,3886
1698920762314.0,3887
1698920763034.0,3888
1698920763677.0,3889
1698920764155.0,3890
1698920764874.0,3891
1698920765516.0,3892
1698920765995.0,3893
1698920766473.0,3894
1698920767113.0,3895
1698920767673.0,3896
