ts,alpha,beta,gamma
1698920729037.0,115,732,484
1698920729118.0,121,739,484
1698920729197.0,110,743,498
1698920729277.0,117,737,493
1698920729358.0,117,731,481
1698920729437.0,122,737,488
1698920729518.0,111,738,489
1698920729598.0,103,725,486
1698920729681.0,124,736,490
1698920729757.0,121,730,484
1698920729838.0,112,731,490
1698920729917.0,128,740,488
1698920729997.0,125,722,491
1698920730080.0,110,727,484
1698920730157.0,122,738,494
1698920730237.0,123,735,480
1698920730317.0,113,725,488
1698920730397.0,114,725,489
1698920730477.0,108,745,469
1698920730557.0,128,743,486
1698920730637.0,116,737,483
1698920730717.0,112,729,488
1698920730797.0,121,744,486
1698920730877.0,122,726,484
1698920730957.0,119,726,477
1698920731037.0,120,729,490
1698920731117.0,117,724,493
1698920731197.0,116,738,494
1698920731277.0,133,725,491
1698920731360.0,107,737,474
1698920731437.0,113,733,489
1698920731520.0,118,738,483
1698920731597.0,115,742,486
1698920731677.0,108,718,486
1698920731757.0,123,733,483
1698920731837.0,124,737,487
1698920731919.0,114,726,485
1698920731997.0,121,744,489
1698920732077.0,116,747,492
1698920732157.0,110,739,493
1698920732237.0,123,731,489
1698920732317.0,115,723,479
1698920732397.0,113,750,479
1698920732477.0,116,753,476
1698920732557.0,96,775,457
1698920732637.0,41,804,419
1698920732717.0,-61,782,395
1698920732799.0,-154,705,398
1698920732877.0,-200,608,423
1698920732960.0,-173,566,445
1698920733037.0,-116,560,480
1698920733117.0,-55,597,501
1698920733197.0,117,626,558
1698920733277.0,253,698,539
1698920733359.0,316,710,576
1698920733437.0,321,723,557
1698920733517.0,316,715,576
1698920733598.0,304,722,560
1698920733677.0,295,727,554
1698920733757.0,293,703,550
1698920733837.0,289,694,543
1698920733917.0,287,692,541
1698920733997.0,271,672,531
1698920734077.0,275,692,536
1698920734157.0,279,684,532
1698920734237.0,287,689,528
1698920734317.0,290,686,541
1698920734397.0,263,680,528
1698920734477.0,282,687,543
1698920734557.0,289,674,540
1698920734639.0,287,690,535
1698920734717.0,291,683,543
1698920734799.0,278,687,536
1698920734877.0,293,682,550
1698920734957.0,284,690,526
1698920735036.0,290,690,543
1698920735117.0,298,679,548
1698920735199.0,293,673,525
1698920735276.0,296,682,540
1698920735357.0,299,671,544
1698920735436.0,288,671,540
1698920735516.0,286,676,552
1698920735597.0,303,685,544
1698920735676.0,297,680,542
1698920735756.0,303,684,536
1698920735836.0,291,677,543
1698920735916.0,297,681,550
1698920735996.0,302,684,539
1698920736078.0,290,690,539
1698920736156.0,300,687,536
1698920736239.0,292,682,538
1698920736317.0,295,685,534
1698920736396.0,290,681,535
1698920736476.0,280,693,541
1698920736557.0,287,681,540
1698920736639.0,290,696,535
1698920736716.0,288,694,534
1698920736796.0,291,691,526
1698920736876.0,276,693,501
1698920736956.0,290,681,499
1698920737036.0,296,705,471
1698920737116.0,301,728,474
1698920737196.0,292,730,465
1698920737276.0,294,726,478
1698920737356.0,302,737,499
1698920737437.0,332,739,532
1698920737517.0,356,743,568
1698920737596.0,375,715,593
1698920737679.0,378,728,589
1698920737756.0,346,714,563
1698920737836.0,352,723,570
1698920737918.0,345,733,562
1698920737996.0,365,757,569
1698920738079.0,334,744,531
1698920738156.0,337,723,520
1698920738236.0,326,740,525
1698920738316.0,316,730,535
1698920738396.0,309,735,518
1698920738479.0,317,720,506
1698920738556.0,313,714,510
1698920738636.0,299,710,494
1698920738716.0,281,708,482
1698920738796.0,273,712,489
1698920738876.0,271,702,488
1698920738956.0,283,718,490
1698920739036.0,288,724,499
1698920739116.0,291,727,507
1698920739196.0,325,728,531
1698920739276.0,332,735,561
1698920739357.0,354,726,565
1698920739436.0,332,699,552
1698920739518.0,332,707,551
1698920739596.0,329,716,553
1698920739676.0,335,722,537
1698920739756.0,354,746,545
1698920739836.0,339,738,522
1698920739918.0,343,745,525
1698920739996.0,332,740,526
1698920740076.0,330,720,531
1698920740157.0,311,722,525
1698920740236.0,313,696,522
1698920740316.0,321,702,524
1698920740396.0,294,695,519
1698920740476.0,304,698,513
1698920740556.0,306,709,512
1698920740636.0,295,715,500
1698920740716.0,291,703,496
1698920740796.0,279,704,491
1698920740876.0,281,701,491
1698920740958.0,306,719,512
1698920741116.0,329,725,560
