ts,interval,accx,accy,accz,accGx,accGy,accGz,alpha,beta,gamma
1698744288002.0,0.01666666753590107,-0.20789456241726875,0.21228081467747686,-0.16744857026040552,1.0899603057861327,-5.945401857104897,-7.688679356384277,-0.477677443815334,-4.985694450216692,-2.2796691237060203
1698744288174.0,0.01666666753590107,0.017765666054189205,0.08021452344357967,-0.22965865045785902,1.4546271461486815,-6.941838076019287,-6.922683878216147,1.9985423794497035,2.427361078893556,-1.6168650053270441
1698744288190.0,0.01666666753590107,0.1196750116944313,0.048451603958010674,-0.11041969209313392,1.5569792671203613,-6.975955449676513,-6.800879453277587,0.15873714480781356,-3.3086644429251213,0.20467018031636253
1698744288206.0,0.01666666753590107,0.15302958428561686,0.07331073540449141,0.03779050921201706,1.5810709213256835,-6.950068144226074,-6.655730977630615,-1.5145559219145404,-6.574573182306432,0.4845552842269782
1698744288222.0,0.01666666753590107,0.1430897895514965,0.06292787307798862,0.06526946776807308,1.5569791209898889,-6.956802420917153,-6.635080988311767,-2.799178221175656,-8.406467056857464,0.6682100530244826
1698744288240.0,0.01666666753590107,0.11247443266585469,0.04814180735647678,0.05038578689098358,1.5040075553894041,-6.9635361130863425,-6.663063220214843,-4.053549932767902,-9.153489969023635,0.0022990790272233155
1698744288256.0,0.01666666753590107,-0.10104381485208869,-0.03792845637798309,0.16648410914242268,1.3727753768920898,-6.905326500701904,-6.677278208050131,-4.953452115352824,-8.036134200059372,-0.5592090917726589
1698744288273.0,0.01666666753590107,-0.15402297923713923,0.013356909701228142,0.09336977309286594,1.34868386881724,-6.885275061798096,-6.712593267059326,-4.977707824642831,-6.858475117799889,-0.5537151117198827
1698744288290.0,0.01666666753590107,-0.2559666655384004,0.05737842225730419,0.032983985713124275,1.2789525993347166,-6.874052241516113,-6.732345430755615,-3.529067603808851,-4.693327775907473,-0.5863107487907405
1698744288306.0,0.01666666753590107,-0.24464126166477798,0.07731178773939609,-0.03911620485782623,1.290325057220459,-6.8782420944213865,-6.779630913543701,-0.9813856990529387,-3.5719116729250486,-0.7056410371408862
1698744288323.0,0.01666666753590107,-0.20351327859312296,0.05792378118038177,-0.05838087729811668,1.322197866821289,-6.903830124664307,-6.794594673919677,-0.2786394081400949,-4.365090228737817,-0.05888223374146012
1698744288340.0,0.01666666753590107,-0.11797624495252966,0.07553308762907981,0.00755903707742691,1.3724758094236253,-6.887967954143881,-6.734739047893881,-2.6421103372483965,-5.954106418384603,-0.5887483259116417
1698744288356.0,0.01666666753590107,-0.14169468193128704,0.11223813969194889,0.10877426297366619,1.3147158405028283,-6.841281606292724,-6.651241849517822,-5.23662322060509,-6.758229285125259,-1.6766542401655142
1698744288373.0,0.01666666753590107,-0.1486072377987206,0.09615209728777407,0.11680208660662174,1.2846386821471154,-6.845471459197998,-6.660369158825278,-7.041147246491411,-8.01502037778757,-1.964467419454156
1698744288390.0,0.01666666753590107,-0.03589373567998409,-0.00653729281425476,0.14328326629698276,1.3593079925537108,-6.928071416473388,-6.6623150321960445,-8.20577560847498,-9.224809096789617,-0.2964705774637652
1698744288407.0,0.01666666753590107,0.03132803519964218,0.016934183666110037,0.08185060021281242,1.4034510856628417,-6.89485186843872,-6.738330350384116,-4.854717462032058,-8.705628488730376,0.7803879593748613
1698744288423.0,0.01666666753590107,0.13375760532170533,0.03563070082962513,0.08255611813366413,1.494280965014547,-6.874650207409262,-6.741472740063071,0.22579754290458548,-1.6909099121803888,1.6044282980655087
1698744288439.0,0.01666666753590107,0.051987961390614505,0.2804226230114698,0.2430664135634899,1.4211084690369664,-6.63971975402832,-6.56924044265747,3.478185255813195,4.093118926177079,-5.1791279688323915
1698744288457.0,0.01666666753590107,0.27624533732682466,0.3842296189665794,-0.25796120035648346,1.645115815734863,-6.534824378314614,-7.071424240875244,-7.110116789182907,-28.54619336244155,-17.070346868059783
1698744288473.0,0.01666666753590107,-0.15547069382742046,1.0575789621412754,-1.8588164340823887,1.165228020477295,-5.82314676578939,-8.720430634307862,-24.067501719880788,-74.51366188230897,-35.743797190929506
1698744288490.0,0.01666666753590107,-1.3579934028238057,0.5549503427654504,-0.5861445224523544,-0.11911167872324585,-6.246023218536377,-7.541884867095947,-23.482750442015778,-64.68464400625626,-38.512769540831016
1698744288506.0,0.01666666753590107,-0.38592166370674963,0.485259551423788,0.16845044077932833,0.805050308227539,-6.267122120666504,-6.842777982330322,-17.16429099745143,-66.23948875948548,-37.804468678616935
1698744288522.0,0.01666666753590107,-0.3616888474650681,0.6434785210460424,-0.3511024253904819,0.7607575044494121,-6.070497724804282,-7.4103528288692235,-12.787177928227099,-69.41039042128556,-30.03984132825474
1698744288539.0,0.01666666753590107,-0.6307580095522105,-0.47476972159147257,0.2265279512166977,0.40761283264160153,-7.15671767501831,-6.87584730823934,-5.848879243370917,-48.97299934903044,-21.533800358582244
1698744288556.0,0.01666666753590107,-0.3746263627104461,-0.3243389216274023,0.4316512953549623,0.6093242494445293,-6.990320075115561,-6.693439653778076,-7.239000751273755,-47.370476460299955,-16.483339920221376
1698744288573.0,0.01666666753590107,-0.1794027735568583,-0.5152630600214004,0.30774025352597234,0.730381143951416,-7.155670211791992,-6.851007466015219,-17.53862805265044,-61.63900801383422,-13.785457032975007
1698744288590.0,0.01666666753590107,-0.016065511072799563,-0.8242267178624868,0.18308160820007324,0.7339724464416504,-7.391050162506103,-7.061548159027099,-38.78260640927612,-91.41482154953295,-10.450620585810865
1698744288606.0,0.01666666753590107,0.060311626164987676,-0.5383505056202411,0.08717793271541595,0.6206967803955078,-7.010521736145019,-7.25906979598999,-58.79687067754354,-131.27041652647222,-16.861288437944033
1698744288623.0,0.01666666753590107,0.2183089158605784,-0.11772212406098842,0.3944306949853897,0.5680243438720702,-6.451326010894775,-7.0844427124023435,-78.22232482803166,-128.0263225575263,-28.05093463817663
1698744288640.0,0.01666666753590107,0.06772847829274833,-0.9322557154268026,1.5772417184263468,0.17761983566284179,-7.040299619293212,-6.094141050720214,-89.06324889000008,-99.26036615099228,-35.672602714115875
1698744288657.0,0.01666666753590107,0.28990919408537447,-0.8029927911758422,2.1678613404661418,0.27757776753245267,-6.7375833314090965,-5.639242735290527,-81.11958179092434,-76.44245949259637,-30.77559955093227
1698744288673.0,0.01666666753590107,0.409843879629299,-0.5798498062223195,2.606258018428087,0.3134908346756361,-6.357353595733642,-5.317223196521401,-73.43213557818329,-45.20107177612051,-21.692936936054373
1698744288690.0,0.01666666753590107,1.1616557880137115,-0.12403028429448604,2.9517846895128486,0.9756371765136718,-5.680841989135742,-5.12643466720581,-89.63382923288461,-51.921270994833954,-11.328935955523962
1698744288707.0,0.01666666753590107,0.407117377274856,-0.10697042842209338,1.95398536555171,0.11148003306733444,-5.457133771514893,-6.259341549792885,-105.30937975544151,-61.28866029054759,-10.206708554134186
1698744288723.0,0.01666666753590107,0.4746697683483362,-0.25744565204977987,1.7562948017627,0.07272391195986419,-5.3667526588439936,-6.604554917144775,-113.00524076124002,-62.635826311873394,-20.144536466307066
1698744288740.0,0.01666666753590107,0.5684470993287861,-0.06508680467754602,1.2931290087252854,0.02454056701660156,-4.849755030114949,-7.249792264556884,-106.5690852044453,-62.642909218042696,-21.386693451785803
1698744288756.0,0.01666666753590107,0.8146649626605212,-0.014116203635931013,0.3111573684930801,0.18465272997431456,-4.5884874816894525,-8.340351120758056,-72.72904273521135,-33.88382739690831,-15.302830514643883
1698744288773.0,0.01666666753590107,0.7183717764016241,0.15529928278326988,0.5864402905285359,0.014215572357177733,-4.302679658508301,-8.119934930419921,-42.6183006282773,-39.96924249453912,-16.80328988660687
1698744288790.0,0.01666666753590107,-0.25024631513021883,0.023882103107869625,0.32657939403057096,-1.011699765954539,-4.348468472997844,-8.418311727795004,-11.622840703056903,-23.268390077556806,-35.28771472419648
1698744288806.0,0.01666666753590107,-1.0910269121043383,0.8888494121596217,1.0820657531440256,-1.855057300744578,-3.4783260993957517,-7.665186252593994,-3.886305066977324,-27.99911911558562,-48.799307638437014
1698744288823.0,0.01666666753590107,-1.2935124550849197,0.4805559037774801,0.38463293907046314,-2.0878934852600097,-3.883544730377197,-8.361450022888183,-10.585087373774554,-57.74819758332563,-59.63257847344045
1698744288840.0,0.01666666753590107,-1.6521914532095192,-0.2561781163319945,-0.3859165491402149,-2.6363153030395505,-4.561851988220215,-9.1416604888916,-42.698261652890636,-119.031987948995,-66.26751302565005
1698744288856.0,0.01666666753590107,-0.7169146363958716,-0.22005437128841876,1.1224486169368029,-1.9226936437744646,-4.412364022064208,-7.660547486877441,-68.89807842221042,-124.06876068825916,-48.15738938476629
1698744288873.0,0.01666666753590107,1.3100868655279279,-1.1479136053219436,2.5907950763583183,-0.10040697825327514,-5.181351960046589,-6.235997499084473,-65.9921471190718,-69.52384669358864,28.517301662252397
1698744288890.0,0.01666666753590107,3.040363136675954,-4.226396629294753,1.0284902303010224,1.4001590583801269,-8.104222982025146,-7.828291240692138,-11.216959272949834,-30.344635104871973,90.57711933839839
1698744288907.0,0.01666666753590107,1.219871610943228,-1.2744415516510605,0.3855927240133285,-0.5412393589295447,-5.104886852264404,-8.468590547180176,-1.8797205666667536,-3.1776496752566405,74.20558619979555
1698744288923.0,0.01666666753590107,0.17719444985762237,-0.3899368906974792,1.1266776328086852,-1.6485573344908653,-4.176535158538818,-7.733270777782797,-13.580559041837441,-2.407972519717417,47.30484175747072
1698744288940.0,0.01666666753590107,-0.07703107110187411,-0.3979679292008281,0.5725304231196642,-1.9526210914611815,-4.097227228546142,-8.313865264892577,-26.059137070532316,-2.8677785067651484,7.250947605905754
1698744288957.0,0.01666666753590107,-0.015585691666603087,-1.3812076896727083,0.9602256723701953,-1.8858825740538536,-5.027374573516846,-7.949198424530029,-22.419107280684496,5.948169703335393,-9.226759115797655
1698744288973.0,0.01666666753590107,0.5735597661674022,-1.4733835768058896,1.162204873263836,-1.2620435501098632,-5.061342309570312,-7.778013005828857,-33.63013709566111,11.593270252818979,-16.347079353826913
