ts,alpha,beta,gamma
1698744283067.0,-427,594,213
1698744283146.0,-405,603,204
1698744283226.0,-423,591,206
1698744283306.0,-412,592,212
1698744283386.0,-412,592,211
1698744283467.0,-428,593,205
1698744283546.0,-426,606,201
1698744283626.0,-419,594,209
1698744283706.0,-419,597,205
1698744283786.0,-412,598,215
1698744283867.0,-422,592,206
1698744283945.0,-417,604,207
1698744284026.0,-412,599,207
1698744284105.0,-416,594,206
1698744284185.0,-423,599,213
1698744284268.0,-421,604,204
1698744284345.0,-406,601,218
1698744284425.0,-409,598,216
1698744284506.0,-420,592,213
1698744284585.0,-421,596,212
1698744284667.0,-419,585,212
1698744284746.0,-428,593,215
1698744284825.0,-426,584,213
1698744284905.0,-424,590,203
1698744284986.0,-416,598,208
1698744285067.0,-421,603,214
1698744285145.0,-422,603,218
1698744285225.0,-418,594,226
1698744285305.0,-425,605,212
1698744285385.0,-422,608,209
1698744285466.0,-430,601,224
1698744285545.0,-423,594,217
1698744285628.0,-413,609,216
1698744285705.0,-421,605,215
1698744285785.0,-412,607,219
1698744285866.0,-422,605,223
1698744285945.0,-417,592,224
1698744286028.0,-425,608,212
1698744286105.0,-426,601,220
1698744286185.0,-416,605,216
1698744286266.0,-421,603,221
1698744286345.0,-434,596,219
1698744286428.0,-423,599,213
1698744286505.0,-420,596,214
1698744286585.0,-426,597,224
1698744286667.0,-425,599,220
1698744286746.0,-422,600,214
1698744286828.0,-432,594,218
1698744286905.0,-426,606,210
1698744286985.0,-417,596,218
1698744287066.0,-417,599,225
1698744287145.0,-424,586,222
1698744287228.0,-426,599,218
1698744287305.0,-432,596,228
1698744287385.0,-429,595,227
1698744287466.0,-436,601,221
1698744287545.0,-430,615,211
1698744287628.0,-429,655,209
1698744287705.0,-415,650,209
1698744287786.0,-397,673,199
1698744287867.0,-358,732,210
1698744287945.0,-310,807,221
1698744288027.0,-199,869,250
1698744288105.0,-107,873,247
1698744288185.0,-11,863,248
1698744288266.0,47,824,247
1698744288345.0,85,793,244
1698744288428.0,94,782,237
1698744288505.0,83,790,232
1698744288585.0,79,798,236
1698744288667.0,53,792,225
1698744288745.0,66,791,224
1698744288827.0,62,784,226
1698744288905.0,76,786,223
1698744288985.0,88,771,230
1698744289067.0,73,769,236
1698744289145.0,87,761,225
1698744289227.0,100,762,217
1698744289305.0,94,749,220
1698744289385.0,101,749,232
1698744289466.0,103,746,220
1698744289545.0,95,756,234
1698744289627.0,71,777,235
1698744289704.0,59,794,235
1698744289785.0,42,821,247
1698744289866.0,31,831,249
1698744289944.0,7,840,250
1698744290027.0,-6,847,261
