isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0.0,0,0,860,1698419233765.0
False,0.0,0,0,860,1698419234751.0
False,0.0,0,0,860,1698419235744.0
False,0.0,0,0,860,1698419237226.0
False,0.0,0,0,860,1698419238720.0
False,0.0,0,0,860,1698419239210.0
False,0.0,0,0,860,1698419240201.0
False,0.0,0,0,860,1698419241680.0
False,1.19140625,14,167,878,1698419243169.0
False,1.19140625,14,167,878,1698419243170.0
False,1.25,28,184,891,1698419244655.0
False,1.3046875,43,217,905,1698419245151.0
False,1.359375,57,226,920,1698419246640.0
False,1.38671875,58,221,935,1698419247125.0
False,1.4140625,59,188,949,1698419248118.0
False,1.4140625,59,154,964,1698419249102.0
False,1.4140625,59,144,979,1698419250587.0
False,1.38671875,59,143,994,1698419251083.0
False,1.3046875,57,142,1008,1698419253558.0
False,1.19140625,57,141,1019,1698419254546.0
False,0.0,0,0,1019,1698419256031.0
False,0.8046875,14,133,1047,1698419257024.0
False,0.9140625,27,147,1059,1698419258509.0
False,1.02734375,42,163,1072,1698419259002.0
False,1.13671875,56,167,1086,1698419260004.0
False,1.19140625,56,168,1102,1698419261475.0
False,1.21875,57,149,1116,1698419262466.0
False,1.27734375,57,132,1131,1698419262962.0
False,1.27734375,57,130,1145,1698419264452.0
False,1.27734375,57,132,1159,1698419265440.0
False,1.27734375,56,135,1174,1698419265940.0
False,1.27734375,56,135,1174,1698419266924.0
False,0.0,0,0,1174,1698419268905.0
False,0.0,0,0,1174,1698419268906.0
False,0.0,0,0,1174,1698419270391.0
False,0.0,0,0,1174,1698419270894.0
