timestamp,hr,conf
1698411890.508,0,23
1698411891.339,0,36
1698411892.237,0,27
1698411893.135,0,23
1698411893.999,0,67
1698411894.863,0,43
1698411895.76,0,2
1698411896.658,0,0
1698411897.589,0,32
1698411898.42,0,12
1698411899.284,0,11
1698411900.215,0,13
1698411901.084,89,13
1698411901.976,89,0
1698411903.705,89,54
1698411904.604,89,50
1698411905.499,91,98
1698411907.228,91,0
1698411910.718,97,47
1698411911.582,102,77
1698411912.48,108,75
1698411913.377,114,73
1698411914.241,114,7
1698411915.139,114,30
1698411916.003,114,50
1698411916.87,114,48
1698411917.765,105,95
1698411918.629,105,73
1698411919.526,105,72
1698411921.288,105,68
