timestamp,accGGx,accGGy,accGGz
1698412939.432,0.527,1.05,0.249
1698412939.511,0.496,0.897,0.051
1698412939.591,0.463,0.753,-0.126
1698412939.672,0.45,0.745,-0.266
1698412939.751,0.436,0.807,-0.384
1698412939.831,0.397,0.796,-0.438
1698412939.912,0.335,0.736,-0.427
1698412939.991,0.288,0.725,-0.392
1698412940.071,0.28,0.745,-0.337
1698412940.152,0.309,0.807,-0.254
1698412940.231,0.387,0.928,-0.136
1698412940.311,0.48,1.074,0.022
1698412940.392,0.555,1.295,0.514
1698412940.471,0.632,1.369,0.503
1698412940.551,0.615,1.373,0.424
1698412940.634,0.589,1.272,0.395
1698412940.711,0.479,1.086,0.397
1698412940.794,0.339,0.81,0.311
1698412940.872,0.245,0.533,0.15
1698412940.951,0.17,0.35,0.032
1698412941.032,0.18,0.302,-0.096
1698412941.112,0.24,0.435,-0.193
1698412941.191,0.253,0.516,-0.18
1698412941.271,0.227,0.486,-0.027
1698412941.351,0.278,0.569,0.182
1698412941.431,0.415,0.78,0.329
1698412941.511,0.524,1.007,0.361
1698412941.592,0.575,1.156,0.398
1698412941.671,0.595,1.247,0.483
1698412941.751,0.602,1.313,0.522
1698412941.831,0.559,1.194,0.292
1698412941.911,0.514,1.017,0.095
1698412941.991,0.467,0.78,-0.052
1698412942.071,0.566,0.749,-0.161
1698412942.151,0.625,0.864,-0.269
1698412942.231,0.52,0.853,-0.334
1698412942.311,0.425,0.797,-0.36
1698412942.391,0.347,0.782,-0.364
1698412942.471,0.296,0.761,-0.331
1698412942.551,0.304,0.747,-0.264
1698412942.631,0.407,0.911,-0.199
1698412942.711,0.536,1.15,-0.078
1698412942.791,0.621,1.271,0.164
1698412942.871,0.671,1.298,0.399
1698412942.951,0.68,1.324,0.435
1698412943.031,0.659,1.333,0.316
1698412943.111,0.606,1.219,0.205
1698412943.194,0.346,0.694,0.074
1698412943.271,0.214,0.429,0.008
1698412943.353,0.132,0.223,-0.079
1698412943.431,0.187,0.28,-0.191
1698412943.511,0.279,0.445,-0.24
1698412943.592,0.28,0.467,-0.125
1698412943.671,0.302,0.536,0.069
1698412943.751,0.375,0.714,0.22
1698412943.831,0.454,0.949,0.287
1698412943.911,0.541,1.154,0.344
1698412943.991,0.623,1.322,0.422
1698412944.071,0.655,1.413,0.479
1698412944.151,0.639,1.36,0.446
1698412944.231,0.604,1.225,0.282
1698412944.311,0.533,0.959,0.074
1698412944.391,0.464,0.661,-0.084
1698412944.471,0.456,0.603,-0.232
1698412944.551,0.473,0.688,-0.397
1698412944.631,0.367,0.603,-0.512
1698412944.711,0.345,0.618,-0.528
1698412944.791,0.37,0.671,-0.497
1698412944.871,0.402,0.656,-0.414
1698412944.951,0.431,0.652,-0.309
1698412945.031,0.472,0.74,-0.191
1698412945.111,0.56,0.934,-0.061
1698412945.191,0.635,1.179,0.151
1698412945.27,0.648,1.369,0.447
1698412945.351,0.641,1.45,0.542
1698412945.431,0.64,1.475,0.469
1698412945.51,0.583,1.337,0.401
1698412945.59,0.49,1.084,0.303
1698412945.671,0.367,0.756,0.216
1698412945.752,0.182,0.357,0.134
1698412945.83,0.045,0.062,0.044
1698412945.913,0.054,0.07,0.014
1698412945.99,0.159,0.312,0.046
1698412946.07,0.322,0.688,0.212
1698412946.151,0.402,0.893,0.271
1698412946.23,0.508,1.125,0.353
1698412946.31,0.591,1.323,0.453
1698412946.39,0.615,1.44,0.5
1698412946.47,0.616,1.387,0.439
1698412946.55,0.594,1.238,0.286
1698412946.63,0.522,0.985,0.076
1698412946.71,0.445,0.678,-0.088
1698412946.79,0.444,0.604,-0.205
1698412946.87,0.483,0.761,-0.348
1698412946.95,0.465,0.801,-0.412
1698412947.03,0.411,0.736,-0.416
1698412947.11,0.376,0.718,-0.4
1698412947.19,0.367,0.689,-0.328
1698412947.27,0.404,0.749,-0.207
1698412947.35,0.501,0.969,-0.077
1698412947.43,0.624,1.337,0.48
1698412947.51,0.629,1.417,0.556
1698412947.59,0.637,1.444,0.48
1698412947.67,0.591,1.318,0.417
1698412947.75,0.477,1.069,0.317
1698412947.83,0.361,0.771,0.281
1698412947.91,0.237,0.45,0.239
1698412947.99,0.127,0.19,0.077
1698412948.07,0.11,0.193,-0.028
1698412948.15,0.16,0.335,-0.038
1698412948.23,0.209,0.42,0.045
1698412948.312,0.262,0.531,0.203
1698412948.39,0.354,0.769,0.35
1698412948.472,0.468,1.064,0.461
1698412948.55,0.558,1.3,0.57
1698412948.63,0.605,1.428,0.646
1698412948.711,0.645,1.426,0.592
1698412948.79,0.626,1.316,0.462
1698412948.87,0.503,0.891,0.04
1698412948.95,0.485,0.665,-0.115
1698412949.03,0.517,0.679,-0.306
1698412949.11,0.521,0.743,-0.435
1698412949.19,0.452,0.662,-0.464
1698412949.27,0.39,0.622,-0.474
1698412949.35,0.385,0.636,-0.46
1698412949.43,0.404,0.636,-0.391
1698412949.51,0.442,0.667,-0.302
1698412949.59,0.503,0.788,-0.206
1698412949.67,0.582,1.015,-0.109
1698412949.75,0.633,1.213,0.075
1698412949.83,0.614,1.358,0.376
1698412949.91,0.628,1.457,0.44
1698412949.99,0.65,1.459,0.301
1698412950.07,0.567,1.307,0.23
1698412950.15,0.448,1.028,0.19
1698412950.23,0.197,0.426,0.043
1698412950.31,0.099,0.192,-0.038
1698412950.39,0.133,0.203,-0.099
1698412950.47,0.232,0.386,-0.117
1698412950.55,0.282,0.47,-0.037
1698412950.63,0.33,0.561,0.128
1698412950.71,0.38,0.745,0.232
1698412950.79,0.449,1.029,0.269
1698412950.871,0.519,1.248,0.347
1698412950.95,0.534,1.327,0.417
1698412951.032,0.511,1.371,0.415
1698412951.11,0.502,1.337,0.36
1698412951.19,0.523,1.253,0.237
1698412951.27,0.502,1.096,0.076
1698412951.349,0.454,0.868,-0.057
1698412951.43,0.47,0.728,-0.146
1698412951.509,0.48,0.717,-0.244
1698412951.589,0.449,0.742,-0.331
1698412951.669,0.441,0.824,-0.361
1698412951.749,0.42,0.815,-0.289
1698412951.829,0.434,0.83,-0.215
1698412951.909,0.494,0.944,-0.178
1698412951.989,0.54,1.079,-0.089
1698412952.069,0.54,1.202,0.143
1698412952.149,0.531,1.296,0.379
1698412952.229,0.578,1.374,0.409
1698412952.309,0.618,1.401,0.334
1698412952.389,0.576,1.283,0.287
1698412952.469,0.464,1.028,0.237
1698412952.55,0.327,0.686,0.167
1698412952.629,0.201,0.377,0.066
1698412952.709,0.114,0.176,-0.022
1698412952.789,0.177,0.218,-0.019
1698412952.869,0.267,0.352,0.044
1698412952.949,0.266,0.451,0.142
1698412953.029,0.295,0.896,0.417
1698412953.109,0.408,1.123,0.51
1698412953.189,0.476,1.252,0.59
1698412953.269,0.476,1.296,0.617
1698412953.349,0.441,1.297,0.639
1698412953.431,0.405,1.254,0.586
1698412953.509,0.406,1.183,0.44
1698412953.592,0.432,1.091,0.282
1698412953.669,0.43,0.932,0.105
1698412953.749,0.435,0.773,-0.032
1698412953.83,0.462,0.744,-0.132
1698412953.909,0.499,0.79,-0.257
1698412953.989,0.514,0.848,-0.347
1698412954.069,0.486,0.844,-0.345
1698412954.149,0.463,0.781,-0.282
1698412954.229,0.491,0.794,-0.225
1698412954.309,0.557,0.951,-0.207
1698412954.389,0.587,1.062,-0.139
1698412954.469,0.638,1.232,0.344
1698412954.549,0.778,1.373,0.329
1698412954.629,0.785,1.383,0.236
1698412954.709,0.693,1.256,0.204
1698412954.789,0.534,0.954,0.158
1698412954.869,0.336,0.534,0.062
1698412954.949,0.123,0.206,0.072
1698412955.029,0.01,0.092,0.075
