ts,alpha,beta,gamma
1698674961001.0,-259,250,368
1698674961081.0,-268,242,371
1698674961161.0,-258,243,385
1698674961241.0,-275,246,388
1698674961324.0,-268,238,389
1698674961401.0,-262,238,391
1698674961481.0,-262,241,386
1698674961561.0,-258,244,388
1698674961641.0,-272,250,390
1698674961724.0,-273,244,384
1698674961801.0,-267,239,386
1698674961881.0,-269,242,381
1698674961961.0,-272,249,385
1698674962041.0,-259,240,392
1698674962124.0,-279,238,382
1698674962201.0,-268,247,384
1698674962281.0,-265,243,384
1698674962361.0,-258,246,383
1698674962441.0,-271,240,396
1698674962524.0,-273,245,392
1698674962601.0,-272,246,389
1698674962681.0,-281,239,390
1698674962761.0,-285,228,392
1698674962841.0,-277,237,397
1698674962921.0,-284,221,398
1698674963001.0,-282,233,387
1698674963081.0,-275,232,395
1698674963161.0,-275,226,383
1698674963241.0,-274,231,383
1698674963321.0,-278,242,397
1698674963401.0,-279,223,386
1698674963481.0,-277,217,386
1698674963561.0,-271,230,382
1698674963641.0,-268,233,382
1698674963721.0,-277,231,392
1698674963801.0,-279,229,389
1698674963881.0,-276,234,384
1698674963961.0,-279,233,387
1698674964041.0,-286,229,380
1698674964121.0,-270,242,383
1698674964201.0,-282,233,380
1698674964281.0,-257,238,379
1698674964361.0,-265,230,375
1698674964441.0,-258,249,380
1698674964521.0,-251,245,369
1698674964601.0,-239,252,365
1698674964681.0,-240,252,379
1698674964763.0,-237,275,375
1698674964840.0,-237,279,363
1698674964921.0,-208,301,360
1698674965002.0,-204,304,356
1698674965080.0,-197,301,351
1698674965163.0,-190,302,348
1698674965240.0,-172,280,348
1698674965320.0,-181,283,345
1698674965402.0,-187,280,358
1698674965480.0,-187,279,344
1698674965563.0,-202,266,346
1698674965641.0,-204,281,361
1698674965720.0,-207,302,367
1698674965802.0,-227,292,380
1698674965881.0,-251,296,404
1698674965963.0,-247,305,397
1698674966040.0,-232,310,386
1698674966121.0,-220,311,365
1698674966200.0,-199,316,355
1698674966280.0,-180,312,343
1698674966363.0,-174,313,346
1698674966440.0,-151,306,326
1698674966520.0,-164,292,329
1698674966600.0,-177,306,338
1698674966680.0,-206,318,350
1698674966763.0,-248,316,371
1698674966840.0,-285,310,405
1698674966920.0,-288,310,405
1698674967000.0,-277,299,387
1698674967080.0,-229,300,363
1698674967163.0,-206,292,357
1698674967240.0,-200,302,351
1698674967320.0,-191,297,351
1698674967400.0,-191,289,354
1698674967480.0,-197,288,349
1698674967563.0,-208,297,352
1698674967640.0,-218,302,365
1698674967720.0,-266,318,384
1698674967800.0,-287,319,392
1698674967880.0,-279,316,404
1698674967963.0,-251,331,376
1698674968040.0,-201,344,353
1698674968120.0,-171,353,347
1698674968200.0,-149,365,331
1698674968280.0,-151,350,319
1698674968360.0,-147,351,313
1698674968440.0,-141,382,341
1698674968521.0,-100,440,363
1698674968600.0,-19,482,408
1698674968680.0,26,503,460
1698674968760.0,78,507,471
1698674968840.0,160,483,484
1698674968920.0,248,444,460
1698674969000.0,324,378,445
1698674969081.0,381,303,434
1698674969160.0,405,228,434
1698674969240.0,408,187,451
1698674969320.0,412,175,447
1698674969400.0,386,231,428
1698674969481.0,307,335,442
1698674969560.0,215,423,483
1698674969640.0,92,444,512
1698674969720.0,-8,437,539
1698674969800.0,-12,435,541
1698674969880.0,32,427,536
1698674969960.0,106,436,528
1698674970040.0,235,400,490
1698674970120.0,306,317,468
1698674970200.0,346,257,457
1698674970280.0,357,220,447
1698674970360.0,330,219,453
1698674970441.0,305,271,453
1698674970520.0,242,339,475
1698674970602.0,163,364,502
1698674970680.0,83,383,533
1698674970759.0,66,377,552
1698674970841.0,87,395,516
1698674970920.0,132,388,500
1698674971002.0,208,355,493
1698674971079.0,262,311,473
1698674971160.0,302,253,460
1698674971241.0,315,200,467
1698674971319.0,322,212,457
1698674971402.0,296,249,466
1698674971479.0,257,309,471
1698674971559.0,180,359,490
1698674971642.0,116,394,521
1698674971719.0,93,400,524
1698674971803.0,88,397,496
1698674971880.0,151,382,484
1698674971959.0,205,370,465
1698674972039.0,263,304,441
1698674972119.0,289,243,437
1698674972202.0,312,202,426
1698674972279.0,306,186,415
