isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,4383,1698674961508.0
False,0.0,0,0,4383,1698674962990.0
False,0.0,0,0,4383,1698674963491.0
False,0.0,0,0,4383,1698674964485.0
False,0.0,0,0,4383,1698674965475.0
False,0.0,0,0,4383,1698674966456.0
False,0.0,0,0,4383,1698674968443.0
False,0.0,0,0,4383,1698674968930.0
False,0.0,0,0,4383,1698674969425.0
False,1.3046875,15,114,4406,1698674970414.0
False,1.359375,30,156,4419,1698674971408.0
False,1.46875,46,198,4433,1698674972404.0
False,1.5546875,62,218,4450,1698674973397.0
False,1.609375,62,228,4468,1698674975372.0
False,1.63671875,62,196,4485,1698674976356.0
False,1.6640625,62,157,4518,1698674977840.0
False,1.6640625,62,160,4534,1698674978341.0
False,1.63671875,62,162,4551,1698674979326.0
False,1.58203125,61,163,4567,1698674980320.0
False,1.52734375,61,160,4581,1698674981305.0
False,1.52734375,61,160,4581,1698674982294.0
False,0.44140625,0,156,4607,1698674984277.0
False,0.83203125,17,152,4615,1698674984282.0
False,1.21875,31,170,4628,1698674985264.0
True,1.9140625,46,194,4644,1698674986259.0
False,1.69140625,62,215,4668,1698674987745.0
False,1.71875,60,221,4684,1698674988231.0
False,1.71875,62,204,4702,1698674989234.0
False,1.69140625,62,183,4718,1698674990216.0
False,1.6640625,62,166,4734,1698674991206.0
False,1.63671875,61,164,4751,1698674992197.0
False,1.58203125,61,163,4765,1698674993186.0
False,1.5546875,61,161,4780,1698674994182.0
False,1.44140625,60,159,4794,1698674995164.0
False,1.44140625,60,159,4794,1698674996162.0
False,0.0,0,0,4794,1698674997144.0
False,0.0,0,0,4794,1698674998138.0
