ts,steps
1698674968202.0,2498
1698674968682.0,2499
1698674969242.0,2500
1698674969722.0,2501
1698674970604.0,2502
1698674971162.0,2503
1698674971561.0,2504
1698674972604.0,2505
1698674973161.0,2506
1698674973561.0,2507
1698674974204.0,2508
1698674974521.0,2509
1698674975004.0,2510
1698674975561.0,2511
1698674976601.0,2512
1698674977243.0,2513
1698674981321.0,2519
1698674981800.0,2520
1698674982360.0,2521
1698674982760.0,2522
1698674983239.0,2523
1698674983719.0,2524
1698674984283.0,2525
1698674984682.0,2526
1698674985159.0,2527
1698674985559.0,2528
1698674986199.0,2529
1698674986599.0,2530
1698674987161.0,2531
1698674987639.0,2532
1698674988121.0,2533
1698674988599.0,2534
1698674989159.0,2535
1698674989639.0,2536
1698674989958.0,2537
