isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,5815,1698745468006.0
False,0.0,0,0,5815,1698745468987.0
False,0.0,0,0,5815,1698745469976.0
False,0.0,0,0,5815,1698745471464.0
False,0.0,0,0,5815,1698745472453.0
False,0.0,0,0,5815,1698745472949.0
False,0.0,0,0,5815,1698745473937.0
False,0.0,0,0,5815,1698745475424.0
False,0.0,0,0,5815,1698745476909.0
False,0.46875,14,97,5815,1698745477900.0
False,1.0546875,49,139,5835,1698745479378.0
False,1.0546875,49,139,5835,1698745479886.0
False,1.08203125,61,150,5853,1698745480881.0
False,1.109375,61,151,5865,1698745482360.0
False,1.08203125,62,133,5876,1698745482854.0
False,1.08203125,62,133,5876,1698745483833.0
False,0.0,0,0,5876,1698745485318.0
False,0.0,0,0,5876,1698745485814.0
