ts(msec),X,Y,Z
1698745468001.25,-0.509521484375,-0.829833984375,-0.02734375
1698745468032.5,-0.514404296875,-0.80859375,-0.0623779296875
1698745468063.75,-0.5172119140625,-0.804443359375,-0.0926513671875
1698745468095.0,-0.517578125,-0.823974609375,-0.099609375
1698745468126.25,-0.505126953125,-0.833251953125,-0.0972900390625
1698745468157.5,-0.4871826171875,-0.8328857421875,-0.1141357421875
1698745468188.75,-0.476318359375,-0.8055419921875,-0.1666259765625
1698745468220.0,-0.45947265625,-0.7528076171875,-0.2432861328125
1698745468251.25,-0.4364013671875,-0.7735595703125,-0.3280029296875
1698745468282.5,-0.4091796875,-0.7911376953125,-0.3837890625
1698745468313.75,-0.381103515625,-0.6839599609375,-0.3612060546875
1698745468345.0,-0.38134765625,-0.6026611328125,-0.3271484375
1698745468376.25,-0.376708984375,-0.64453125,-0.421875
1698745468407.5,-0.3446044921875,-0.7266845703125,-0.5506591796875
1698745468438.75,-0.3314208984375,-0.8111572265625,-0.6104736328125
1698745468470.0,-0.33154296875,-0.9268798828125,-0.672119140625
1698745468501.25,-0.296630859375,-1.0059814453125,-0.69580078125
1698745468532.5,-0.2423095703125,-0.9903564453125,-0.6302490234375
1698745468563.75,-0.2774658203125,-0.9617919921875,-0.6802978515625
1698745468595.0,-0.3602294921875,-0.9437255859375,-0.7783203125
1698745468626.25,-0.368896484375,-0.88232421875,-0.697509765625
1698745468657.5,-0.3262939453125,-0.885498046875,-0.571044921875
1698745468688.75,-0.283447265625,-0.9111328125,-0.4979248046875
1698745468720.0,-0.245849609375,-0.84765625,-0.463623046875
1698745468751.25,-0.2232666015625,-0.8321533203125,-0.458251953125
1698745468782.5,-0.224365234375,-0.8470458984375,-0.465087890625
1698745468813.75,-0.2271728515625,-0.843017578125,-0.4825439453125
1698745468845.0,-0.228759765625,-0.8494873046875,-0.4913330078125
1698745468876.25,-0.231201171875,-0.8304443359375,-0.4703369140625
1698745468907.5,-0.2384033203125,-0.81787109375,-0.4617919921875
1698745468938.75,-0.2576904296875,-0.827880859375,-0.488525390625
1698745468970.0,-0.28173828125,-0.8363037109375,-0.53125
1698745469001.25,-0.29931640625,-0.83154296875,-0.5599365234375
1698745469032.5,-0.300537109375,-0.828125,-0.564697265625
1698745469063.75,-0.30859375,-0.8291015625,-0.583984375
1698745469095.0,-0.318359375,-0.8280029296875,-0.6102294921875
1698745469126.25,-0.3072509765625,-0.830322265625,-0.61572265625
1698745469157.5,-0.2900390625,-0.8193359375,-0.6070556640625
1698745469188.75,-0.2791748046875,-0.8095703125,-0.5970458984375
1698745469220.0,-0.2838134765625,-0.8165283203125,-0.6043701171875
1698745469251.25,-0.2989501953125,-0.8118896484375,-0.6273193359375
