timestamp,steps
1698744557.111,3373
1698744557.671,3374
1698744558.31,3375
1698744558.87,3376
1698744559.43,3377
1698744560.23,3378
1698744560.629,3379
1698744561.109,3380
1698744562.232,3381
1698744562.629,3382
1698744563.189,3383
1698744563.669,3384
1698744564.151,3385
1698744564.709,3386
1698744565.351,3387
1698744565.828,3388
1698744566.389,3389
1698744567.028,3390
1698744567.584,3391
1698744568.089,3392
1698744568.567,3393
1698744568.868,3394
1698744569.588,3395
1698744570.228,3396
1698744570.549,3397
1698744571.108,3398
1698744571.587,3399
1698744571.989,3400
1698744572.547,3401
1698744573.108,3402
1698744573.427,3403
1698744573.987,3404
1698744574.467,3405
1698744574.868,3406
1698744575.429,3407
1698744575.987,3408
1698744576.307,3409
1698744577.507,3410
1698744577.907,3411
1698744578.467,3412
1698744578.946,3413
1698744579.266,3414
1698744580.389,3415
1698744580.706,3416
1698744581.428,3417
1698744581.906,3418
1698744582.706,3419
1698744583.426,3420
1698744584.225,3421
1698744584.705,3422
1698744585.825,3423
