ts,steps
1698419354141.0,2004
1698419354541.0,2005
1698419355101.0,2006
1698419355501.0,2007
1698419356141.0,2008
1698419356541.0,2009
1698419357101.0,2010
1698419357501.0,2011
1698419358141.0,2012
1698419358540.0,2013
1698419359101.0,2014
1698419359500.0,2015
1698419359980.0,2016
1698419360543.0,2017
1698419361100.0,2018
1698419361820.0,2019
1698419362300.0,2020
1698419363020.0,2021
1698419363500.0,2022
1698419364380.0,2023
1698419364860.0,2024
1698419365580.0,2025
1698419366779.0,2026
1698419367259.0,2027
1698419368141.0,2028
1698419368699.0,2029
1698419369259.0,2030
1698419369659.0,2031
1698419370219.0,2032
1698419370781.0,2033
1698419371258.0,2034
1698419371818.0,2035
1698419372379.0,2036
1698419372779.0,2037
1698419373528.0,2038
1698419373898.0,2039
1698419374378.0,2040
