timestamp,accGx,accGy,accGz
1698419347.018,-0.942,0.349,-0.15
1698419347.098,-0.939,0.348,-0.143
1698419347.178,-0.941,0.347,-0.133
1698419347.257,-0.943,0.345,-0.143
1698419347.338,-0.939,0.341,-0.156
1698419347.418,-0.939,0.345,-0.151
1698419347.498,-0.941,0.346,-0.147
1698419347.578,-0.944,0.34,-0.149
1698419347.657,-0.946,0.336,-0.148
1698419347.737,-0.946,0.343,-0.146
1698419347.818,-0.948,0.343,-0.141
1698419347.897,-0.978,0.326,-0.185
1698419347.977,-0.99,0.313,-0.212
1698419348.058,-0.964,0.319,-0.179
1698419348.137,-0.954,0.329,-0.166
1698419348.217,-0.952,0.325,-0.167
1698419348.298,-0.948,0.326,-0.167
1698419348.377,-0.945,0.332,-0.16
1698419348.457,-0.931,0.299,-0.145
1698419348.538,-0.938,0.307,-0.149
1698419348.617,-0.943,0.32,-0.155
1698419348.698,-0.952,0.333,-0.161
1698419348.778,-0.95,0.346,-0.162
1698419348.858,-0.943,0.342,-0.141
1698419348.937,-0.941,0.289,-0.122
1698419349.018,-0.936,0.286,-0.148
1698419349.097,-0.933,0.346,-0.176
1698419349.177,-0.937,0.362,-0.171
1698419349.257,-0.938,0.356,-0.159
1698419349.337,-0.939,0.35,-0.154
1698419349.417,-0.943,0.349,-0.154
1698419349.498,-0.968,0.239,-0.178
1698419349.577,-0.981,0.191,-0.186
1698419349.657,-0.955,0.276,-0.164
1698419349.738,-0.939,0.318,-0.156
1698419349.817,-0.937,0.34,-0.156
1698419349.897,-0.934,0.347,-0.158
1698419349.977,-0.934,0.353,-0.155
1698419350.057,-0.931,0.355,-0.151
1698419350.137,-0.941,0.34,-0.18
1698419350.218,-0.951,0.339,-0.176
1698419350.297,-0.943,0.351,-0.196
1698419350.377,-0.909,0.353,-0.268
1698419350.457,-0.876,0.313,-0.292
1698419350.537,-0.833,0.332,-0.237
1698419350.617,-0.885,0.443,-0.205
1698419350.698,-0.887,0.517,-0.227
1698419350.777,-0.772,0.525,-0.252
1698419350.857,-0.754,0.503,-0.283
1698419350.937,-0.805,0.475,-0.304
1698419351.017,-0.922,0.459,-0.298
1698419351.097,-1.122,0.424,-0.251
1698419351.177,-1.198,0.384,-0.194
1698419351.257,-1.088,0.343,-0.139
1698419351.337,-0.935,0.259,-0.072
1698419351.417,-0.745,0.133,-0.042
