isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0,0,0,5518,1698744543323.0
False,0,0,0,5518,1698744543820.0
False,0,0,0,5518,1698744544810.0
False,0,0,0,5518,1698744545799.0
False,0,0,0,5518,1698744546798.0
False,0,0,0,5518,1698744548283.0
False,0,0,0,5518,1698744548774.0
False,0,0,0,5518,1698744549761.0
False,0,0,0,5518,1698744550771.0
False,0,0,0,5518,1698744552231.0
False,0,0,0,5518,1698744552731.0
False,0,0,0,5518,1698744553726.0
False,0,0,0,5518,1698744554708.0
False,0,0,0,5518,1698744556202.0
False,0,0,0,5518,1698744557185.0
False,0,0,0,5518,1698744558672.0
False,0,0,0,5518,1698744560161.0
False,0,0,0,5518,1698744561157.0
False,0,0,0,5518,1698744562138.0
False,0,0,0,5518,1698744563627.0
False,0,0,0,5518,1698744564116.0
False,0,0,0,5518,1698744565107.0
False,0,0,0,5518,1698744566096.0
False,0,0,0,5518,1698744567087.0
False,0,0,0,5518,1698744568572.0
False,0,0,0,5518,1698744570061.0
False,0,0,0,5518,1698744571539.0
False,0,0,0,5518,1698744572039.0
False,0,0,0,5518,1698744573032.0
False,0,0,0,5518,1698744574520.0
False,0,0,0,5518,1698744575010.0
False,0,0,0,5518,1698744575995.0
False,0,0,0,5518,1698744577486.0
False,0,0,0,5518,1698744577998.0
False,0,0,0,5518,1698744578960.0
False,0,0,0,5518,1698744580458.0
False,0,0,0,5518,1698744580956.0
False,0,0,0,5518,1698744581936.0
False,0,0,0,5518,1698744583426.0
False,0,0,0,5518,1698744583914.0
False,0,0,0,5518,1698744584914.0
False,0,0,0,5518,1698744585899.0
False,0,0,0,5518,1698744586885.0
False,0,0,0,5518,1698744587881.0
False,0,0,0,5518,1698744588869.0
False,0,0,0,5518,1698744589854.0
False,0,0,0,5518,1698744590845.0
False,0,0,0,5518,1698744591833.0
False,0,0,0,5518,1698744592822.0
