timestamp,ppg
1698415496.0145342,21145.0
1698415496.034964,21151.0
1698415496.055394,21145.0
1698415496.075824,21152.0
1698415496.0962539,21151.0
1698415496.1166835,21154.0
1698415496.1371136,21156.0
1698415496.1575437,21155.0
1698415496.1779733,21161.0
1698415496.1984034,21165.0
1698415496.2188332,21163.0
1698415496.2392633,21168.0
1698415496.2596931,21168.0
1698415496.280123,21169.0
1698415496.300553,21177.0
1698415496.320983,21170.0
1698415496.3414128,21171.0
1698415496.3618429,21176.0
1698415496.3822727,21167.0
1698415496.4027026,21173.0
1698415496.4231327,21177.0
1698415496.4435625,21179.0
1698415496.4639924,21179.0
1698415496.4844224,21188.0
1698415496.5048523,21184.0
1698415496.5252821,21191.0
1698415496.5457122,21199.0
1698415496.566142,21198.0
1698415496.586572,21195.0
1698415496.607002,21202.0
1698415496.6274319,21216.0
1698415496.6478617,21220.0
1698415496.6682916,21218.0
1698415496.6887217,21225.0
1698415496.7091515,21231.0
1698415496.7295816,21231.0
1698415496.7500117,21240.0
1698415496.7704413,21245.0
1698415496.7908711,21249.0
1698415496.811301,21256.0
1698415496.8317308,21266.0
1698415496.852161,21270.0
1698415496.8725908,21278.0
1698415496.8930209,21279.0
1698415496.9134507,21291.0
1698415496.9338806,21287.0
1698415496.9543104,21297.0
1698415496.9747405,21299.0
1698415496.9951704,21310.0
1698415497.0156004,21311.0
1698415497.0360305,21312.0
1698415497.0564601,21317.0
1698415497.07689,21326.0
1698415497.09732,21324.0
1698415497.11775,21327.0
1698415497.13818,21327.0
1698415497.15861,21333.0
1698415497.1790397,21332.0
1698415497.1994696,21332.0
1698415497.2198997,21333.0
1698415497.2403295,21338.0
1698415497.2607596,21338.0
1698415497.2811897,21335.0
1698415497.3016193,21339.0
1698415497.3220494,21335.0
1698415497.3424792,21337.0
1698415497.362909,21336.0
1698415497.3833392,21353.0
1698415497.403769,21346.0
1698415497.4241989,21352.0
1698415497.444629,21355.0
1698415497.4650586,21357.0
1698415497.4854882,21359.0
1698415497.5059185,21364.0
1698415497.5263484,21368.0
1698415497.5467782,21370.0
1698415497.5672085,21379.0
1698415497.5876381,21379.0
1698415497.6080682,21382.0
1698415497.628498,21387.0
1698415497.648928,21388.0
1698415497.669358,21394.0
1698415497.6897879,21396.0
1698415497.7102177,21396.0
1698415497.7306478,21408.0
1698415497.7510777,21408.0
1698415497.7715075,21411.0
1698415497.7919376,21413.0
1698415497.8123674,21412.0
1698415497.8327973,21415.0
1698415497.8532274,21422.0
1698415497.8736572,21423.0
1698415497.894087,21433.0
1698415497.9145172,21432.0
1698415497.934947,21433.0
1698415497.9553769,21433.0
1698415497.975807,21434.0
1698415497.9962368,21431.0
1698415498.0166667,21433.0
1698415498.0370967,21429.0
1698415498.0575266,21425.0
1698415498.0779562,21425.0
1698415498.0983865,21423.0
1698415498.1188164,21427.0
1698415498.139246,21419.0
1698415498.159676,21426.0
1698415498.180106,21421.0
1698415498.2005358,21419.0
1698415498.2209659,21425.0
1698415498.2413957,21430.0
1698415498.2618258,21433.0
1698415498.2822556,21432.0
1698415498.3026855,21433.0
1698415498.3231156,21435.0
1698415498.3435454,21436.0
1698415498.363975,21438.0
1698415498.3844054,21441.0
1698415498.4048352,21444.0
1698415498.425265,21442.0
1698415498.4456952,21443.0
1698415498.466125,21447.0
1698415498.4865549,21453.0
1698415498.506985,21450.0
1698415498.5274148,21453.0
1698415498.5478446,21451.0
1698415498.568275,21455.0
1698415498.5887046,21460.0
1698415498.6091344,21460.0
1698415498.6295645,21462.0
1698415498.6499944,21464.0
1698415498.6704242,21468.0
1698415498.6908543,21471.0
1698415498.7112842,21470.0
1698415498.731714,21468.0
1698415498.752144,21468.0
1698415498.772574,21466.0
1698415498.7930038,21457.0
1698415498.8134336,21461.0
1698415498.8338635,21463.0
1698415498.8542936,21456.0
1698415498.8747234,21450.0
1698415498.8951533,21451.0
1698415498.9155831,21445.0
1698415498.9360132,21451.0
1698415498.956443,21451.0
1698415498.9768732,21446.0
1698415498.997303,21441.0
1698415499.0177329,21448.0
1698415499.038163,21448.0
1698415499.0585928,21447.0
1698415499.0790226,21449.0
1698415499.0994527,21447.0
1698415499.1198826,21452.0
1698415499.1403124,21457.0
1698415499.1607425,21450.0
1698415499.1811724,21453.0
1698415499.2016022,21456.0
1698415499.2220323,21459.0
1698415499.2424622,21465.0
1698415499.262892,21461.0
1698415499.283322,21466.0
1698415499.303752,21467.0
1698415499.3241818,21472.0
1698415499.344612,21468.0
1698415499.3650415,21474.0
1698415499.3854716,21479.0
1698415499.4059017,21477.0
1698415499.4263315,21485.0
1698415499.4467616,21486.0
1698415499.4671915,21490.0
1698415499.487621,21488.0
1698415499.508051,21486.0
1698415499.528481,21490.0
1698415499.5489109,21494.0
1698415499.5693407,21493.0
1698415499.5897708,21505.0
1698415499.6102006,21500.0
1698415499.6306307,21494.0
1698415499.6510603,21494.0
1698415499.6714904,21489.0
1698415499.6919205,21486.0
1698415499.7123504,21485.0
1698415499.7327805,21477.0
1698415499.7532103,21466.0
1698415499.77364,21461.0
1698415499.79407,21443.0
1698415499.8145,21443.0
1698415499.83493,21428.0
1698415499.85536,21419.0
1698415499.8757899,21409.0
1698415499.8962195,21401.0
1698415499.9166496,21389.0
1698415499.9370797,21393.0
1698415499.9575095,21374.0
1698415499.9779396,21362.0
1698415499.9983695,21365.0
1698415500.0187993,21349.0
1698415500.0392292,21336.0
1698415500.0596592,21331.0
1698415500.080089,21321.0
1698415500.100519,21307.0
1698415500.120949,21299.0
1698415500.1413789,21298.0
1698415500.1618085,21308.0
1698415500.1822383,21307.0
1698415500.2026684,21306.0
1698415500.2230983,21318.0
1698415500.2435284,21325.0
1698415500.2639585,21328.0
1698415500.284388,21343.0
1698415500.3048182,21354.0
1698415500.325248,21361.0
1698415500.345678,21369.0
1698415500.366108,21372.0
1698415500.3865378,21385.0
1698415500.4069679,21391.0
1698415500.4273977,21401.0
1698415500.4478276,21409.0
1698415500.4682577,21424.0
1698415500.4886875,21427.0
1698415500.5091174,21432.0
1698415500.5295475,21439.0
1698415500.5499773,21445.0
1698415500.5704072,21434.0
1698415500.5908372,21437.0
1698415500.611267,21438.0
1698415500.631697,21437.0
1698415500.652127,21437.0
1698415500.6725569,21441.0
1698415500.6929867,21440.0
1698415500.7134168,21436.0
1698415500.7338467,21437.0
1698415500.7542765,21438.0
1698415500.7747064,21440.0
1698415500.7951365,21439.0
1698415500.8155663,21426.0
1698415500.8359962,21432.0
1698415500.856426,21433.0
1698415500.8768559,21430.0
1698415500.897286,21429.0
1698415500.9177158,21423.0
1698415500.9381456,21429.0
1698415500.9585757,21425.0
1698415500.9790056,21421.0
1698415500.9994357,21421.0
1698415501.0198655,21423.0
1698415501.0402954,21426.0
1698415501.0607252,21424.0
1698415501.0811553,21422.0
1698415501.1015851,21425.0
1698415501.1220152,21424.0
1698415501.142445,21422.0
1698415501.162875,21429.0
1698415501.183305,21424.0
1698415501.2037349,21416.0
1698415501.2241647,21416.0
1698415501.2445948,21429.0
1698415501.265025,21428.0
1698415501.2854545,21429.0
1698415501.3058846,21429.0
1698415501.3263144,21438.0
1698415501.3467443,21434.0
1698415501.3671744,21434.0
1698415501.3876042,21425.0
1698415501.408034,21422.0
1698415501.4284642,21423.0
1698415501.448894,21419.0
1698415501.4693239,21412.0
1698415501.489754,21416.0
1698415501.5101836,21410.0
1698415501.5306134,21416.0
1698415501.5510437,21409.0
1698415501.5714734,21407.0
1698415501.5919032,21412.0
1698415501.6123333,21417.0
1698415501.6327631,21407.0
1698415501.653193,21412.0
1698415501.673623,21417.0
1698415501.694053,21416.0
1698415501.714483,21418.0
1698415501.7349129,21417.0
1698415501.7553427,21425.0
1698415501.7757728,21429.0
1698415501.7962027,21431.0
1698415501.8166325,21442.0
1698415501.8370626,21439.0
1698415501.8574924,21443.0
1698415501.8779223,21451.0
1698415501.8983524,21453.0
1698415501.9187822,21456.0
1698415501.939212,21451.0
1698415501.9596422,21461.0
1698415501.980072,21462.0
1698415502.0005019,21463.0
1698415502.020932,21465.0
1698415502.0413618,21476.0
1698415502.0617914,21465.0
1698415502.0822217,21471.0
1698415502.1026516,21462.0
1698415502.1230814,21459.0
1698415502.1435118,21456.0
1698415502.1639414,21450.0
1698415502.184371,21445.0
1698415502.204801,21447.0
1698415502.225231,21442.0
1698415502.2456608,21440.0
1698415502.2660909,21434.0
1698415502.2865207,21441.0
1698415502.3069506,21441.0
1698415502.3273807,21440.0
1698415502.3478103,21435.0
1698415502.3682406,21432.0
1698415502.3886704,21434.0
1698415502.4091003,21436.0
1698415502.4295306,21429.0
1698415502.4499602,21425.0
1698415502.4703898,21419.0
1698415502.4908202,21425.0
1698415502.51125,21425.0
1698415502.5316799,21422.0
1698415502.5521102,21426.0
1698415502.5725398,21425.0
1698415502.5929694,21424.0
1698415502.6133997,21420.0
1698415502.6338296,21415.0
1698415502.6542594,21424.0
1698415502.6746898,21421.0
1698415502.6951194,21420.0
1698415502.7155492,21421.0
1698415502.7359793,21420.0
1698415502.7564092,21414.0
1698415502.776839,21415.0
1698415502.797269,21415.0
1698415502.817699,21410.0
1698415502.8381288,21401.0
1698415502.8585587,21399.0
1698415502.8789883,21383.0
1698415502.8994184,21378.0
1698415502.9198484,21371.0
1698415502.9402783,21364.0
1698415502.9607084,21366.0
1698415502.9811382,21352.0
1698415503.001568,21341.0
1698415503.021998,21340.0
1698415503.042428,21342.0
1698415503.0628579,21333.0
1698415503.083288,21326.0
1698415503.1037178,21324.0
1698415503.1241477,21314.0
1698415503.1445777,21311.0
1698415503.1650076,21299.0
1698415503.1854374,21301.0
1698415503.2058675,21293.0
1698415503.2262974,21288.0
1698415503.2467272,21291.0
1698415503.2671573,21288.0
1698415503.2875872,21289.0
1698415503.308017,21288.0
1698415503.328447,21287.0
1698415503.348877,21286.0
1698415503.3693068,21290.0
1698415503.389737,21294.0
1698415503.4101667,21295.0
1698415503.4305966,21296.0
1698415503.4510267,21298.0
1698415503.4714563,21297.0
1698415503.4918864,21293.0
1698415503.5123165,21300.0
1698415503.532746,21294.0
1698415503.553176,21298.0
1698415503.573606,21290.0
1698415503.5940359,21295.0
1698415503.6144657,21280.0
1698415503.6348958,21277.0
1698415503.6553257,21278.0
1698415503.6757555,21269.0
1698415503.6961856,21266.0
1698415503.7166154,21263.0
1698415503.7370455,21255.0
1698415503.7574751,21261.0
1698415503.7779052,21266.0
1698415503.7983353,21264.0
1698415503.8187652,21257.0
1698415503.839195,21265.0
1698415503.859625,21267.0
1698415503.880055,21264.0
1698415503.9004848,21261.0
1698415503.920915,21265.0
1698415503.9413447,21267.0
1698415503.9617748,21267.0
1698415503.9822047,21270.0
1698415504.0026345,21268.0
1698415504.0230644,21269.0
1698415504.0434945,21273.0
1698415504.0639243,21271.0
1698415504.0843542,21275.0
1698415504.1047843,21270.0
1698415504.125214,21269.0
1698415504.145644,21270.0
1698415504.166074,21264.0
1698415504.186504,21267.0
1698415504.2069335,21267.0
1698415504.2273636,21267.0
1698415504.2477937,21266.0
1698415504.2682233,21261.0
1698415504.2886534,21258.0
1698415504.3090832,21244.0
1698415504.329513,21237.0
1698415504.3499432,21239.0
1698415504.370373,21227.0
1698415504.3908029,21222.0
1698415504.411233,21217.0
1698415504.4316628,21219.0
1698415504.452093,21212.0
1698415504.4725227,21209.0
1698415504.4929526,21206.0
1698415504.5133827,21203.0
1698415504.5338125,21205.0
1698415504.5542424,21204.0
1698415504.5746725,21196.0
1698415504.5951023,21189.0
1698415504.6155322,21193.0
1698415504.6359622,21193.0
1698415504.656392,21194.0
1698415504.676822,21188.0
1698415504.697252,21193.0
1698415504.717682,21183.0
1698415504.7381117,21186.0
1698415504.7585416,21182.0
1698415504.7789717,21183.0
1698415504.7994015,21187.0
1698415504.8198316,21177.0
1698415504.8402617,21172.0
1698415504.8606913,21176.0
1698415504.8811212,21169.0
1698415504.901551,21174.0
1698415504.9219809,21170.0
1698415504.942411,21170.0
1698415504.9628408,21160.0
1698415504.9832706,21163.0
1698415505.0037007,21156.0
1698415505.0241306,21150.0
1698415505.0445602,21142.0
1698415505.0649905,21139.0
1698415505.0854204,21132.0
1698415505.1058505,21127.0
1698415505.1262805,21126.0
1698415505.1467102,21120.0
1698415505.16714,21118.0
1698415505.18757,21121.0
1698415505.208,21119.0
1698415505.22843,21115.0
1698415505.2488601,21115.0
1698415505.2692897,21112.0
1698415505.2897196,21112.0
1698415505.3101497,21111.0
1698415505.3305795,21112.0
1698415505.3510096,21114.0
1698415505.3714397,21121.0
1698415505.3918693,21113.0
1698415505.4122994,21115.0
1698415505.4327292,21115.0
