timestamp,alpha,beta,gamma,acc,heading
1698920125.17,359.84351201426125,18.172466656272125,0.9784693149272354,-1.0,
1698920125.186,359.81312118805465,17.967469827786672,0.847853607595396,47.66603469848633,121.08184051513672
1698920125.203,359.82314925066095,17.88343493601813,0.7915390210401368,47.66603469848633,121.08184051513672
1698920125.22,359.8328943173206,17.842775033425156,0.7799925791712841,47.66603469848633,121.08184051513672
1698920125.236,359.8120073314664,17.78772093831424,0.8163554970146477,47.66603469848633,121.08184051513672
1698920125.253,358.64073640138355,16.676464703069193,4.691636234524105,47.66603469848633,121.08184051513672
1698920125.27,358.7063834209243,16.524826558245113,4.32766442867926,47.66603469848633,121.08184051513672
1698920125.287,358.82228238547174,16.37467228925888,3.4285916437891375,47.66603469848633,121.08184051513672
1698920125.304,358.810917780426,16.208795627197674,2.756345399488725,47.66603469848633,121.08184051513672
1698920125.321,358.58642700467186,16.057695612927727,2.669146211068189,47.66603469848633,121.08184051513672
1698920125.336,358.23130855390923,15.968119683273954,2.658171714640461,40.206947326660156,122.36112976074219
1698920125.355,357.997347588407,16.101377350620808,2.5782020179957996,40.206947326660156,122.36112976074219
1698920125.37,357.7522084909562,15.821425432376827,2.4926079024544383,40.206947326660156,122.36112976074219
1698920125.387,357.55430621825576,15.488375544652522,1.8690819637498222,40.206947326660156,122.36112976074219
1698920125.404,357.5307546893945,15.231999105989084,1.1026889794043555,40.206947326660156,122.36112976074219
1698920125.421,357.5903181615855,14.800273751691206,0.08927008886070403,39.92363357543945,123.43096923828125
1698920125.437,357.51169446061465,13.849698837897122,-1.308425792089021,39.92363357543945,123.43096923828125
1698920125.454,357.31946472809943,13.165980837986767,-2.0238200933079398,39.92363357543945,123.43096923828125
1698920125.47,357.0561265059773,12.67864002690638,-2.3355035415458336,39.92363357543945,123.43096923828125
1698920125.487,356.85296226215394,12.318014843153767,-2.122404163762348,39.92363357543945,123.43096923828125
1698920125.504,356.94532004482545,12.093916571367933,-1.6500465190703484,39.92363357543945,123.43096923828125
1698920125.521,357.23808929716273,11.814977621028115,-1.1326614002468836,39.92363357543945,123.43096923828125
1698920125.537,357.80623055490344,11.43107183266777,-0.5885225392092415,39.92363357543945,123.43096923828125
1698920125.555,358.2379222822628,11.31088592523475,-0.39126786459131374,39.92363357543945,123.43096923828125
1698920125.57,358.5668207626464,11.353740200137022,-0.21834535521731427,39.92363357543945,123.43096923828125
1698920125.587,358.86019791323787,11.491041895271525,0.09455344392639026,39.923648834228516,122.4248275756836
1698920125.603,359.0249774860524,11.58263841958357,0.27918954565843185,39.923648834228516,122.4248275756836
1698920125.62,359.1306981886901,11.761219747438695,0.45428849759997,39.923648834228516,122.4248275756836
1698920125.637,359.2354309406011,12.241479386496701,0.9133273930742833,39.923648834228516,122.4248275756836
1698920125.653,359.34293637573245,12.6146608018254,1.3663621585006784,39.923648834228516,122.4248275756836
1698920125.67,359.43788447038185,12.801417777733002,1.8330565587887715,39.923648834228516,122.4248275756836
1698920125.687,359.5457950502183,12.765441092965345,2.4842974971863283,39.92365264892578,121.37594604492188
1698920125.703,359.703698384218,12.737147056218468,3.0102578409523097,39.92365264892578,121.37594604492188
1698920125.72,0.023908894347803265,12.837514018067834,3.3156126770939847,39.92365264892578,121.37594604492188
1698920125.737,0.8203002365720545,13.07797166647897,2.810359223609974,39.92365264892578,120.14126586914062
1698920125.753,1.7955064493527673,13.181027805959605,1.6287107364872133,39.923648834228516,119.0781478881836
1698920125.77,2.925798544906624,13.137749968510654,0.16777998421872858,39.923648834228516,119.0781478881836
1698920125.787,4.163476446046119,12.984804121772575,-1.0430671965133236,39.92365264892578,117.8116683959961
1698920125.803,4.650530431321194,12.749279922312313,-1.100227270680657,39.92365264892578,117.8116683959961
1698920125.82,4.7646143446420055,12.273639396626304,-0.672123370874864,39.92365264892578,116.39614868164062
1698920125.837,4.532913293287411,11.301789915668449,0.4257222737271599,39.92365264892578,116.39614868164062
1698920125.853,4.170410375399628,10.205211333119895,1.0148511177723318,39.92365264892578,116.39614868164062
1698920125.87,3.6917047178385545,8.838927100317754,0.890138251654919,39.92365264892578,116.39614868164062
1698920125.886,3.044999965090859,7.462095451575914,-0.29967671059653017,39.923641204833984,117.54006958007812
1698920125.903,2.746635029269789,7.315444755049237,-1.6076119471477721,39.923641204833984,117.54006958007812
1698920125.92,2.7504992811939393,7.878622234637964,-3.0301808067131306,39.923641204833984,117.54006958007812
1698920125.937,3.0935317941720757,8.799264561594832,-4.931401130410273,39.923641204833984,117.54006958007812
1698920125.953,3.3731119767108555,9.034021686930007,-6.108021786817678,39.923641204833984,117.54006958007812
1698920125.97,3.5315856442785254,8.783052417328506,-6.855988338214184,39.923641204833984,117.54006958007812
1698920125.986,3.4272261261778674,8.184124426675051,-7.190982111378916,31.18199920654297,118.84439086914062
1698920126.003,3.0298537963873944,7.769840088774251,-7.177971177320052,31.18199920654297,118.84439086914062
1698920126.02,2.4159747983992643,7.310469464170115,-7.0054999104152404,26.376060485839844,120.31520080566406
1698920126.036,1.6045844962074856,6.612058555995129,-6.4875922675162805,26.376060485839844,120.31520080566406
1698920126.053,1.1568065187146996,6.046872679998581,-6.0004345655753255,24.449783325195312,121.34335327148438
1698920126.07,0.7082176231097074,5.232599143223194,-5.7480169327286195,24.449783325195312,121.34335327148438
1698920126.086,0.3347800938729813,4.675414712753277,-5.905100548620838,24.449783325195312,121.34335327148438
1698920126.103,359.85007188093954,4.360470375643303,-6.121877045181688,23.345123291015625,122.50567626953125
