isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,7085,1698921495580.0
False,0.0,0,0,7085,1698921497065.0
False,0.0,0,0,7085,1698921497564.0
False,0.0,0,0,7085,1698921500038.0
False,0.0,0,0,7085,1698921501025.0
False,0.0,0,0,7085,1698921501522.0
False,0.0,0,0,7085,1698921502519.0
False,0.0,0,0,7085,1698921503499.0
False,0.52734375,0,169,7109,1698921504491.0
False,1.08203125,16,193,7118,1698921505482.0
False,1.609375,33,235,7133,1698921506472.0
False,1.8046875,66,255,7171,1698921507967.0
False,1.859375,66,244,7190,1698921508455.0
False,1.859375,66,244,7190,1698921509440.0
False,1.75,62,214,7212,1698921511918.0
False,1.75,62,214,7212,1698921511919.0
False,0.0,0,0,7212,1698921512422.0
False,0.0,0,0,7212,1698921513895.0
