ts,abs,alpha,beta,gamma
1698673399010.0,False,146.6,80.5,-64.7
1698673399026.0,False,150.1,80.4,-67.9
1698673399043.0,False,151.9,80.4,-69.4
1698673399059.0,False,155.3,80.30000000000001,-72.3
1698673399076.0,False,158.70000000000002,80.10000000000001,-75.3
1698673399093.0,False,160.3,80.0,-76.80000000000001
1698673399109.0,False,163.9,79.5,-79.9
1698673399126.0,False,164.5,79.2,-80.2
1698673399142.0,False,164.60000000000002,78.5,-80.0
1698673399159.0,False,163.8,77.80000000000001,-79.2
1698673399176.0,False,163.20000000000002,77.4,-78.60000000000001
1698673399193.0,False,162.0,76.60000000000001,-77.60000000000001
1698673399211.0,False,160.9,75.9,-76.7
1698673399226.0,False,160.4,75.60000000000001,-76.4
1698673399243.0,False,159.3,75.2,-75.7
1698673399260.0,False,158.3,74.9,-74.9
1698673399276.0,False,157.8,74.7,-74.60000000000001
1698673399293.0,False,156.8,74.5,-73.8
1698673399310.0,False,156.4,74.4,-73.5
1698673399326.0,False,155.60000000000002,74.3,-73.10000000000001
1698673399343.0,False,155.10000000000002,74.2,-72.7
1698673399359.0,False,154.8,74.10000000000001,-72.60000000000001
1698673399393.0,False,154.9,74.10000000000001,-72.9
1698673399410.0,False,155.20000000000002,74.10000000000001,-73.4
1698673399426.0,False,155.4,74.10000000000001,-73.8
1698673399443.0,False,156.10000000000002,74.0,-74.5
1698673399459.0,False,156.4,74.0,-74.8
1698673399476.0,False,157.0,73.9,-75.5
1698673399494.0,False,157.8,73.8,-76.4
1698673399510.0,False,158.60000000000002,73.5,-77.2
1698673399526.0,False,158.9,73.5,-77.60000000000001
1698673399543.0,False,159.4,73.4,-78.2
1698673399559.0,False,159.8,73.4,-78.60000000000001
1698673399576.0,False,160.0,73.4,-78.80000000000001
1698673399593.0,False,160.70000000000002,73.5,-79.5
1698673399609.0,False,161.5,73.5,-80.4
1698673399626.0,False,162.3,73.5,-81.2
1698673399643.0,False,162.60000000000002,73.60000000000001,-81.5
1698673399659.0,False,162.8,73.60000000000001,-81.80000000000001
1698673399676.0,False,163.10000000000002,73.7,-82.0
1698673399693.0,False,163.20000000000002,73.9,-82.0
1698673399727.0,False,163.0,73.9,-81.80000000000001
1698673399743.0,False,162.60000000000002,73.9,-81.5
1698673399759.0,False,162.10000000000002,74.0,-81.10000000000001
1698673399777.0,False,161.9,74.0,-80.80000000000001
1698673399795.0,False,161.20000000000002,74.2,-80.2
1698673399813.0,False,160.5,74.4,-79.60000000000001
1698673399828.0,False,160.20000000000002,74.5,-79.30000000000001
1698673399842.0,False,159.60000000000002,74.7,-78.80000000000001
1698673399860.0,False,159.0,74.8,-78.30000000000001
1698673399877.0,False,158.8,74.9,-78.10000000000001
1698673399893.0,False,158.3,75.0,-77.60000000000001
1698673399910.0,False,157.9,75.2,-77.30000000000001
1698673399926.0,False,157.70000000000002,75.2,-77.10000000000001
1698673399943.0,False,157.4,75.3,-76.9
1698673399959.0,False,157.20000000000002,75.3,-76.7
1698673399992.0,False,156.70000000000002,75.3,-76.3
1698673400009.0,False,156.5,75.4,-76.10000000000001
1698673400026.0,False,156.5,75.4,-76.0
1698673400076.0,False,156.4,75.5,-75.8
1698673400093.0,False,156.4,75.60000000000001,-75.8
1698673400126.0,False,156.8,75.7,-76.2
1698673400143.0,False,157.0,75.7,-76.3
1698673400159.0,False,157.3,75.8,-76.60000000000001
1698673400176.0,False,157.70000000000002,75.8,-77.0
1698673400193.0,False,157.9,75.8,-77.2
1698673400210.0,False,158.3,75.9,-77.5
1698673400226.0,False,158.70000000000002,75.9,-77.80000000000001
1698673400276.0,False,158.70000000000002,75.9,-77.7
1698673400293.0,False,158.4,75.9,-77.30000000000001
1698673400309.0,False,157.8,75.9,-76.7
1698673400326.0,False,157.5,75.8,-76.4
1698673400343.0,False,157.0,75.8,-75.7
1698673400359.0,False,156.5,75.7,-75.10000000000001
1698673400376.0,False,156.0,75.7,-74.5
1698673400393.0,False,155.8,75.7,-74.2
1698673400426.0,False,155.70000000000002,75.8,-74.0
1698673400459.0,False,155.70000000000002,75.8,-73.8
1698673400476.0,False,156.0,75.9,-73.9
1698673400492.0,False,156.3,75.9,-74.10000000000001
1698673400510.0,False,157.0,75.9,-74.60000000000001
1698673400526.0,False,157.8,75.8,-75.2
1698673400542.0,False,158.20000000000002,75.8,-75.5
1698673400559.0,False,158.70000000000002,75.9,-75.9
1698673400576.0,False,159.0,76.0,-76.0
1698673400593.0,False,159.10000000000002,76.10000000000001,-76.10000000000001
1698673400611.0,False,159.10000000000002,76.2,-75.9
1698673400626.0,False,158.8,76.3,-75.5
1698673400642.0,False,158.4,76.4,-75.0
1698673400659.0,False,158.10000000000002,76.4,-74.7
1698673400676.0,False,157.60000000000002,76.5,-74.2
1698673400693.0,False,157.3,76.5,-73.9
1698673400711.0,False,157.0,76.7,-73.5
1698673400726.0,False,156.9,76.9,-73.5
1698673400742.0,False,157.10000000000002,77.0,-73.60000000000001
1698673400760.0,False,157.60000000000002,77.2,-74.3
1698673400776.0,False,158.60000000000002,77.4,-75.2
1698673400793.0,False,159.3,77.60000000000001,-76.0
1698673400810.0,False,159.70000000000002,77.80000000000001,-76.4
1698673400826.0,False,160.4,78.0,-77.0
1698673400843.0,False,160.8,78.10000000000001,-77.5
1698673400860.0,False,161.4,78.4,-78.2
1698673400876.0,False,161.60000000000002,78.5,-78.60000000000001
1698673400892.0,False,161.3,78.80000000000001,-78.2
1698673400910.0,False,160.4,79.0,-77.2
1698673400926.0,False,159.8,79.10000000000001,-76.60000000000001
1698673400943.0,False,159.10000000000002,79.10000000000001,-76.0
1698673400959.0,False,157.8,79.2,-74.8
1698673400976.0,False,156.10000000000002,79.2,-73.2
1698673400993.0,False,155.20000000000002,79.30000000000001,-72.3
1698673401010.0,False,153.3,79.4,-70.2
1698673401027.0,False,151.6,79.60000000000001,-68.4
1698673401043.0,False,151.0,79.7,-67.7
1698673401059.0,False,150.20000000000002,79.7,-67.0
1698673401076.0,False,150.1,79.7,-66.8
1698673401093.0,False,150.20000000000002,79.7,-66.9
1698673401109.0,False,150.70000000000002,79.80000000000001,-67.60000000000001
