ts(msec),X,Y,Z
1698673399008.5,-0.5238037109375,-0.83740234375,0.0556640625
1698673399039.75,-0.5133056640625,-0.8353271484375,0.05810546875
1698673399071.0,-0.5162353515625,-0.834716796875,0.0560302734375
1698673399102.25,-0.522216796875,-0.8363037109375,0.0538330078125
1698673399133.5,-0.50927734375,-0.8408203125,0.0418701171875
1698673399164.75,-0.4891357421875,-0.8311767578125,0.04443359375
1698673399196.0,-0.484130859375,-0.8240966796875,0.0638427734375
1698673399227.25,-0.500732421875,-0.8326416015625,0.0628662109375
1698673399258.5,-0.51953125,-0.8408203125,0.0458984375
1698673399289.75,-0.528076171875,-0.85498046875,0.0386962890625
1698673399321.0,-0.5477294921875,-0.8753662109375,0.035400390625
1698673399352.25,-0.5662841796875,-0.874267578125,0.0289306640625
1698673399383.5,-0.5455322265625,-0.8663330078125,0.037109375
1698673399414.75,-0.4822998046875,-0.923828125,0.0845947265625
1698673399446.0,-0.35888671875,-1.1177978515625,0.132568359375
1698673399477.25,-0.2677001953125,-1.156982421875,0.1217041015625
1698673399508.5,-0.25,-1.0150146484375,0.0230712890625
1698673399539.75,-0.269775390625,-0.968994140625,-0.079833984375
1698673399571.0,-0.318115234375,-0.8990478515625,-0.138916015625
1698673399602.25,-0.375244140625,-0.770751953125,-0.16162109375
1698673399633.5,-0.43408203125,-0.7408447265625,-0.1282958984375
1698673399664.75,-0.47021484375,-0.8043212890625,-0.093994140625
1698673399696.0,-0.501220703125,-0.8017578125,-0.110107421875
1698673399727.25,-0.5565185546875,-0.699462890625,-0.1270751953125
1698673399758.5,-0.6510009765625,-0.615234375,-0.122802734375
1698673399789.75,-0.7880859375,-0.521240234375,-0.185546875
1698673399821.0,-0.93994140625,-0.3726806640625,-0.342529296875
1698673399852.25,-0.978271484375,-0.404541015625,-0.47412109375
1698673399883.5,-0.9207763671875,-0.6468505859375,-0.44580078125
1698673399914.75,-0.853515625,-0.8134765625,-0.3345947265625
1698673399946.0,-0.76611328125,-0.8245849609375,-0.269775390625
1698673399977.25,-0.6427001953125,-0.783935546875,-0.174560546875
1698673400008.5,-0.490478515625,-0.8260498046875,-0.017822265625
1698673400039.75,-0.4072265625,-0.9129638671875,0.0140380859375
1698673400071.0,-0.4075927734375,-0.822509765625,-0.0703125
1698673400102.25,-0.4300537109375,-0.658935546875,-0.1082763671875
1698673400133.5,-0.4837646484375,-0.6529541015625,-0.1614990234375
1698673400164.75,-0.5203857421875,-0.7451171875,-0.2890625
1698673400196.0,-0.497314453125,-0.7794189453125,-0.370849609375
1698673400227.25,-0.4735107421875,-0.7965087890625,-0.4263916015625
1698673400258.5,-0.4854736328125,-0.847412109375,-0.504150390625
1698673400289.75,-0.479736328125,-0.8626708984375,-0.43994140625
1698673400321.0,-0.4556884765625,-0.865478515625,-0.2352294921875
1698673400352.25,-0.4984130859375,-0.8763427734375,-0.11083984375
1698673400383.5,-0.5797119140625,-0.9134521484375,-0.0914306640625
1698673400414.75,-0.5865478515625,-0.999755859375,-0.0137939453125
1698673400446.0,-0.536376953125,-1.039306640625,0.0545654296875
1698673400477.25,-0.5123291015625,-0.983642578125,0.0057373046875
1698673400508.5,-0.482421875,-0.945556640625,-0.0816650390625
1698673400539.75,-0.4365234375,-0.9522705078125,-0.1661376953125
1698673400571.0,-0.4107666015625,-0.944580078125,-0.2288818359375
1698673400602.25,-0.4005126953125,-0.94921875,-0.29443359375
1698673400633.5,-0.396728515625,-0.9739990234375,-0.38818359375
1698673400664.75,-0.39404296875,-0.9403076171875,-0.435302734375
1698673400696.0,-0.37890625,-0.839599609375,-0.3914794921875
1698673400727.25,-0.36376953125,-0.7755126953125,-0.319580078125
1698673400758.5,-0.3638916015625,-0.7784423828125,-0.2520751953125
1698673400789.75,-0.372802734375,-0.8076171875,-0.172119140625
1698673400821.0,-0.3626708984375,-0.834228515625,-0.0848388671875
1698673400852.25,-0.3255615234375,-0.8189697265625,-0.0184326171875
1698673400883.5,-0.3118896484375,-0.72509765625,0.022705078125
1698673400914.75,-0.3204345703125,-0.6026611328125,0.0286865234375
1698673400946.0,-0.2890625,-0.567626953125,-0.0343017578125
1698673400977.25,-0.1884765625,-0.6444091796875,-0.11767578125
1698673401008.5,-0.0836181640625,-0.8306884765625,-0.227294921875
