isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0.0,0,0,2683,1698420253965.0
False,0.0,0,0,2683,1698420254949.0
False,0.0,0,0,2683,1698420255945.0
False,0.0,0,0,2683,1698420256927.0
False,0.0,0,0,2683,1698420257922.0
False,0.0,0,0,2683,1698420258912.0
False,0.0,0,0,2683,1698420259901.0
False,0.0,0,0,2683,1698420260893.0
False,0.5,14,146,2706,1698420261882.0
False,0.9140625,28,157,2717,1698420262874.0
False,1.02734375,42,169,2731,1698420263862.0
False,1.08203125,55,168,2746,1698420265348.0
False,1.13671875,56,162,2759,1698420265843.0
False,1.1640625,56,144,2773,1698420266827.0
False,1.1640625,55,128,2786,1698420267824.0
False,1.19140625,55,125,2799,1698420268812.0
False,1.19140625,55,125,2799,1698420269802.0
False,1.21875,55,128,2813,1698420270791.0
False,1.25,54,130,2827,1698420271783.0
False,1.27734375,54,134,2842,1698420272774.0
False,1.27734375,54,138,2857,1698420273762.0
False,1.21875,55,141,2870,1698420274753.0
False,1.25,51,144,2887,1698420275744.0
False,1.25,51,144,2887,1698420277227.0
False,1.21875,50,144,2902,1698420277722.0
False,1.25,49,146,2915,1698420278711.0
False,1.27734375,48,150,2930,1698420280197.0
False,1.27734375,52,154,2945,1698420281679.0
False,1.27734375,53,155,2959,1698420282179.0
False,1.27734375,54,154,2973,1698420283168.0
False,1.27734375,54,150,2987,1698420284167.0
False,1.27734375,54,150,2987,1698420285159.0
False,1.27734375,54,146,3001,1698420286136.0
False,1.27734375,54,145,3015,1698420287123.0
False,1.27734375,54,144,3029,1698420288608.0
False,1.27734375,54,144,3044,1698420289104.0
False,1.27734375,53,144,3059,1698420290094.0
False,1.27734375,53,144,3059,1698420291082.0
False,0.0,0,0,3059,1698420292075.0
False,0.0,0,0,3059,1698420293062.0
