ts,alpha,beta,gamma,acc,heading
1698672821176.0,359.6098006548979,20.97676200084238,2.107483343401762,-1.0,
1698672821192.0,359.6604761589262,20.953541593980827,2.035125915737994,47.320167541503906,117.25650787353516
1698672821208.0,359.6875774231503,20.93498612612366,1.975263149119353,47.320167541503906,117.25650787353516
1698672821225.0,359.7069916311052,20.943539791763566,1.9316984935516395,47.320167541503906,117.25650787353516
1698672821241.0,359.7133073099742,20.971821081604737,1.9312534809084736,47.320167541503906,117.25650787353516
1698672821258.0,359.9235616720457,21.06186342909742,1.3418115653554055,47.320167541503906,117.25650787353516
1698672821275.0,359.94084329025384,20.56903912946487,1.2668376345208867,47.320167541503906,117.25650787353516
1698672821291.0,359.92975606780885,20.339586501406277,1.254168370737469,47.320167541503906,117.25650787353516
1698672821308.0,359.948179017061,20.032103620504788,1.1190899009043662,47.320167541503906,117.25650787353516
1698672821325.0,359.91293263084833,19.73041643757615,1.0634218166938367,47.320167541503906,117.25650787353516
1698672821342.0,359.84380480898744,19.596346275227496,1.119008394238681,47.320167541503906,117.25650787353516
1698672821358.0,359.7765078560064,19.38754738687547,1.1741101606060236,47.320167541503906,117.25650787353516
1698672821375.0,359.6731048337785,19.224256432448342,1.3675003782084438,47.320167541503906,117.25650787353516
1698672821392.0,359.63025198211443,19.13321752440108,1.5115502484821703,47.320167541503906,117.25650787353516
1698672821408.0,359.57571890480756,18.998392606839204,1.7648201405331483,47.320167541503906,117.25650787353516
1698672821425.0,359.5487120067546,18.991271071289805,2.0350830314311223,47.320167541503906,117.25650787353516
1698672821442.0,359.5541157962713,19.03393781463593,2.1981635075234793,47.320167541503906,117.25650787353516
1698672821458.0,359.50779011747744,19.376188962377142,2.535789545187835,47.320167541503906,117.25650787353516
1698672821475.0,359.50585193762697,19.73761711592479,2.8021568534708337,47.320167541503906,117.25650787353516
1698672821492.0,359.508405906732,19.90413072021192,2.9553216320309965,47.320167541503906,117.25650787353516
1698672821508.0,359.47450733337035,20.089399339988724,3.1759322992507397,47.320167541503906,117.25650787353516
1698672821524.0,359.45271894166484,20.181103092437677,3.339609347347706,47.320167541503906,117.25650787353516
1698672821542.0,359.48337857782957,20.208126778548205,3.398673454036265,47.320167541503906,117.25650787353516
1698672821559.0,359.67437063053865,20.119405525466007,3.172483324897545,47.320167541503906,117.25650787353516
