ms,hr,conf
1698672816631.0,0,24
1698672817567.0,0,14
1698672818436.0,0,29
1698672819339.0,0,14
1698672820241.0,0,32
1698672821143.0,0,15
1698672822046.0,0,13
1698672823784.0,66,2
1698672824687.0,66,33
1698672825555.0,66,83
1698672826458.0,66,0
1698672827327.0,66,7
1698672828229.0,66,5
1698672829137.0,66,4
1698672830035.0,66,7
1698672830937.0,66,24
1698672831806.0,66,34
1698672832709.0,66,36
1698672833616.0,66,5
1698672834480.0,66,32
1698672835383.0,66,40
1698672836256.0,66,22
1698672837188.0,70,42
1698672838057.0,72,49
1698672838926.0,72,34
1698672839795.0,72,50
1698672840664.0,72,53
1698672841567.0,72,94
