ms,x,y,z
1698924373492.0,61,631,221
1698924373575.0,53,637,226
1698924373652.0,42,624,230
1698924373733.0,32,631,227
1698924373812.0,39,634,219
1698924373892.0,46,632,222
1698924373975.0,51,630,228
1698924374052.0,51,638,218
1698924374132.0,70,633,214
1698924374212.0,76,652,226
1698924374292.0,80,655,232
1698924374372.0,68,667,229
1698924374452.0,75,661,228
1698924374532.0,79,660,221
1698924374612.0,75,658,230
1698924374692.0,92,641,216
1698924374773.0,80,644,211
1698924374852.0,74,649,222
1698924374932.0,66,623,225
1698924375012.0,48,623,220
1698924375092.0,33,614,224
1698924375172.0,33,594,217
1698924375253.0,17,601,227
1698924375332.0,3,606,227
1698924375415.0,-24,600,235
1698924375492.0,-37,603,241
1698924375572.0,-45,597,251
1698924375652.0,-63,602,255
1698924375732.0,-70,603,266
1698924375814.0,-86,591,263
1698924375892.0,-76,600,265
1698924375972.0,-89,591,263
1698924376052.0,-96,590,272
1698924376132.0,-91,594,279
1698924376212.0,-98,591,281
1698924376292.0,-97,590,275
1698924376372.0,-90,598,277
1698924376452.0,-92,594,280
1698924376532.0,-93,595,279
1698924376612.0,-97,596,265
1698924376692.0,-85,610,273
1698924376772.0,-99,591,282
1698924376852.0,-83,597,282
1698924376931.0,-74,602,273
1698924377011.0,-92,605,282
1698924377094.0,-99,604,278
1698924377171.0,-88,603,283
1698924377254.0,-89,592,287
1698924377332.0,-97,602,279
1698924377411.0,-94,604,269
