isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,msFromStart
False,0,0,0,8988,1698924352222.0
False,0,0,0,8988,1698924352719.0
False,0,0,0,8988,1698924353709.0
False,0,0,0,8988,1698924354691.0
False,0,0,0,8988,1698924355686.0
False,0,0,0,8988,1698924356678.0
False,0,0,0,8988,1698924357688.0
False,0,0,0,8988,1698924358651.0
False,0,0,0,8988,1698924359642.0
False,0,0,0,8988,1698924360634.0
False,0,0,0,8988,1698924361629.0
False,0,0,0,8988,1698924362618.0
False,0,0,0,8988,1698924364095.0
False,0,0,0,8988,1698924364597.0
False,0,0,0,8988,1698924365586.0
False,0,0,0,8988,1698924367567.0
False,0,0,0,8988,1698924367568.0
False,0,0,0,8988,1698924368557.0
False,0,0,0,8988,1698924369545.0
False,0,0,0,8988,1698924371032.0
False,0,0,0,8988,1698924371521.0
False,0,0,0,8988,1698924372518.0
False,0,0,0,8988,1698924373505.0
False,0,0,0,8988,1698924374502.0
False,0,0,0,8988,1698924375487.0
False,0,0,0,8988,1698924376477.0
False,0,0,0,8988,1698924377961.0
False,0,0,0,8988,1698924378449.0
False,0,0,0,8988,1698924379439.0
False,0,0,0,8988,1698924380434.0
False,0,0,0,8988,1698924381421.0
False,0,0,0,8988,1698924382409.0
False,0,0,0,8988,1698924383410.0
