ms,x,y,z
1698920046921.0,25,804,467
1698920047003.0,32,803,468
1698920047081.0,22,801,464
1698920047161.0,30,797,463
1698920047241.0,13,802,465
1698920047321.0,29,795,468
1698920047404.0,17,805,452
1698920047490.0,22,807,467
1698920047561.0,26,810,470
1698920047641.0,24,813,465
1698920047721.0,15,797,466
1698920047800.0,31,803,470
1698920047882.0,29,809,474
1698920047961.0,16,806,471
1698920048043.0,26,803,468
1698920048121.0,36,804,467
1698920048201.0,35,801,471
1698920048281.0,31,815,456
1698920048361.0,23,813,471
1698920048440.0,29,807,472
1698920048521.0,18,818,471
1698920048601.0,24,808,472
1698920048680.0,22,798,478
1698920048760.0,36,808,470
1698920048841.0,18,805,475
1698920048920.0,25,806,465
1698920049000.0,31,814,465
1698920049083.0,27,805,471
1698920049160.0,17,803,466
1698920049241.0,16,807,463
1698920049321.0,27,808,462
1698920049400.0,21,813,469
1698920049480.0,30,798,478
1698920049561.0,5,813,465
1698920049640.0,22,814,468
1698920049723.0,13,816,467
1698920049800.0,18,805,467
1698920049880.0,29,818,465
1698920049960.0,21,815,471
1698920050041.0,18,802,476
1698920050120.0,28,804,474
1698920050200.0,21,811,473
1698920050281.0,23,812,474
1698920050360.0,19,802,469
1698920050440.0,25,808,470
1698920050520.0,31,804,466
1698920050603.0,25,814,465
1698920050680.0,30,806,464
1698920050763.0,15,810,463
1698920050840.0,18,804,472
1698920050920.0,33,818,469
1698920051000.0,22,804,462
1698920051080.0,19,804,471
1698920051160.0,26,807,456
1698920051240.0,32,803,457
1698920051320.0,6,803,462
1698920051402.0,23,814,467
1698920051480.0,29,810,464
1698920051560.0,25,823,473
1698920051640.0,19,809,462
1698920051720.0,19,811,462
1698920051802.0,20,813,469
1698920051880.0,6,821,453
1698920051960.0,-6,845,395
1698920052040.0,7,848,380
1698920052120.0,-10,860,404
1698920052200.0,16,835,435
1698920052282.0,16,807,483
1698920052360.0,26,797,479
1698920052443.0,28,810,480
1698920052520.0,13,812,478
1698920052600.0,21,813,475
1698920052680.0,24,802,470
1698920052760.0,11,808,465
1698920052840.0,27,809,468
1698920052920.0,16,802,469
1698920053000.0,16,798,451
1698920053081.0,15,814,455
1698920053160.0,14,799,467
1698920053240.0,31,811,468
1698920053322.0,17,800,468
1698920053400.0,19,801,454
1698920053483.0,21,815,462
1698920053560.0,24,803,471
1698920053640.0,19,809,473
1698920053720.0,18,812,466
1698920053800.0,23,804,471
1698920053880.0,22,802,472
1698920053960.0,-2,779,490
1698920054040.0,6,795,483
1698920054122.0,0,790,484
1698920054199.0,14,781,483
1698920054280.0,11,797,477
1698920054360.0,8,798,474
1698920054439.0,7,808,480
1698920054519.0,10,808,475
1698920054601.0,21,821,471
1698920054679.0,7,797,469
1698920054759.0,12,814,471
1698920054840.0,14,803,470
1698920054919.0,17,795,475
1698920055001.0,20,795,470
1698920055079.0,26,803,467
1698920055162.0,20,806,476
1698920055239.0,11,797,474
1698920055320.0,18,800,475
1698920055399.0,8,806,466
1698920055479.0,15,804,473
1698920055560.0,8,802,468
1698920055639.0,19,794,464
1698920055719.0,12,779,480
1698920055802.0,20,802,478
1698920055879.0,24,794,481
1698920055959.0,14,805,473
1698920056039.0,11,807,478
1698920056119.0,15,803,472
1698920056202.0,18,801,476
1698920056279.0,21,801,463
1698920056359.0,17,799,467
1698920056439.0,19,799,468
1698920056519.0,22,802,471
1698920056599.0,17,797,471
1698920056680.0,11,806,475
1698920056759.0,5,800,464
1698920056842.0,18,803,467
1698920056919.0,26,802,477
1698920056999.0,14,802,472
1698920057079.0,9,808,476
1698920057159.0,18,802,469
1698920057239.0,10,812,466
1698920057319.0,13,805,481
1698920057399.0,3,798,466
1698920057479.0,16,809,465
1698920057559.0,23,801,478
1698920057640.0,15,799,477
1698920057721.0,22,807,470
1698920057799.0,19,804,474
