ts,hr,conf
1698920031383.0,0,39
1698920032290.0,0,43
1698920033168.0,0,7
1698920034070.0,0,45
1698920034943.0,0,51
1698920035851.0,0,10
1698920036724.0,0,3
1698920037630.0,0,52
1698920038504.0,0,74
1698920039411.0,0,60
1698920040317.0,0,40
1698920041224.0,0,45
1698920042097.0,74,48
1698920043006.0,74,20
1698920044784.0,74,38
1698920045691.0,74,32
1698920046564.0,73,60
1698920047471.0,72,88
1698920048377.0,72,71
1698920049217.0,72,78
1698920050125.0,72,80
1698920051937.0,73,80
1698920052777.0,73,21
1698920053683.0,73,36
1698920054590.0,73,74
1698920055497.0,73,67
1698920056370.0,73,66
1698920057276.0,73,73
1698920058183.0,73,31
1698920059022.0,73,78
1698920059930.0,73,23
1698920060802.0,73,10
1698920061709.0,73,34
1698920062616.0,73,27
1698920063522.0,73,38
1698920064328.0,73,22
1698920065201.0,73,14
1698920067014.0,73,21
1698920067887.0,71,45
1698920068794.0,70,44
1698920069700.0,70,22
1698920070573.0,70,14
1698920071482.0,70,0
1698920072386.0,70,55
1698920073293.0,67,54
1698920075005.0,65,54
1698920076851.0,65,0
1698920080411.0,65,55
1698920081320.0,66,53
1698920082223.0,66,56
1698920083096.0,66,39
