msFromStart,alpha,beta,gamma,heading,acc
176,359.5789551866032,21.511695105564172,2.172896508729739,129.56422424316406,47.66603088378906
192,359.6575814465169,21.09091913266057,1.9858126870766546,129.56422424316406,47.66603088378906
209,359.79562407122023,20.818594224963064,1.8514513121011185,129.56422424316406,47.66603088378906
226,359.9857513305003,20.590939330419186,1.7996304654197732,129.56422424316406,47.66603088378906
242,0.07402979783513923,20.52927474194627,1.8311962039413496,129.56422424316406,47.66603088378906
259,359.073642455384,18.60371495930125,5.0024618422292235,129.56422424316406,47.66603088378906
275,358.77654684322385,18.29434334620301,5.995196572074704,129.56422424316406,47.66603088378906
292,359.04451229894,18.656748942072014,5.100149832477474,129.56422424316406,47.66603088378906
308,359.1681233447752,18.740740898457755,4.620003348311303,129.56422424316406,47.66603088378906
325,359.38795636382275,18.982209325250423,3.7188281423660614,129.56422424316406,47.66603088378906
342,359.5448522165819,19.297105330087817,3.096913296944438,129.56422424316406,47.66603088378906
359,359.5798756192222,19.356389087215184,2.955089965706748,129.56422424316406,47.66603088378906
375,359.6051013852234,19.441822847029144,2.993680756133876,129.56422424316406,47.66603088378906
392,359.59809347282976,19.511292610319057,3.1700865858963527,129.56422424316406,47.66603088378906
409,359.60540038116034,19.469074890818586,3.256676570758758,129.56422424316406,47.66603088378906
425,359.5904484042661,19.336076205741936,3.2222970988471475,129.56422424316406,47.66603088378906
442,359.54081017467877,19.21899827447396,3.1813571066552275,129.56422424316406,47.66603088378906
459,359.5079710222485,19.112522532929432,3.1441747950080425,129.56422424316406,47.66603088378906
476,359.49369077731393,18.99196093227834,3.114452515202126,129.56422424316406,47.66603088378906
492,359.4905984595779,18.958250894018914,3.12461974008755,129.56422424316406,47.66603088378906
509,359.4998161845693,18.959935672806342,3.165493854032093,129.56422424316406,47.66603088378906
525,359.5082945301625,18.954166999796765,3.230629105089551,129.56422424316406,47.66603088378906
542,359.4988819339866,18.926314560094735,3.267009541591634,129.56422424316406,47.66603088378906
559,359.4797480298137,18.906873996229482,3.3108780239186704,129.56422424316406,47.66603088378906
575,359.4601530248609,18.832558005075537,3.347754459487042,129.56422424316406,47.66603088378906
592,359.4434182683262,18.75737600421422,3.337702783062091,129.56422424316406,47.66603088378906
608,359.41350329226424,18.703663400132037,3.320520601948807,129.56422424316406,47.66603088378906
625,359.36641753831833,18.67260974691367,3.336842902735458,129.56422424316406,47.66603088378906
642,359.3375324037535,18.647090458847085,3.3598996992678622,129.56422424316406,47.66603088378906
658,359.2998582788958,18.615296968553324,3.3897813341680445,129.56422424316406,47.66603088378906
