ms,x,y,z
1698920230051.0,-921,194,-52
1698920230131.0,-887,166,-84
1698920230211.0,-921,121,-120
1698920230291.0,-965,86,-151
1698920230371.0,-988,76,-169
1698920230451.0,-984,110,-185
1698920230531.0,-995,164,-201
1698920230611.0,-1037,229,-231
1698920230691.0,-1052,224,-197
1698920230774.0,-1104,288,-73
1698920230851.0,-1040,304,89
1698920230931.0,-1071,272,137
1698920231011.0,-1061,298,138
1698920231091.0,-1001,294,147
1698920231171.0,-883,282,83
1698920231251.0,-835,287,-84
1698920231331.0,-874,304,-200
1698920231411.0,-958,319,-246
1698920231491.0,-1017,299,-277
1698920231573.0,-1092,292,-243
1698920231651.0,-1161,304,-191
1698920231731.0,-1112,322,-157
1698920231813.0,-1063,328,-48
1698920231891.0,-983,271,8
1698920231971.0,-883,218,-54
1698920232050.0,-894,199,-109
1698920232130.0,-964,170,-142
1698920232211.0,-998,136,-155
1698920232290.0,-986,124,-152
1698920232370.0,-980,140,-131
1698920232451.0,-973,159,-92
1698920232530.0,-971,205,-49
1698920232613.0,-961,281,-51
1698920232691.0,-932,346,-64
1698920232770.0,-1002,362,-26
1698920232850.0,-1008,342,192
1698920232931.0,-911,281,362
1698920233010.0,-897,207,348
1698920233090.0,-954,216,325
1698920233171.0,-970,236,277
1698920233250.0,-977,222,226
1698920233330.0,-985,208,194
1698920233411.0,-995,208,205
1698920233490.0,-1011,202,245
1698920233570.0,-1018,153,305
1698920233653.0,-1027,93,344
1698920233730.0,-1088,68,312
1698920233810.0,-1131,-4,183
1698920233891.0,-1081,-50,57
1698920233970.0,-1040,-2,-29
1698920234050.0,-1018,59,-115
1698920234130.0,-961,81,-142
1698920234210.0,-940,91,-136
1698920234290.0,-942,127,-139
1698920234371.0,-930,133,-132
1698920234450.0,-931,112,-121
1698920234530.0,-921,86,-108
1698920234610.0,-977,100,-84
1698920234693.0,-1051,150,-53
1698920234770.0,-1046,175,-13
1698920234850.0,-998,168,62
1698920234930.0,-961,203,92
1698920235011.0,-967,283,68
1698920235090.0,-954,299,78
1698920235170.0,-933,254,102
1698920235250.0,-941,178,122
1698920235330.0,-972,93,137
1698920235410.0,-1021,49,133
1698920235490.0,-1001,208,28
1698920235570.0,-957,539,86
1698920235650.0,-1001,734,123
1698920235733.0,-999,562,-22
1698920235810.0,-955,318,-148
1698920235890.0,-954,300,-112
1698920235970.0,-942,401,-120
1698920236050.0,-891,501,-184
1698920236130.0,-795,569,-271
1698920236210.0,-729,610,-341
1698920236291.0,-721,653,-386
1698920236370.0,-741,692,-380
1698920236450.0,-725,707,-335
1698920236530.0,-656,704,-253
1698920236610.0,-604,656,-208
1698920236690.0,-605,689,-201
1698920236772.0,-620,802,-216
1698920236851.0,-605,859,-292
1698920236930.0,-557,901,-389
1698920237010.0,-449,901,-442
1698920237090.0,-329,848,-439
1698920237170.0,-299,809,-432
1698920237250.0,-343,796,-452
1698920237330.0,-406,780,-490
1698920237410.0,-423,726,-552
1698920237490.0,-389,682,-602
1698920237569.0,-374,728,-612
1698920237650.0,-334,799,-665
1698920237730.0,-305,791,-683
1698920237812.0,-332,719,-616
1698920237889.0,-371,689,-621
1698920237970.0,-391,669,-627
1698920238049.0,-402,660,-629
1698920238129.0,-399,659,-629
1698920238210.0,-400,656,-632
1698920238289.0,-410,648,-632
1698920238369.0,-408,644,-640
1698920238450.0,-404,638,-642
1698920238529.0,-413,639,-636
1698920238609.0,-416,636,-650
1698920238691.0,-420,632,-648
1698920238769.0,-429,653,-646
1698920238852.0,-411,684,-608
1698920238929.0,-392,715,-513
1698920239009.0,-408,768,-474
1698920239089.0,-407,799,-529
1698920239170.0,-387,775,-625
