ts,alpha,beta,gamma
1698744748026.0,-198,753,143
1698744748108.0,-196,743,143
1698744748185.0,-193,734,143
1698744748265.0,-196,728,144
1698744748345.0,-201,725,143
1698744748425.0,-198,734,142
1698744748505.0,-200,728,136
1698744748585.0,-205,726,135
1698744748665.0,-183,734,143
1698744748746.0,-206,741,137
1698744748825.0,-208,735,138
1698744748905.0,-198,722,134
1698744748985.0,-205,730,134
1698744749065.0,-195,726,139
1698744749145.0,-194,729,138
1698744749225.0,-201,728,142
1698744749305.0,-194,727,151
1698744749386.0,-205,725,138
1698744749465.0,-197,722,148
1698744749545.0,-205,723,137
1698744749628.0,-198,723,147
1698744749705.0,-203,722,141
1698744749785.0,-227,760,156
1698744749865.0,-287,795,201
1698744749946.0,-305,825,258
1698744750028.0,-352,809,295
1698744750105.0,-366,779,306
1698744750185.0,-386,762,297
1698744750265.0,-405,753,302
1698744750345.0,-409,741,302
1698744750429.0,-404,732,295
1698744750505.0,-404,737,307
1698744750585.0,-415,723,299
1698744750667.0,-409,730,302
1698744750745.0,-411,728,314
1698744750827.0,-419,726,304
1698744750905.0,-413,724,309
1698744750985.0,-407,736,303
1698744751066.0,-411,734,307
1698744751145.0,-408,730,312
1698744751228.0,-414,730,306
1698744751305.0,-409,726,305
1698744751385.0,-409,737,302
1698744751465.0,-410,727,308
1698744751545.0,-412,732,306
1698744751625.0,-407,725,305
1698744751705.0,-410,729,300
1698744751785.0,-409,726,304
1698744751865.0,-412,730,311
1698744751945.0,-422,720,296
1698744752025.0,-414,732,302
1698744752105.0,-415,736,302
1698744752185.0,-399,723,304
1698744752265.0,-406,736,298
1698744752345.0,-407,751,297
1698744752425.0,-409,746,306
1698744752505.0,-403,746,303
1698744752585.0,-386,757,312
1698744752665.0,-385,745,313
1698744752745.0,-410,715,290
1698744752825.0,-415,697,264
1698744752905.0,-388,690,310
1698744752987.0,-343,731,507
1698744753065.0,-403,534,623
1698744753145.0,-626,319,634
1698744753224.0,-670,250,538
1698744753305.0,-704,218,540
1698744753387.0,-695,209,533
1698744753464.0,-706,205,540
1698744753546.0,-688,216,533
1698744753624.0,-704,194,538
1698744753704.0,-705,203,538
1698744753787.0,-685,206,539
1698744753864.0,-688,208,538
1698744753944.0,-689,219,545
1698744754027.0,-667,232,528
1698744754104.0,-691,240,522
1698744754187.0,-678,246,535
1698744754265.0,-705,231,536
1698744754344.0,-699,232,532
1698744754426.0,-692,226,525
1698744754504.0,-692,221,528
1698744754587.0,-707,222,529
1698744754664.0,-708,213,529
1698744754744.0,-718,219,524
1698744754825.0,-705,211,526
1698744754904.0,-707,210,535
1698744754984.0,-705,212,522
1698744755064.0,-711,221,521
1698744755144.0,-722,204,509
1698744755224.0,-720,193,535
1698744755304.0,-711,170,535
1698744755384.0,-710,176,520
1698744755464.0,-709,165,530
1698744755544.0,-708,168,543
1698744755624.0,-700,174,526
1698744755705.0,-704,172,531
1698744755784.0,-715,162,525
1698744755864.0,-698,168,527
1698744755944.0,-679,187,538
1698744756024.0,-637,205,531
1698744756104.0,-655,148,551
1698744756184.0,-673,132,559
1698744756264.0,-690,127,549
1698744756346.0,-743,117,579
1698744756424.0,-745,128,573
1698744756505.0,-755,151,576
1698744756584.0,-748,163,558
1698744756664.0,-764,179,556
1698744756747.0,-778,198,545
1698744756824.0,-772,180,546
1698744756904.0,-778,173,559
1698744756984.0,-772,162,565
1698744757064.0,-767,172,573
1698744757147.0,-724,166,558
1698744757224.0,-711,167,554
1698744757304.0,-680,184,559
1698744757386.0,-671,167,557
1698744757464.0,-658,156,556
1698744757546.0,-685,137,556
1698744757624.0,-679,144,557
1698744757704.0,-708,169,560
1698744757785.0,-722,172,565
1698744757864.0,-711,175,556
1698744757946.0,-718,203,548
1698744758024.0,-727,191,540
1698744758104.0,-729,186,545
1698744758184.0,-744,180,535
1698744758264.0,-753,184,538
1698744758344.0,-745,171,537
1698744758424.0,-745,176,540
1698744758504.0,-750,160,536
1698744758584.0,-739,163,549
1698744758664.0,-745,173,540
1698744758744.0,-743,181,528
1698744758824.0,-739,173,537
1698744758904.0,-741,175,538
1698744758984.0,-744,176,542
1698744759065.0,-749,173,538
1698744759144.0,-736,171,545
1698744759223.0,-734,165,531
1698744759307.0,-724,184,525
1698744759383.0,-711,191,530
1698744759463.0,-714,183,525
1698744759544.0,-715,177,526
1698744759623.0,-722,184,531
1698744759706.0,-725,181,535
1698744759785.0,-715,170,529
1698744759863.0,-727,184,521
1698744759943.0,-708,183,509
1698744760024.0,-678,194,494
1698744760106.0,-519,344,457
1698744760183.0,-405,600,350
1698744760264.0,-377,705,273
