timestamp,hr,conf
1698923879.447,0,51
1698923880.351,0,20
1698923881.255,0,21
1698923882.294,0,19
1698923883.905,0,50
1698923883.913,0,45
1698923884.931,54,43
1698923885.711,54,65
1698923887.519,54,0
1698923892.007,54,15
1698923892.922,54,61
1698923893.816,52,45
1698923894.72,52,23
1698923895.658,52,10
1698923896.495,52,5
1698923897.404,52,20
1698923898.304,52,22
1698923899.209,54,46
1698923900.082,54,62
1698923900.95,54,59
1698923901.821,54,65
1698923902.725,57,83
1698923903.64,59,82
1698923904.534,60,66
1698923905.404,60,64
1698923906.415,60,41
1698923907.146,60,34
