ts,steps
1698923886045.0,4301
1698923886525.0,4302
1698923887563.0,4303
1698923888203.0,4304
1698923888683.0,4305
1698923889242.0,4306
1698923889722.0,4307
1698923890443.0,4308
1698923890922.0,4309
1698923891562.0,4310
1698923891884.0,4311
1698923893082.0,4312
1698923894202.0,4313
1698923899801.0,4319
1698923900283.0,4320
1698923900840.0,4321
1698923901401.0,4322
1698923902040.0,4323
1698923902520.0,4324
1698923903720.0,4325
1698923904760.0,4326
1698923905482.0,4327
1698923905960.0,4328
1698923906999.0,4329
