isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0.0,0,0,2075,1698420068345.0
False,0.0,0,0,2075,1698420069331.0
False,0.0,0,0,2075,1698420069828.0
False,0.0,0,0,2075,1698420070814.0
False,0.0,0,0,2075,1698420072792.0
False,0.0,0,0,2075,1698420074282.0
False,0.0,0,0,2075,1698420074776.0
False,0.44140625,0,140,2098,1698420075770.0
False,1.58203125,18,119,2105,1698420076760.0
False,1.69140625,34,155,2120,1698420077741.0
False,1.77734375,52,201,2137,1698420078737.0
False,1.8046875,68,227,2156,1698420079736.0
False,1.75,65,243,2175,1698420081215.0
False,1.75,65,243,2175,1698420082206.0
False,0.0,0,0,2175,1698420083198.0
False,0.0,0,0,2175,1698420084182.0
False,0.0,0,0,2175,1698420085167.0
False,0.0,0,0,2175,1698420086159.0
