timestamp,accGGx,accGGy,accGGz
1698924617.744,0.496,0.731,-0.209
1698924617.824,0.521,0.674,-0.133
1698924617.904,0.555,0.64,-0.058
1698924617.984,0.585,0.629,0.015
1698924618.064,0.605,0.62,0.054
1698924618.144,0.613,0.595,0.061
1698924618.224,0.68,0.625,0.106
1698924618.304,0.815,0.752,0.19
1698924618.384,0.95,0.885,0.281
1698924618.464,1.013,0.939,0.332
1698924618.544,0.845,0.893,0.102
1698924618.624,0.687,0.831,-0.087
1698924618.704,0.603,0.781,-0.198
1698924618.784,0.592,0.778,-0.264
1698924618.864,0.599,0.757,-0.293
1698924618.944,0.584,0.704,-0.32
1698924619.024,0.576,0.664,-0.331
1698924619.104,0.661,0.742,-0.247
1698924619.184,0.785,0.826,-0.02
1698924619.264,0.986,0.903,0.391
1698924619.344,1.119,0.921,0.568
1698924619.424,1.039,0.846,0.447
1698924619.505,0.974,0.835,0.399
1698924619.584,0.951,0.829,0.359
1698924619.666,0.895,0.802,0.283
1698924619.745,0.8,0.743,0.201
1698924619.824,0.699,0.658,0.237
1698924619.906,0.586,0.556,0.228
1698924619.984,0.481,0.443,0.071
1698924620.064,0.452,0.449,-0.136
1698924620.144,0.534,0.593,-0.317
1698924620.224,0.587,0.643,-0.382
1698924620.304,0.539,0.628,-0.399
1698924620.384,0.565,0.636,-0.348
1698924620.464,0.572,0.634,-0.285
1698924620.544,0.583,0.628,-0.219
1698924620.624,0.604,0.616,-0.155
1698924620.704,0.629,0.609,-0.1
1698924620.784,0.656,0.618,-0.058
1698924620.864,0.67,0.655,-0.052
1698924620.944,0.704,0.703,-0.022
1698924621.024,0.809,0.737,0.04
1698924621.104,0.93,0.818,0.089
1698924621.184,1.013,0.907,0.113
1698924621.263,0.986,0.903,0.046
1698924621.343,0.851,0.831,-0.121
1698924621.424,0.709,0.752,-0.27
1698924621.503,0.63,0.717,-0.358
1698924621.583,0.619,0.72,-0.427
1698924621.664,0.61,0.694,-0.462
1698924621.744,0.58,0.647,-0.475
1698924621.823,0.547,0.638,-0.491
1698924621.903,0.587,0.762,-0.546
1698924621.983,0.687,0.879,-0.554
1698924622.063,0.86,0.789,-0.053
1698924622.145,0.889,0.864,-0.032
1698924622.223,0.891,0.877,-0.043
1698924622.306,0.904,0.869,-0.021
1698924622.385,0.926,0.854,-0.02
1698924622.463,0.77,0.778,-0.053
1698924622.543,0.575,0.655,-0.09
1698924622.623,0.496,0.564,-0.078
1698924622.703,0.43,0.496,-0.081
1698924622.783,0.412,0.498,-0.163
1698924622.863,0.509,0.639,-0.244
1698924622.944,0.596,0.739,-0.256
1698924623.023,0.589,0.722,-0.245
1698924623.103,0.567,0.732,-0.25
1698924623.183,0.582,0.761,-0.241
1698924623.263,0.587,0.766,-0.195
1698924623.343,0.587,0.744,-0.124
1698924623.423,0.611,0.685,-0.051
1698924623.503,0.596,0.625,-0.004
1698924623.583,0.571,0.586,0.014
1698924623.663,0.613,0.591,0.039
1698924623.743,0.669,0.622,0.075
1698924623.823,0.934,0.77,0.205
1698924623.903,1.067,0.863,0.258
1698924623.983,1.115,0.922,0.137
1698924624.063,1.016,0.916,-0.082
1698924624.143,0.813,0.803,-0.219
1698924624.223,0.643,0.699,-0.318
1698924624.303,0.61,0.731,-0.398
1698924624.385,0.593,0.735,-0.438
1698924624.463,0.549,0.679,-0.46
1698924624.546,0.535,0.681,-0.494
1698924624.623,0.588,0.758,-0.527
1698924624.703,0.656,0.847,-0.488
1698924624.785,0.761,0.813,-0.229
1698924624.863,0.912,0.78,0.054
1698924624.943,0.985,0.863,0.093
1698924625.023,0.969,0.918,0.037
1698924625.103,0.971,0.917,0.041
1698924625.183,0.988,0.891,0.021
1698924625.263,0.936,0.842,-0.031
1698924625.344,0.798,0.724,-0.045
1698924625.423,0.641,0.588,-0.054
1698924625.503,0.549,0.498,-0.069
1698924625.583,0.486,0.528,-0.235
1698924625.663,0.561,0.634,-0.339
1698924625.743,0.614,0.683,-0.383
1698924625.823,0.606,0.666,-0.38
1698924625.903,0.591,0.654,-0.374
1698924625.983,0.589,0.664,-0.366
1698924626.063,0.587,0.634,-0.319
1698924626.143,0.557,0.579,-0.239
1698924626.223,0.534,0.546,-0.154
1698924626.303,0.561,0.554,-0.056
1698924626.383,0.587,0.579,-0.028
1698924626.463,0.682,0.609,-0.008
1698924626.543,0.787,0.645,0.058
1698924626.623,0.874,0.728,0.099
1698924626.703,0.969,0.823,0.14
1698924626.785,0.981,0.849,0.122
1698924626.863,0.971,0.873,-0.039
1698924626.943,0.915,0.885,-0.19
1698924627.024,0.782,0.778,-0.238
1698924627.103,0.66,0.682,-0.305
1698924627.185,0.608,0.697,-0.387
1698924627.262,0.59,0.687,-0.431
1698924627.343,0.559,0.643,-0.46
1698924627.423,0.556,0.682,-0.46
1698924627.502,0.606,0.772,-0.479
1698924627.583,0.703,0.834,-0.485
1698924627.662,0.79,0.786,-0.302
1698924627.742,0.882,0.775,-0.044
1698924627.822,0.932,0.863,-0.03
1698924627.903,0.941,0.905,-0.075
1698924627.982,0.973,0.882,-0.142
1698924628.062,0.919,0.863,-0.204
1698924628.142,0.791,0.832,-0.165
1698924628.222,0.696,0.737,-0.168
1698924628.303,0.601,0.619,-0.152
1698924628.382,0.505,0.506,-0.094
1698924628.462,0.441,0.459,-0.116
1698924628.542,0.585,0.552,-0.234
1698924628.622,0.724,0.661,-0.313
1698924628.702,0.673,0.676,-0.321
1698924628.782,0.633,0.669,-0.314
1698924628.863,0.603,0.664,-0.304
1698924628.942,0.546,0.598,-0.255
1698924629.022,0.5,0.55,-0.175
1698924629.102,0.68,0.642,-0.07
1698924629.182,0.672,0.641,-0.043
1698924629.262,0.664,0.63,0.007
1698924629.342,0.708,0.679,0.072
1698924629.425,0.842,0.795,0.13
1698924629.502,0.964,0.876,0.189
1698924629.582,1.021,0.905,0.166
1698924629.665,1.026,0.916,0.003
1698924629.742,0.895,0.835,-0.174
1698924629.822,0.701,0.698,-0.295
1698924629.902,0.605,0.638,-0.398
1698924629.982,0.616,0.654,-0.468
1698924630.062,0.616,0.643,-0.505
1698924630.142,0.574,0.609,-0.526
1698924630.222,0.558,0.62,-0.542
1698924630.302,0.549,0.656,-0.553
1698924630.382,0.57,0.697,-0.575
1698924630.462,0.635,0.69,-0.511
1698924630.542,0.766,0.696,-0.245
1698924630.623,0.905,0.812,-0.019
1698924630.702,0.937,0.901,-0.037
1698924630.782,0.919,0.907,-0.066
1698924630.862,0.907,0.843,-0.078
1698924630.942,0.837,0.769,-0.121
1698924631.022,0.718,0.666,-0.156
1698924631.103,0.595,0.564,-0.165
1698924631.182,0.502,0.518,-0.177
1698924631.262,0.459,0.518,-0.223
1698924631.342,0.474,0.543,-0.315
1698924631.422,0.52,0.599,-0.406
1698924631.502,0.558,0.637,-0.438
1698924631.582,0.563,0.645,-0.448
1698924631.664,0.547,0.631,-0.455
1698924631.742,0.513,0.58,-0.434
1698924631.822,0.484,0.517,-0.36
1698924631.905,0.516,0.529,-0.263
1698924631.982,0.563,0.514,-0.194
1698924632.062,0.603,0.52,-0.153
1698924632.142,0.649,0.62,-0.087
1698924632.222,0.696,0.697,-0.021
1698924632.302,0.771,0.778,0.039
1698924632.382,0.86,0.852,0.119
1698924632.462,0.916,0.893,0.157
1698924632.542,0.937,0.971,0.089
1698924632.622,0.79,0.91,-0.152
1698924632.702,0.608,0.755,-0.286
1698924632.782,0.526,0.692,-0.391
1698924632.862,0.534,0.707,-0.455
1698924632.942,0.54,0.701,-0.491
1698924633.022,0.513,0.657,-0.498
1698924633.102,0.508,0.668,-0.503
1698924633.181,0.56,0.77,-0.534
1698924633.261,0.629,0.853,-0.496
1698924633.342,0.725,0.833,-0.286
1698924633.421,0.839,0.833,-0.031
1698924633.501,0.916,0.867,0.041
1698924633.582,0.911,0.87,0.018
1698924633.703,0.876,0.853,0.043
1698924633.742,0.861,0.844,0.023
1698924633.821,0.832,0.779,-0.04
1698924633.901,0.776,0.701,-0.075
1698924633.981,0.709,0.688,-0.059
1698924634.061,0.635,0.643,-0.019
1698924634.142,0.541,0.569,-0.013
1698924634.221,0.479,0.533,-0.072
1698924634.302,0.51,0.622,-0.167
1698924634.381,0.581,0.783,-0.257
1698924634.461,0.563,0.771,-0.285
1698924634.544,0.538,0.737,-0.286
1698924634.621,0.538,0.706,-0.256
1698924634.701,0.527,0.654,-0.192
1698924634.781,0.505,0.631,-0.102
1698924634.861,0.533,0.655,-0.024
1698924634.941,0.575,0.667,0.018
1698924635.021,0.651,0.672,0.041
1698924635.101,0.746,0.692,0.057
1698924635.181,0.829,0.769,0.082
1698924635.262,0.917,0.834,0.136
1698924635.341,0.961,0.855,0.19
1698924635.421,0.944,0.865,0.144
1698924635.501,0.939,0.898,0.016
1698924635.581,0.866,0.902,-0.095
1698924635.661,0.659,0.789,-0.207
1698924635.741,0.525,0.691,-0.325
1698924635.821,0.523,0.682,-0.403
1698924635.901,0.543,0.681,-0.432
1698924635.981,0.537,0.678,-0.435
1698924636.061,0.505,0.697,-0.436
1698924636.141,0.542,0.807,-0.427
1698924636.221,0.767,0.891,-0.215
1698924636.301,0.882,0.872,0.039
1698924636.382,0.943,0.915,0.09
1698924636.461,0.944,0.903,0.015
1698924636.544,0.918,0.877,-0.01
1698924636.621,0.911,0.863,-0.005
1698924636.701,0.856,0.851,-0.067
1698924636.783,0.753,0.771,-0.126
1698924636.861,0.62,0.633,-0.092
1698924636.944,0.488,0.498,-0.08
1698924637.021,0.379,0.442,-0.16
1698924637.101,0.375,0.532,-0.291
1698924637.181,0.482,0.689,-0.372
1698924637.261,0.546,0.739,-0.384
1698924637.341,0.545,0.711,-0.383
1698924637.421,0.538,0.704,-0.365
1698924637.501,0.535,0.682,-0.33
1698924637.581,0.544,0.636,-0.268
1698924637.662,0.54,0.606,-0.174
1698924637.741,0.543,0.6,-0.083
1698924637.821,0.597,0.621,-0.017
1698924637.901,0.639,0.633,0.096
1698924637.981,0.745,0.66,0.167
1698924638.061,0.834,0.729,0.24
1698924638.141,0.948,0.815,0.302
1698924638.221,1.004,0.863,0.317
1698924638.301,1.007,0.897,0.208
1698924638.381,0.928,0.898,0.005
1698924638.461,0.754,0.803,-0.165
1698924638.541,0.604,0.75,-0.307
1698924638.622,0.543,0.752,-0.425
1698924638.701,0.524,0.706,-0.482
1698924638.781,0.481,0.629,-0.477
1698924638.861,0.455,0.629,-0.47
1698924638.941,0.498,0.722,-0.479
1698924639.022,0.692,0.959,-0.359
1698924639.102,0.83,1.094,-0.216
1698924639.183,0.859,0.951,-0.071
1698924639.26,0.936,0.889,0.131
1698924639.341,0.942,0.943,0.144
1698924639.42,0.912,0.919,0.067
1698924639.5,0.909,0.863,0.063
1698924639.581,0.915,0.851,0.091
1698924639.66,0.886,0.856,0.064
1698924639.74,0.631,0.61,-0.084
1698924639.821,0.505,0.5,-0.062
1698924639.9,0.434,0.48,-0.084
1698924639.98,0.473,0.619,-0.197
1698924640.061,0.561,0.75,-0.285
1698924640.14,0.543,0.733,-0.31
1698924640.22,0.509,0.706,-0.318
1698924640.301,0.533,0.706,-0.307
1698924640.38,0.541,0.683,-0.274
1698924640.46,0.479,0.596,-0.218
1698924640.54,0.47,0.55,-0.166
1698924640.62,0.531,0.602,-0.131
1698924640.7,0.599,0.665,-0.082
1698924640.78,0.652,0.688,-0.018
1698924640.861,0.707,0.713,0.024
1698924640.94,0.79,0.792,0.097
1698924641.02,0.864,0.915,0.166
1698924641.1,0.905,0.986,0.181
1698924641.18,0.881,0.986,0.094
1698924641.262,0.813,0.983,-0.037
1698924641.34,0.659,0.889,-0.118
1698924641.421,0.528,0.763,-0.202
1698924641.5,0.527,0.776,-0.349
1698924641.58,0.51,0.771,-0.363
1698924641.662,0.477,0.757,-0.37
1698924641.74,0.509,0.848,-0.355
1698924641.82,0.627,0.958,-0.272
1698924641.9,0.756,0.912,-0.058
1698924641.981,0.865,0.846,0.274
1698924642.06,0.929,0.855,0.368
1698924642.14,0.923,0.86,0.236
1698924642.22,0.903,0.834,0.177
1698924642.3,0.899,0.822,0.152
1698924642.38,0.843,0.826,0.104
1698924642.46,0.786,0.817,0.025
1698924642.54,0.718,0.722,-0.046
1698924642.621,0.564,0.557,-0.066
1698924642.7,0.421,0.453,-0.081
1698924642.78,0.368,0.49,-0.188
1698924642.86,0.474,0.675,-0.325
1698924642.94,0.543,0.763,-0.367
1698924643.02,0.5,0.717,-0.369
1698924643.1,0.492,0.72,-0.436
1698924643.18,0.502,0.738,-0.448
1698924643.261,0.495,0.636,-0.288
1698924643.34,0.505,0.617,-0.197
1698924643.42,0.53,0.637,-0.129
1698924643.5,0.577,0.663,-0.061
1698924643.58,0.617,0.687,-0.007
1698924643.66,0.68,0.703,0.027
1698924643.74,0.768,0.735,0.078
1698924643.82,0.833,0.782,0.124
1698924643.901,0.892,0.829,0.166
1698924643.98,0.902,0.864,0.17
1698924644.062,0.968,0.994,0.058
1698924644.14,0.932,1.019,-0.03
1698924644.22,0.71,0.838,-0.088
1698924644.302,0.579,0.764,-0.176
1698924644.38,0.586,0.817,-0.218
1698924644.46,0.603,0.824,-0.228
1698924644.54,0.601,0.79,-0.251
1698924644.62,0.497,0.79,-0.248
1698924644.7,0.366,0.79,-0.249
1698924644.78,0.348,0.742,-0.263
1698924644.86,0.376,0.719,-0.21
1698924644.94,0.507,0.736,-0.09
1698924645.019,0.537,0.751,0.17
1698924645.1,0.434,0.833,0.296
1698924645.179,0.326,0.9,0.423
1698924645.259,0.216,0.985,0.522
1698924645.34,0.123,1.002,0.55
1698924645.419,0.028,0.933,0.547
1698924645.499,-0.032,0.876,0.604
1698924645.58,-0.038,0.836,0.653
1698924645.659,-0.047,0.805,0.654
1698924645.739,-0.056,0.821,0.669
1698924645.82,-0.053,0.832,0.68
1698924645.899,-0.05,0.801,0.676
1698924645.979,-0.039,0.765,0.662
1698924646.06,-0.019,0.746,0.657
1698924646.14,-0.005,0.741,0.662
1698924646.219,0.006,0.744,0.672
1698924646.302,0.016,0.745,0.671
1698924646.379,0.024,0.753,0.661
1698924646.459,0.018,0.764,0.654
1698924646.541,0.001,0.772,0.669
1698924646.62,0.005,0.777,0.7
1698924646.699,0.023,0.781,0.699
1698924646.779,0.065,0.79,0.706
1698924646.859,0.099,0.777,0.719
1698924646.939,0.103,0.755,0.718
1698924647.02,0.096,0.736,0.698
1698924647.099,0.104,0.704,0.681
1698924647.179,0.12,0.669,0.666
