isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance,ts
False,0,0,0,5518,1698744356714.0
False,0,0,0,5518,1698744358198.0
False,0,0,0,5518,1698744358691.0
False,0,0,0,5518,1698744359683.0
False,0,0,0,5518,1698744361662.0
False,0,0,0,5518,1698744363149.0
False,0,0,0,5518,1698744364136.0
False,0,0,0,5518,1698744365127.0
False,0,0,0,5518,1698744366617.0
False,0,0,0,5518,1698744367114.0
False,0,0,0,5518,1698744368103.0
False,0,8,0,5518,1698744369096.0
False,0,19,0,5518,1698744370082.0
False,0,19,0,5518,1698744371075.0
False,0,0,0,5518,1698744372557.0
False,0,0,0,5518,1698744373056.0
False,0,0,0,5518,1698744374044.0
False,0,0,0,5518,1698744375023.0
False,0,0,0,5518,1698744376516.0
False,0,0,0,5518,1698744377004.0
False,0,0,0,5518,1698744378491.0
False,0,0,0,5518,1698744378986.0
False,0,0,0,5518,1698744380470.0
False,0,0,0,5518,1698744381961.0
