ms,x,y,z
1698744370278.0,-880,365,-42
1698744370358.0,-862,341,-44
1698744370438.0,-855,340,-87
1698744370518.0,-839,365,-139
1698744370598.0,-865,465,-194
1698744370678.0,-892,577,-229
1698744370758.0,-902,600,-255
1698744370838.0,-895,604,-273
1698744370918.0,-872,612,-266
1698744370998.0,-892,583,-243
1698744371078.0,-909,550,-201
1698744371158.0,-898,520,-168
1698744371238.0,-926,446,-86
1698744371318.0,-937,404,-77
1698744371398.0,-908,383,-73
1698744371478.0,-879,376,-59
1698744371558.0,-876,376,-66
1698744371638.0,-898,412,-99
1698744371718.0,-910,482,-163
1698744371798.0,-897,553,-232
1698744371878.0,-906,611,-247
1698744371958.0,-932,633,-232
1698744372038.0,-903,590,-207
1698744372118.0,-868,516,-146
1698744372198.0,-893,478,-83
1698744372278.0,-916,465,-40
1698744372358.0,-924,436,-5
1698744372438.0,-921,417,11
1698744372517.0,-921,418,5
1698744372598.0,-928,415,-11
1698744372677.0,-909,403,-29
1698744372757.0,-880,372,-49
1698744372838.0,-920,393,-31
1698744372917.0,-969,429,3
1698744372997.0,-974,431,21
1698744373078.0,-956,411,51
1698744373157.0,-939,424,103
1698744373237.0,-918,457,72
1698744373318.0,-933,473,33
1698744373397.0,-952,465,45
1698744373477.0,-946,462,37
1698744373558.0,-944,451,25
1698744373637.0,-928,413,20
1698744373717.0,-877,381,25
1698744373797.0,-913,394,-85
1698744373877.0,-979,455,-124
1698744373957.0,-935,491,-56
1698744374037.0,-834,465,-165
1698744374117.0,-686,428,-356
1698744374197.0,-686,432,-421
1698744374277.0,-910,420,-261
1698744374357.0,-966,560,-273
1698744374437.0,-1024,707,-315
1698744374517.0,-980,718,-346
1698744374597.0,-860,699,-447
1698744374677.0,-710,644,-513
1698744374757.0,-570,580,-512
1698744374837.0,-493,574,-521
1698744374917.0,-457,644,-511
1698744374997.0,-356,797,-467
1698744375077.0,-170,929,-424
1698744375157.0,38,890,-462
1698744375238.0,263,745,-546
1698744375317.0,483,662,-487
1698744375397.0,618,674,-302
1698744375477.0,645,723,-132
1698744375557.0,658,748,3
1698744375638.0,668,780,94
1698744375717.0,695,817,99
1698744375797.0,670,806,65
1698744375877.0,656,813,57
1698744375957.0,647,819,51
1698744376037.0,635,821,46
1698744376117.0,630,825,44
1698744376197.0,616,831,126
1698744376277.0,608,847,164
1698744376357.0,606,857,90
1698744376437.0,593,845,47
1698744376517.0,601,825,38
1698744376597.0,621,815,37
1698744376677.0,632,809,35
1698744376757.0,626,814,69
1698744376837.0,628,819,83
1698744376917.0,639,808,61
1698744376997.0,643,800,57
1698744377077.0,650,802,56
1698744377157.0,652,806,48
1698744377237.0,644,796,31
1698744377317.0,569,801,-15
1698744377397.0,535,826,-55
1698744377477.0,487,869,-140
