ts,hr,conf
1698411973648.0,0,26
1698411974507.0,0,0
1698411975372.0,0,2
1698411976236.0,0,42
1698411977133.0,0,49
1698411978031.0,0,50
1698411978895.0,0,48
1698411979793.0,0,17
1698411980657.0,0,47
1698411984215.0,51,64
1698411985111.0,51,0
1698411986873.0,51,16
1698411987771.0,51,28
1698411988636.0,55,43
1698411989600.0,55,13
1698411990464.0,55,26
1698411991295.0,55,35
1698411992192.0,55,22
1698411993093.0,57,41
1698411993988.0,57,15
1698411994853.0,57,40
1698411995749.0,58,78
1698411996614.0,58,83
1698411997511.0,58,85
1698411998376.0,58,4
1698411999251.0,58,36
1698412000138.0,58,38
1698412001035.0,58,31
1698412001900.0,60,55
1698412002798.0,60,30
