timestamp,ppg
1698411971.001215,14096.0
1698411971.0216591,14090.0
1698411971.042103,14080.0
1698411971.062547,14070.0
1698411971.082991,14066.0
1698411971.1034348,14058.0
1698411971.123879,14055.0
1698411971.1443229,14048.0
1698411971.1647666,14039.0
1698411971.1852107,14038.0
1698411971.2056544,14032.0
1698411971.2260983,14026.0
1698411971.2465425,14020.0
1698411971.2669864,14009.0
1698411971.2874305,14011.0
1698411971.3078744,14001.0
1698411971.328318,14001.0
1698411971.3487623,13995.0
1698411971.369206,13987.0
1698411971.3896499,13979.0
1698411971.410094,13971.0
1698411971.430538,13956.0
1698411971.4509819,13939.0
1698411971.4714258,13930.0
1698411971.4918697,13914.0
1698411971.5123136,13902.0
1698411971.5327575,13889.0
1698411971.5532014,13883.0
1698411971.5736456,13859.0
1698411971.5940893,13852.0
1698411971.6145334,13844.0
1698411971.6349773,13831.0
1698411971.6554213,13824.0
1698411971.6758652,13812.0
1698411971.696309,13805.0
1698411971.716753,13795.0
1698411971.737197,13785.0
1698411971.7576408,13777.0
1698411971.778085,13763.0
1698411971.798529,13756.0
1698411971.8189728,13750.0
1698411971.8394167,13738.0
1698411971.8598607,13726.0
1698411971.8803043,13721.0
1698411971.9007483,13716.0
1698411971.9211924,13701.0
1698411971.9416366,13693.0
1698411971.9620802,13680.0
1698411971.9825242,13675.0
1698411972.0029685,13675.0
1698411972.0234122,13667.0
1698411972.043856,13666.0
1698411972.0643,13672.0
1698411972.084744,13681.0
1698411972.105188,13687.0
1698411972.1256318,13697.0
1698411972.1460757,13710.0
1698411972.1665199,13723.0
1698411972.1869636,13745.0
1698411972.2074077,13767.0
1698411972.2278516,13784.0
1698411972.2482953,13801.0
1698411972.2687395,13819.0
1698411972.2891831,13838.0
1698411972.3096273,13858.0
1698411972.3300712,13866.0
1698411972.3505151,13880.0
1698411972.370959,13884.0
1698411972.391403,13888.0
1698411972.4118469,13879.0
1698411972.432291,13867.0
1698411972.452735,13862.0
1698411972.4731786,13858.0
1698411972.4936228,13849.0
1698411972.514067,13845.0
1698411972.5345106,13842.0
1698411972.5549545,13842.0
1698411972.5753984,13831.0
1698411972.5958424,13821.0
1698411972.6162863,13810.0
1698411972.6367302,13800.0
1698411972.6571743,13787.0
1698411972.6776183,13779.0
1698411972.698062,13766.0
1698411972.718506,13761.0
1698411972.73895,13743.0
1698411972.759394,13737.0
1698411972.7798378,13726.0
1698411972.8002815,13716.0
1698411972.820726,13707.0
1698411972.8411696,13702.0
1698411972.8616135,13688.0
1698411972.8820577,13681.0
1698411972.9025018,13675.0
1698411972.9229455,13670.0
1698411972.9433894,13665.0
1698411972.9638333,13657.0
1698411972.984277,13650.0
1698411973.0047212,13637.0
1698411973.025165,13637.0
1698411973.0456092,13626.0
1698411973.066053,13625.0
1698411973.086497,13615.0
1698411973.106941,13616.0
1698411973.1273847,13606.0
1698411973.1478288,13599.0
1698411973.1682727,13596.0
1698411973.1887167,13588.0
1698411973.2091606,13584.0
1698411973.2296045,13574.0
1698411973.2500486,13565.0
1698411973.2704923,13557.0
1698411973.2909362,13544.0
1698411973.3113804,13532.0
1698411973.3318243,13523.0
1698411973.352268,13506.0
1698411973.3727121,13496.0
1698411973.393156,13486.0
1698411973.4136002,13476.0
1698411973.434044,13466.0
1698411973.4544878,13456.0
1698411973.474932,13451.0
1698411973.4953754,13447.0
1698411973.5158195,13436.0
1698411973.5362637,13425.0
1698411973.5567076,13417.0
1698411973.5771515,13407.0
1698411973.5975957,13401.0
1698411973.6180394,13397.0
1698411973.6384833,13385.0
1698411973.6589272,13378.0
1698411973.679371,13371.0
