timestamp,accGx,accGy,accGz
1698411987.887,-1136,307,-245
1698411987.966,-1080,281,-186
1698411988.046,-948,282,-135
1698411988.127,-985,307,-100
1698411988.209,-1045,320,-80
1698411988.286,-1041,316,-60
1698411988.369,-962,334,-70
1698411988.446,-841,381,-112
1698411988.526,-734,440,-209
1698411988.609,-688,482,-336
1698411988.686,-720,464,-392
1698411988.766,-824,411,-364
1698411988.847,-946,388,-316
1698411988.927,-1020,405,-263
1698411989.006,-1023,399,-225
1698411989.087,-981,340,-226
1698411989.166,-842,273,-227
1698411989.246,-848,286,-261
1698411989.327,-872,264,-313
1698411989.406,-873,239,-317
1698411989.486,-868,254,-306
1698411989.567,-872,300,-325
1698411989.646,-886,348,-355
1698411989.726,-1003,374,-370
1698411989.806,-1116,346,-312
1698411989.886,-1090,277,-189
1698411989.966,-1010,258,-94
1698411990.047,-922,332,-16
1698411990.126,-911,357,73
1698411990.206,-955,309,131
1698411990.286,-971,258,134
1698411990.366,-980,218,105
1698411990.446,-997,219,64
1698411990.526,-1024,228,28
1698411990.606,-1060,212,-37
1698411990.686,-1022,179,-62
1698411990.769,-949,153,-105
1698411990.846,-976,159,-188
1698411990.926,-1020,116,-211
1698411991.007,-972,28,-166
1698411991.086,-941,25,-143
1698411991.167,-947,66,-139
1698411991.246,-963,73,-131
1698411991.328,-979,52,-135
1698411991.406,-966,28,-160
1698411991.486,-927,43,-177
1698411991.566,-910,104,-156
1698411991.646,-943,166,-97
1698411991.726,-998,187,-6
1698411991.806,-1038,183,87
1698411991.886,-1034,180,157
1698411991.966,-1046,181,141
1698411992.046,-1068,184,94
1698411992.126,-1038,187,46
1698411992.206,-1028,176,41
1698411992.286,-1036,145,89
1698411992.366,-1042,120,136
1698411992.446,-1053,111,153
1698411992.526,-1055,102,101
1698411992.606,-981,114,-25
1698411992.686,-900,139,-148
1698411992.766,-895,161,-241
1698411992.846,-883,179,-268
1698411992.926,-829,185,-221
1698411993.006,-798,186,-167
1698411993.086,-848,192,-119
1698411993.166,-940,204,-49
1698411993.246,-1007,221,7
1698411993.326,-1033,270,28
1698411993.406,-1037,347,-9
1698411993.486,-1006,376,-35
1698411993.565,-969,377,-53
1698411993.646,-930,394,-74
1698411993.727,-907,450,-71
1698411993.805,-895,507,-68
1698411993.886,-871,547,-85
1698411993.965,-820,587,-101
1698411994.045,-792,631,-110
1698411994.126,-784,657,-113
1698411994.205,-777,681,-131
1698411994.285,-766,699,-159
1698411994.366,-752,684,-194
1698411994.445,-692,720,-99
1698411994.525,-651,773,-55
1698411994.606,-647,763,-164
1698411994.685,-618,749,-217
1698411994.765,-638,737,-290
1698411994.846,-616,737,-335
1698411994.925,-586,748,-399
1698411995.005,-588,747,-449
1698411995.085,-561,766,-455
1698411995.165,-486,764,-462
1698411995.245,-420,711,-476
1698411995.326,-361,653,-483
1698411995.405,-322,539,-598
1698411995.485,-332,486,-722
1698411995.566,-364,515,-743
1698411995.645,-397,510,-749
1698411995.725,-414,492,-744
1698411995.806,-438,544,-750
1698411995.885,-453,595,-752
1698411995.965,-443,566,-727
1698411996.045,-426,559,-707
1698411996.126,-419,561,-701
1698411996.205,-441,565,-690
1698411996.287,-436,558,-694
1698411996.365,-425,559,-697
1698411996.448,-423,558,-696
1698411996.525,-427,561,-693
1698411996.606,-412,614,-694
1698411996.686,-407,637,-693
1698411996.765,-424,593,-684
1698411996.845,-428,571,-674
1698411996.925,-430,560,-672
1698411997.005,-432,558,-675
1698411997.085,-428,557,-678
1698411997.165,-425,557,-680
1698411997.245,-420,557,-680
1698411997.325,-418,559,-682
1698411997.405,-420,563,-689
1698411997.485,-422,564,-699
1698411997.565,-425,561,-686
1698411997.645,-431,562,-691
1698411997.725,-432,564,-688
1698411997.805,-432,563,-689
1698411997.886,-432,561,-686
1698411997.965,-423,568,-624
1698411998.045,-417,572,-596
1698411998.125,-422,567,-637
1698411998.205,-425,560,-657
1698411998.285,-424,554,-668
1698411998.365,-425,560,-676
1698411998.445,-427,566,-683
1698411998.526,-425,564,-680
1698411998.605,-424,563,-680
1698411998.685,-426,565,-679
1698411998.765,-427,570,-680
1698411998.847,-415,585,-614
1698411998.925,-406,588,-577
