timestamp,hr,conf
1698412927.166,0,93
1698412928.063,63,93
1698412928.961,63,100
1698412929.791,63,99
1698412930.656,63,98
1698412931.553,64,98
1698412933.282,64,97
1698412934.179,65,97
1698412935.077,65,62
1698412935.941,68,64
1698412936.838,70,95
1698412938.876,70,95
1698412940.362,70,0
1698412941.226,72,0
1698412943.885,75,0
1698412946.555,77,12
1698412947.443,77,2
1698412948.339,82,88
1698412949.237,86,81
1698412950.134,88,83
1698412950.999,90,88
1698412951.896,92,83
1698412952.761,93,86
1698412953.625,93,83
1698412954.523,91,90
1698412955.386,93,75
1698412956.284,93,52
1698412957.181,93,31
1698412958.08,93,81
1698412958.877,93,74
1698412959.807,93,89
1698412960.672,93,47
1698412961.514,93,54
1698412962.401,93,89
1698412963.298,93,90
1698412964.163,93,93
1698412965.957,94,93
1698412966.821,94,91
1698412967.719,96,89
1698412968.583,96,90
1698412969.48,93,91
1698412971.209,93,68
1698412972.106,93,78
1698412973.004,93,85
1698412973.868,93,90
1698412974.765,93,96
1698412975.63,93,94
1698412976.494,93,95
1698412977.391,93,85
