ms,steps
1698412940156.0,1244
1698412940799.0,1245
1698412941996.0,1246
1698412942558.0,1247
1698412943276.0,1248
1698412944395.0,1249
1698412945118.0,1250
1698412945676.0,1251
1698412946715.0,1252
1698412947277.0,1253
1698412947835.0,1254
1698412949037.0,1255
1698412949437.0,1256
1698412950238.0,1257
1698412951275.0,1258
1698412951997.0,1259
1698412952634.0,1260
1698412953034.0,1261
1698412953514.0,1262
1698412954314.0,1263
1698412954956.0,1264
1698412955356.0,1265
1698412955995.0,1266
1698412956633.0,1267
1698412957353.0,1268
1698412958316.0,1269
1698412958953.0,1270
1698412959593.0,1271
1698412959993.0,1272
1698412960476.0,1273
1698412961193.0,1274
1698412961835.0,1275
1698412962872.0,1276
1698412963435.0,1277
1698412964073.0,1278
1698412964952.0,1279
1698412965595.0,1280
1698412966152.0,1281
1698412967032.0,1282
1698412967432.0,1283
1698412968071.0,1284
