timestamp,isRunning,instantaneousSpeed,instantaneousCadence,instantaneousStrideLength,totalDistance
1698924289.357,False,0,0,0,8988
1698924289.851,False,0,0,0,8988
1698924291.337,False,0,0,0,8988
1698924291.826,False,0,0,0,8988
1698924292.815,False,0,0,0,8988
1698924293.804,False,0,0,0,8988
1698924295.298,False,0,0,0,8988
1698924296.28,False,0,0,0,8988
1698924297.277,False,0,0,0,8988
1698924297.772,False,0,0,0,8988
1698924298.753,False,0,0,0,8988
1698924299.745,False,0,0,0,8988
1698924300.736,False,0,0,0,8988
1698924301.73,False,0,0,0,8988
1698924303.222,False,0,0,0,8988
1698924303.708,False,0,0,0,8988
1698924304.69,False,0,0,0,8988
1698924306.181,False,0,0,0,8988
1698924306.684,False,0,0,0,8988
1698924307.671,False,0,0,0,8988
1698924308.66,False,0,0,0,8988
1698924309.647,False,0,0,0,8988
1698924310.641,False,0,0,0,8988
