ts,alpha,beta,gamma
1698921834005.0,336,802,363
1698921834085.0,331,787,372
1698921834165.0,327,801,368
1698921834244.0,326,804,382
1698921834325.0,327,795,371
1698921834405.0,330,797,370
1698921834484.0,332,800,369
1698921834566.0,333,788,370
1698921834645.0,334,793,378
1698921834727.0,336,796,364
1698921834805.0,336,797,367
1698921834884.0,321,792,372
1698921834964.0,318,798,369
1698921835045.0,333,792,372
1698921835127.0,326,797,371
1698921835204.0,338,795,359
1698921835284.0,329,795,380
1698921835364.0,339,797,371
1698921835444.0,335,785,366
1698921835524.0,323,801,369
1698921835604.0,332,793,371
1698921835684.0,328,799,370
1698921835764.0,331,788,373
1698921835844.0,331,799,372
1698921835924.0,332,791,376
1698921836006.0,341,795,372
1698921836084.0,340,791,369
1698921836167.0,338,790,368
1698921836244.0,336,798,369
1698921836324.0,342,787,364
1698921836405.0,337,786,365
1698921836484.0,332,785,368
1698921836564.0,337,788,364
1698921836644.0,334,785,352
1698921836724.0,335,796,356
1698921836804.0,347,788,345
1698921836884.0,353,780,328
1698921836964.0,348,789,338
1698921837045.0,355,776,326
1698921837124.0,364,770,335
1698921837207.0,364,786,329
1698921837284.0,368,791,338
1698921837364.0,347,792,339
1698921837444.0,344,819,357
1698921837524.0,328,825,358
1698921837606.0,325,835,369
1698921837684.0,341,838,379
1698921837764.0,348,800,361
1698921837844.0,387,774,367
1698921837925.0,401,746,352
1698921838004.0,420,723,339
1698921838084.0,430,691,326
1698921838164.0,446,633,338
1698921838244.0,458,597,318
1698921838324.0,456,607,329
1698921838404.0,437,655,354
1698921838485.0,415,711,416
1698921838564.0,345,776,433
1698921838646.0,236,826,459
1698921838724.0,119,851,468
1698921838804.0,129,848,476
1698921838884.0,247,803,481
1698921838964.0,372,796,444
1698921839047.0,450,713,375
1698921839124.0,480,635,339
1698921839204.0,491,569,323
1698921839284.0,473,566,312
1698921839364.0,486,640,335
1698921839444.0,435,727,394
1698921839524.0,313,814,422
1698921839604.0,221,819,440
1698921839685.0,158,819,456
1698921839764.0,113,861,435
1698921839844.0,181,857,417
1698921839924.0,302,828,426
1698921840004.0,430,719,393
1698921840086.0,463,624,339
1698921840164.0,454,557,323
